Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,1634498,3338547909,1731908877789,1731908877790,-0.206,0.039,9.865
Accel,1634499,3338557777,1731908877799,1731908877799,-0.206,0.039,9.885
Accel,1634500,3338567643,1731908877809,1731908877809,-0.196,0.039,9.865
Accel,1634501,3338577509,1731908877819,1731908877819,-0.196,0.029,9.865
Accel,1634502,3338587375,1731908877829,1731908877829,-0.206,0.039,9.885
Accel,1634503,3338597241,1731908877839,1731908877839,-0.206,0.039,9.865
Accel,1634504,3338607107,1731908877849,1731908877849,-0.226,0.039,9.865
Accel,1634505,3338616975,1731908877858,1731908877858,-0.226,0.039,9.865
Accel,1634506,3338626839,1731908877868,1731908877868,-0.196,0.039,9.865
Accel,1634507,3338636705,1731908877878,1731908877878,-0.186,0.039,9.846
Accel,1634508,3338646571,1731908877888,1731908877888,-0.206,0.039,9.865
Accel,1634509,3338656437,1731908877898,1731908877898,-0.206,0.039,9.865
Accel,1634510,3338666303,1731908877908,1731908877908,-0.186,0.039,9.865
Accel,1634511,3338676169,1731908877918,1731908877918,-0.206,0.039,9.865
Accel,1634512,3338686037,1731908877927,1731908877927,-0.196,0.039,9.865
Accel,1634513,3338695903,1731908877937,1731908877938,-0.196,0.039,9.865
Accel,1634587,3339426009,1731908878667,1731908878668,-0.226,0.039,9.865
Accel,1634588,3339435875,1731908878677,1731908878677,-0.206,0.029,9.865
Accel,1634589,3339445743,1731908878687,1731908878687,-0.196,0.039,9.865
Accel,1634590,3339455611,1731908878697,1731908878697,-0.196,0.039,9.885
Accel,1634591,3339465479,1731908878707,1731908878707,-0.196,0.029,9.865
Accel,1634592,3339475345,1731908878717,1731908878717,-0.206,0.039,9.846
Accel,1634593,3339485213,1731908878727,1731908878727,-0.206,0.039,9.865
Accel,1634594,3339495081,1731908878736,1731908878737,-0.206,0.039,9.865
Accel,1634595,3339504949,1731908878746,1731908878747,-0.206,0.039,9.865
Accel,1634596,3339514817,1731908878756,1731908878756,-0.196,0.059,9.865
Accel,1634597,3339524683,1731908878766,1731908878766,-0.206,0.039,9.865
Accel,1634598,3339534551,1731908878776,1731908878776,-0.186,0.039,9.865
Accel,1634599,3339544419,1731908878786,1731908878786,-0.206,0.039,9.865
Accel,1634600,3339554287,1731908878796,1731908878796,-0.226,0.039,9.865
Accel,1634601,3339564155,1731908878805,1731908878806,-0.196,0.059,9.885
Accel,1634602,3339574023,1731908878815,1731908878816,-0.196,0.069,9.885
Accel,1634603,3339583891,1731908878825,1731908878825,-0.196,0.039,9.885
Accel,1634604,3339593759,1731908878835,1731908878835,-0.206,0.039,9.865
Accel,1634605,3339603627,1731908878845,1731908878845,-0.206,0.039,9.865
Accel,1634606,3339613495,1731908878855,1731908878855,-0.206,0.039,9.865
Accel,1634607,3339623363,1731908878865,1731908878865,-0.206,0.029,9.865
Accel,1634608,3339633229,1731908878875,1731908878875,-0.206,0.039,9.865
Accel,1634609,3339643097,1731908878884,1731908878885,-0.196,0.039,9.865
Accel,1634610,3339652965,1731908878894,1731908878894,-0.196,0.039,9.865
Accel,1634611,3339662833,1731908878904,1731908878905,-0.196,0.039,9.846
Accel,1634612,3339672699,1731908878914,1731908878914,-0.206,0.039,9.865
Accel,1634613,3339682567,1731908878924,1731908878924,-0.206,0.039,9.865
Accel,1634614,3339692433,1731908878934,1731908878934,-0.226,0.039,9.885
Accel,1634615,3339702299,1731908878944,1731908878944,-0.196,0.039,9.865
Accel,1634616,3339712167,1731908878953,1731908878954,-0.186,0.059,9.865
Accel,1634617,3339722033,1731908878963,1731908878964,-0.186,0.039,9.865
Accel,1634618,3339731899,1731908878973,1731908878973,-0.196,0.039,9.885
Accel,1634619,3339741765,1731908878983,1731908878983,-0.226,0.039,9.865
Accel,1634620,3339751631,1731908878993,1731908878993,-0.196,0.039,9.865
Accel,1634621,3339761495,1731908879003,1731908879003,-0.196,0.039,9.865
Accel,1634622,3339771361,1731908879013,1731908879013,-0.196,0.039,9.865
Accel,1634623,3339781229,1731908879023,1731908879023,-0.206,0.029,9.865
Accel,1634624,3339791095,1731908879032,1731908879033,-0.206,0.039,9.865
Accel,1634625,3339800963,1731908879042,1731908879043,-0.206,0.039,9.865
Accel,1634626,3339810829,1731908879052,1731908879053,-0.196,0.039,9.865
Accel,1634627,3339820695,1731908879062,1731908879062,-0.196,0.059,9.865
Accel,1634628,3339830561,1731908879072,1731908879072,-0.196,0.039,9.885
Accel,1634629,3339840429,1731908879082,1731908879082,-0.206,0.039,9.865
Accel,1634630,3339850295,1731908879092,1731908879092,-0.206,0.039,9.865
Accel,1634631,3339860161,1731908879101,1731908879102,-0.196,0.039,9.885
Accel,1634632,3339870027,1731908879111,1731908879112,-0.226,0.039,9.865
Accel,1634633,3339879893,1731908879121,1731908879121,-0.206,0.039,9.865
Accel,1634634,3339889759,1731908879131,1731908879131,-0.196,0.039,9.865
Accel,1634635,3339899625,1731908879141,1731908879141,-0.196,0.039,9.865
Accel,1634636,3339909493,1731908879151,1731908879151,-0.206,0.039,9.865
Accel,1634637,3339919359,1731908879161,1731908879161,-0.226,0.039,9.865
Accel,1634638,3339929225,1731908879171,1731908879171,-0.196,0.039,9.865
Accel,1634639,3339939091,1731908879180,1731908879180,-0.196,0.039,9.865
Accel,1634640,3339948957,1731908879190,1731908879191,-0.196,0.039,9.865
Accel,1634641,3339958823,1731908879200,1731908879201,-0.206,0.039,9.865
Accel,1634642,3339968691,1731908879210,1731908879210,-0.206,0.039,9.865
Accel,1634643,3339978557,1731908879220,1731908879220,-0.206,0.039,9.865
Accel,1634644,3339988425,1731908879230,1731908879230,-0.206,0.039,9.865
Accel,1634645,3339998291,1731908879240,1731908879240,-0.196,0.039,9.865
Accel,1634646,3340008159,1731908879249,1731908879249,-0.206,0.039,9.865
Accel,1634647,3340018025,1731908879259,1731908879260,-0.206,0.039,9.865
Accel,1634648,3340027891,1731908879269,1731908879269,-0.206,0.039,9.865
Accel,1634649,3340037757,1731908879279,1731908879279,-0.196,0.039,9.865
Accel,1634650,3340047623,1731908879289,1731908879289,-0.196,0.039,9.885
