Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,4645,63521677,1731909123894,1731909123895,-0.206,0.059,9.865
Accel,4646,63531543,1731909123904,1731909123904,-0.196,0.069,9.865
Accel,4647,63541411,1731909123914,1731909123914,-0.206,0.069,9.865
Accel,4648,63551277,1731909123924,1731909123924,-0.206,0.059,9.865
Accel,4649,63561143,1731909123934,1731909123934,-0.196,0.039,9.865
Accel,4650,63571009,1731909123944,1731909123944,-0.186,0.039,9.865
Accel,4651,63580875,1731909123953,1731909123954,-0.186,0.039,9.846
Accel,4652,63590741,1731909123963,1731909123963,-0.196,0.039,9.865
Accel,4653,63600607,1731909123973,1731909123973,-0.206,0.039,9.865
Accel,4654,63610475,1731909123983,1731909123983,-0.196,0.078,9.865
Accel,4655,63620341,1731909123993,1731909123993,-0.196,0.059,9.865
Accel,4656,63630207,1731909124003,1731909124003,-0.206,0.059,9.865
Accel,4657,63640073,1731909124013,1731909124013,-0.206,0.039,9.865
Accel,4658,63649939,1731909124023,1731909124023,-0.206,0.039,9.865
Accel,4659,63659805,1731909124032,1731909124033,-0.186,0.059,9.865
Accel,4660,63669673,1731909124042,1731909124043,-0.196,0.059,9.865
Accel,4712,64182709,1731909124555,1731909124556,-0.206,0.059,9.865
Accel,4713,64192575,1731909124566,1731909124566,-0.196,0.059,9.865
Accel,4714,64202441,1731909124575,1731909124575,-0.206,0.059,9.865
Accel,4715,64212307,1731909124585,1731909124586,-0.196,0.039,9.865
Accel,4716,64222171,1731909124595,1731909124595,-0.186,0.059,9.865
Accel,4717,64232037,1731909124605,1731909124605,-0.186,0.039,9.865
Accel,4718,64241901,1731909124614,1731909124615,-0.186,0.059,9.865
Accel,4719,64251767,1731909124624,1731909124625,-0.196,0.059,9.865
Accel,4720,64261635,1731909124634,1731909124634,-0.196,0.059,9.865
Accel,4721,64271499,1731909124644,1731909124645,-0.186,0.059,9.865
Accel,4722,64281365,1731909124654,1731909124655,-0.226,0.059,9.865
Accel,4723,64291229,1731909124664,1731909124665,-0.186,0.059,9.865
Accel,4724,64301095,1731909124674,1731909124674,-0.186,0.059,9.846
Accel,4725,64310959,1731909124684,1731909124684,-0.196,0.069,9.865
