Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,30357,317180257,1731909377531,1731909377531,-0.186,0.039,9.846
Accel,30358,317190123,1731909377540,1731909377541,-0.196,0.039,9.865
Accel,30359,317199989,1731909377550,1731909377551,-0.186,0.020,9.865
Accel,30360,317209853,1731909377560,1731909377560,-0.196,0.039,9.865
Accel,30361,317219719,1731909377570,1731909377570,-0.206,0.078,9.865
Accel,30362,317229585,1731909377580,1731909377580,-0.206,0.039,9.865
Accel,30363,317239451,1731909377590,1731909377590,-0.206,0.069,9.865
Accel,30364,317249317,1731909377600,1731909377600,-0.206,0.039,9.865
Accel,30365,317259181,1731909377610,1731909377610,-0.206,0.059,9.865
Accel,30366,317269047,1731909377619,1731909377620,-0.206,0.039,9.865
Accel,30367,317278913,1731909377630,1731909377630,-0.196,0.039,9.865
Accel,30368,317288779,1731909377639,1731909377639,-0.196,0.039,9.846
Accel,30369,317298645,1731909377649,1731909377649,-0.186,0.029,9.865
Accel,30370,317308511,1731909377659,1731909377659,-0.196,0.039,9.865
Accel,30371,317318377,1731909377669,1731909377669,-0.196,0.039,9.865
Accel,30372,317328245,1731909377679,1731909377679,-0.186,0.039,9.865
Accel,30423,317831399,1731909378182,1731909378182,-0.196,0.039,9.865
Accel,30424,317841265,1731909378192,1731909378192,-0.206,0.039,9.865
Accel,30425,317851131,1731909378202,1731909378202,-0.196,0.039,9.885
Accel,30426,317860995,1731909378211,1731909378212,-0.196,0.059,9.885
Accel,30427,317870859,1731909378222,1731909378222,-0.196,0.039,9.865
Accel,30428,317880723,1731909378231,1731909378232,-0.186,0.039,9.865
Accel,30429,317890589,1731909378241,1731909378242,-0.196,0.039,9.865
Accel,30430,317900453,1731909378251,1731909378251,-0.196,0.039,9.865
Accel,30431,317910319,1731909378261,1731909378261,-0.186,0.039,9.865
Accel,30432,317920185,1731909378271,1731909378271,-0.206,0.039,9.865
Accel,30433,317930051,1731909378281,1731909378281,-0.206,0.059,9.865
Accel,30434,317939917,1731909378291,1731909378291,-0.177,-0.029,9.865
Accel,30435,317949783,1731909378301,1731909378301,-0.206,0.000,9.846
Accel,30436,317959649,1731909378310,1731909378310,-0.226,0.127,9.865
Accel,30437,317969517,1731909378320,1731909378321,-0.186,-0.039,9.865
Accel,30438,317979383,1731909378330,1731909378330,-0.196,0.059,9.865
Accel,30439,317989249,1731909378340,1731909378340,-0.196,0.088,9.865
