Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,106222,1065595943,1731910125881,1731910125881,-0.196,0.069,9.865
Accel,106223,1065605807,1731910125891,1731910125891,-0.196,0.059,9.846
Accel,106224,1065615671,1731910125900,1731910125900,-0.186,0.078,9.865
Accel,106225,1065625535,1731910125910,1731910125910,-0.206,0.069,9.865
Accel,106226,1065635399,1731910125920,1731910125920,-0.206,0.069,9.885
Accel,106227,1065645265,1731910125930,1731910125930,-0.196,0.078,9.865
Accel,106228,1065655129,1731910125940,1731910125940,-0.186,0.069,9.865
Accel,106229,1065664993,1731910125950,1731910125950,-0.196,0.069,9.846
Accel,106230,1065674857,1731910125959,1731910125960,-0.196,0.069,9.865
Accel,106231,1065684723,1731910125970,1731910125970,-0.186,0.059,9.846
Accel,106232,1065694587,1731910125979,1731910125979,-0.186,0.039,9.865
Accel,106233,1065704453,1731910125989,1731910125989,-0.206,0.059,9.885
Accel,106234,1065714319,1731910125999,1731910125999,-0.196,0.069,9.865
Accel,106235,1065724183,1731910126009,1731910126009,-0.196,0.039,9.865
Accel,106236,1065734047,1731910126019,1731910126019,-0.206,0.069,9.865
Accel,106237,1065743911,1731910126029,1731910126029,-0.196,0.069,9.865
Accel,106285,1066217397,1731910126502,1731910126502,-0.206,0.059,9.865
Accel,106286,1066227261,1731910126512,1731910126512,-0.206,0.078,9.865
Accel,106287,1066237125,1731910126522,1731910126522,-0.186,0.078,9.865
Accel,106288,1066246989,1731910126532,1731910126532,-0.186,0.069,9.865
Accel,106289,1066256853,1731910126542,1731910126542,-0.206,0.059,9.865
Accel,106290,1066266719,1731910126551,1731910126552,-0.196,0.059,9.865
Accel,106291,1066276585,1731910126561,1731910126562,-0.206,0.069,9.865
Accel,106292,1066286449,1731910126571,1731910126571,-0.206,0.078,9.865
Accel,106293,1066296315,1731910126581,1731910126581,-0.196,0.078,9.865
Accel,106294,1066306179,1731910126591,1731910126591,-0.196,0.069,9.865
Accel,106295,1066316043,1731910126601,1731910126601,-0.206,0.069,9.865
Accel,106296,1066325907,1731910126611,1731910126611,-0.196,0.078,9.865
Accel,106297,1066335771,1731910126621,1731910126621,-0.196,0.078,9.846
Accel,106298,1066345635,1731910126630,1731910126631,-0.196,0.078,9.865
Accel,106299,1066355499,1731910126640,1731910126641,-0.196,0.078,9.846
Accel,106300,1066365365,1731910126650,1731910126650,-0.196,0.078,9.865
Accel,106301,1066375229,1731910126660,1731910126660,-0.206,0.078,9.885
Accel,106302,1066385093,1731910126670,1731910126671,-0.206,0.069,9.836
Accel,106303,1066394959,1731910126680,1731910126680,-0.196,0.078,9.865
Accel,106304,1066404823,1731910126690,1731910126690,-0.186,0.069,9.846
Accel,106305,1066414689,1731910126700,1731910126700,-0.206,0.078,9.885
Accel,106306,1066424553,1731910126710,1731910126710,-0.196,0.078,9.865
Accel,106307,1066434419,1731910126720,1731910126720,-0.206,0.078,9.865
Accel,106308,1066444285,1731910126729,1731910126729,-0.196,0.078,9.846
Accel,106309,1066454149,1731910126739,1731910126739,-0.186,0.078,9.865
Accel,106310,1066464013,1731910126749,1731910126749,-0.186,0.078,9.865
Accel,106311,1066473877,1731910126759,1731910126759,-0.206,0.088,9.865
Accel,106312,1066483741,1731910126769,1731910126769,-0.206,0.078,9.865
Accel,106313,1066493605,1731910126778,1731910126779,-0.186,0.059,9.865
Accel,106314,1066503471,1731910126789,1731910126789,-0.196,0.078,9.865
Accel,106315,1066513335,1731910126798,1731910126799,-0.206,0.078,9.846
Accel,106316,1066523199,1731910126808,1731910126808,-0.206,0.078,9.865
Accel,106317,1066533065,1731910126818,1731910126818,-0.196,0.078,9.885
Accel,106318,1066542931,1731910126828,1731910126828,-0.206,0.078,9.865
Accel,106319,1066552797,1731910126838,1731910126838,-0.206,0.078,9.865
Accel,106320,1066562663,1731910126848,1731910126848,-0.206,0.078,9.865
Accel,106321,1066572529,1731910126857,1731910126858,-0.206,0.078,9.865
Accel,106322,1066582393,1731910126867,1731910126868,-0.196,0.069,9.865
Accel,106323,1066592259,1731910126877,1731910126877,-0.196,0.078,9.865
Accel,106324,1066602125,1731910126887,1731910126887,-0.196,0.069,9.885
Accel,106325,1066611989,1731910126896,1731910126897,-0.196,0.078,9.865
Accel,106326,1066621855,1731910126906,1731910126907,-0.206,0.069,9.865
Accel,106327,1066631719,1731910126916,1731910126916,-0.196,0.078,9.846
Accel,106328,1066641585,1731910126926,1731910126927,-0.196,0.078,9.865
Accel,106329,1066651451,1731910126936,1731910126936,-0.226,0.078,9.865
Accel,106330,1066661317,1731910126946,1731910126946,-0.206,0.078,9.865
Accel,106331,1066671183,1731910126956,1731910126956,-0.177,0.069,9.865
Accel,106332,1066681047,1731910126966,1731910126966,-0.177,0.078,9.865
Accel,106333,1066690913,1731910126976,1731910126976,-0.186,0.078,9.865
Accel,106334,1066700779,1731910126985,1731910126985,-0.206,0.078,9.865
Accel,106335,1066710645,1731910126995,1731910126996,-0.206,0.078,9.865
Accel,106336,1066720511,1731910127005,1731910127005,-0.196,0.069,9.846
Accel,106337,1066730377,1731910127015,1731910127015,-0.186,0.069,9.865
Accel,106338,1066740241,1731910127025,1731910127025,-0.196,0.078,9.865
Accel,106339,1066750107,1731910127035,1731910127035,-0.226,0.078,9.865
Accel,106340,1066759971,1731910127045,1731910127045,-0.196,0.078,9.865
