Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,130870,1308761627,1731910369025,1731910369025,-0.196,0.039,9.846
Accel,130871,1308771493,1731910369035,1731910369035,-0.196,0.039,9.865
Accel,130872,1308781357,1731910369045,1731910369045,-0.226,0.029,9.865
Accel,130873,1308791223,1731910369055,1731910369055,-0.206,0.029,9.865
Accel,130874,1308801087,1731910369064,1731910369064,-0.196,0.029,9.865
Accel,130875,1308810953,1731910369074,1731910369074,-0.196,0.029,9.865
Accel,130876,1308820817,1731910369084,1731910369084,-0.196,0.039,9.846
Accel,130877,1308830681,1731910369094,1731910369094,-0.206,0.039,9.865
Accel,130878,1308840545,1731910369104,1731910369104,-0.196,0.029,9.865
Accel,130879,1308850411,1731910369114,1731910369114,-0.186,0.039,9.865
Accel,130880,1308860277,1731910369124,1731910369124,-0.196,0.039,9.865
Accel,130881,1308870141,1731910369134,1731910369134,-0.186,0.039,9.865
Accel,130882,1308880005,1731910369143,1731910369144,-0.196,0.039,9.865
Accel,130883,1308889869,1731910369153,1731910369154,-0.196,0.029,9.865
Accel,130884,1308899735,1731910369163,1731910369163,-0.186,0.039,9.865
Accel,130885,1308909599,1731910369173,1731910369173,-0.226,0.039,9.865
Accel,130935,1309402849,1731910369666,1731910369666,-1.069,-2.922,9.836
Accel,130936,1309412715,1731910369676,1731910369677,-0.843,-2.903,9.885
Accel,130937,1309422581,1731910369686,1731910369686,-0.804,-2.854,9.865
Accel,130938,1309432445,1731910369696,1731910369696,-0.883,-3.011,9.797
Accel,130939,1309442311,1731910369706,1731910369706,-0.941,-3.011,9.836
Accel,130940,1309452175,1731910369716,1731910369716,-1.020,-3.177,9.816
Accel,130941,1309462041,1731910369726,1731910369726,-1.059,-3.334,9.767
Accel,130942,1309471905,1731910369736,1731910369736,-1.118,-3.560,9.865
Accel,130943,1309481769,1731910369745,1731910369745,-1.049,-3.373,9.787
Accel,130944,1309491633,1731910369755,1731910369755,-0.579,-3.040,9.787
Accel,130945,1309501499,1731910369765,1731910369765,-0.490,-3.177,9.767
Accel,130946,1309511365,1731910369775,1731910369775,-0.618,-3.109,10.042
Accel,130947,1309521229,1731910369785,1731910369785,-0.441,-2.785,10.042
Accel,130948,1309531097,1731910369794,1731910369795,-0.667,-3.383,9.767
Accel,130949,1309540961,1731910369804,1731910369805,-0.333,-2.491,9.993
Accel,130950,1309550825,1731910369814,1731910369814,-0.206,-2.363,9.758
Accel,130951,1309560691,1731910369824,1731910369824,-0.579,-2.246,9.748
Accel,130952,1309570555,1731910369834,1731910369834,-0.941,-2.177,9.816
Accel,130953,1309580421,1731910369844,1731910369844,-1.138,-2.805,9.669
Accel,130954,1309590287,1731910369854,1731910369854,-1.471,-3.168,9.915
Accel,130955,1309600151,1731910369863,1731910369863,-1.775,-2.667,9.865
Accel,130956,1309610017,1731910369873,1731910369873,-1.618,-2.991,10.013
Accel,130957,1309619883,1731910369883,1731910369883,-1.373,-2.177,9.816
Accel,130958,1309629749,1731910369893,1731910369893,-1.422,-1.569,9.836
Accel,130959,1309639615,1731910369903,1731910369903,-1.608,-0.951,9.748
Accel,130960,1309649481,1731910369913,1731910369914,-1.393,-0.029,9.983
Accel,130961,1309659345,1731910369923,1731910369923,-0.961,0.098,9.846
Accel,130962,1309669211,1731910369933,1731910369933,-1.030,1.010,9.944
Accel,130963,1309679077,1731910369942,1731910369943,-0.804,1.785,9.836
Accel,130964,1309688943,1731910369953,1731910369953,-0.196,2.050,9.758
Accel,130965,1309698807,1731910369962,1731910369963,-0.206,2.177,10.062
Accel,130966,1309708673,1731910369973,1731910369973,-0.314,2.520,9.483
Accel,130967,1309718537,1731910369982,1731910369983,-0.402,2.991,9.885
Accel,130968,1309728401,1731910369992,1731910369992,-0.284,2.854,9.983
Accel,130969,1309738267,1731910370002,1731910370002,-0.167,3.148,9.816
Accel,130970,1309748131,1731910370012,1731910370012,0.039,3.766,9.709
Accel,130971,1309757995,1731910370021,1731910370022,-0.088,3.942,9.865
Accel,130972,1309767861,1731910370031,1731910370031,0.206,3.874,9.895
Accel,130973,1309777727,1731910370041,1731910370041,0.490,4.040,9.758
Accel,130974,1309787593,1731910370051,1731910370051,0.637,4.080,9.836
Accel,130975,1309797459,1731910370061,1731910370061,0.843,4.236,10.062
Accel,130976,1309807323,1731910370071,1731910370071,1.206,4.286,9.964
Accel,130977,1309817189,1731910370081,1731910370081,1.432,4.129,9.915
Accel,130978,1309827053,1731910370091,1731910370091,1.736,4.403,10.042
Accel,130979,1309836919,1731910370100,1731910370101,1.324,4.442,9.915
Accel,130980,1309846783,1731910370110,1731910370111,1.157,4.099,9.993
Accel,130981,1309856649,1731910370120,1731910370120,1.059,3.874,10.071
Accel,130982,1309866515,1731910370130,1731910370130,0.883,3.736,9.816
