Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,145683,1454909155,1731910515160,1731910515160,-0.226,0.029,9.865
Accel,145684,1454919021,1731910515170,1731910515170,-0.206,0.039,9.846
Accel,145685,1454928887,1731910515179,1731910515180,-0.196,0.039,9.846
Accel,145686,1454938753,1731910515189,1731910515190,-0.196,0.039,9.885
Accel,145687,1454948619,1731910515199,1731910515199,-0.206,0.029,9.865
Accel,145688,1454958483,1731910515209,1731910515209,-0.206,0.039,9.865
Accel,145689,1454968351,1731910515219,1731910515219,-0.206,0.039,9.865
Accel,145690,1454978217,1731910515229,1731910515229,-0.206,0.020,9.865
Accel,145691,1454988081,1731910515239,1731910515239,-0.206,0.039,9.865
Accel,145692,1454997947,1731910515249,1731910515249,-0.206,0.039,9.865
Accel,145693,1455007813,1731910515258,1731910515259,-0.196,0.039,9.846
Accel,145694,1455017681,1731910515268,1731910515268,-0.196,0.039,9.865
Accel,145695,1455027547,1731910515278,1731910515278,-0.196,0.039,9.865
Accel,145696,1455037413,1731910515288,1731910515288,-0.186,0.039,9.846
Accel,145697,1455047279,1731910515298,1731910515298,-0.196,0.029,9.865
Accel,145698,1455057145,1731910515308,1731910515308,-0.196,0.039,9.865
Accel,145747,1455540621,1731910515791,1731910515791,-1.422,-3.442,9.865
Accel,145748,1455550487,1731910515801,1731910515802,-1.422,-3.305,9.807
Accel,145749,1455560355,1731910515811,1731910515811,-1.549,-3.040,9.807
Accel,145750,1455570221,1731910515821,1731910515821,-1.608,-2.697,9.611
Accel,145751,1455580089,1731910515831,1731910515831,-1.618,-2.452,10.219
Accel,145752,1455589955,1731910515841,1731910515841,-1.755,-2.540,9.944
Accel,145753,1455599823,1731910515850,1731910515850,-1.932,-2.815,9.865
Accel,145754,1455609691,1731910515860,1731910515860,-1.245,-1.932,9.885
Accel,145755,1455619557,1731910515870,1731910515870,-0.912,-1.618,9.915
Accel,145756,1455629423,1731910515880,1731910515880,-0.794,-1.255,9.846
Accel,145757,1455639289,1731910515890,1731910515890,-0.706,-1.020,9.787
Accel,145758,1455649155,1731910515900,1731910515900,-0.775,-1.118,9.758
Accel,145759,1455659021,1731910515910,1731910515910,-0.490,-0.951,9.895
Accel,145760,1455668889,1731910515920,1731910515920,-0.333,-0.667,9.885
Accel,145761,1455678757,1731910515930,1731910515930,-0.343,-0.275,9.816
Accel,145762,1455688623,1731910515939,1731910515939,-0.530,-0.559,9.836
Accel,145763,1455698491,1731910515949,1731910515950,-0.294,-0.333,9.993
Accel,145764,1455708361,1731910515959,1731910515959,-0.579,0.343,9.865
Accel,145765,1455718229,1731910515969,1731910515970,-0.451,0.598,9.915
Accel,145766,1455728095,1731910515979,1731910515979,0.137,1.138,9.620
Accel,145767,1455737963,1731910515989,1731910515989,0.275,1.471,9.865
Accel,145768,1455747829,1731910515999,1731910515999,0.245,1.687,10.111
Accel,145769,1455757697,1731910516008,1731910516009,0.343,1.952,9.885
Accel,145770,1455767563,1731910516018,1731910516018,0.275,2.148,9.885
Accel,145771,1455777429,1731910516028,1731910516029,-0.343,2.020,9.836
Accel,145772,1455787295,1731910516038,1731910516039,-0.735,1.834,9.964
Accel,145773,1455797161,1731910516048,1731910516048,-0.686,1.628,9.865
Accel,145774,1455807027,1731910516058,1731910516058,-0.127,2.334,9.865
Accel,145775,1455816895,1731910516068,1731910516068,0.510,3.452,9.758
Accel,145776,1455826761,1731910516077,1731910516078,0.804,3.403,9.797
Accel,145777,1455836627,1731910516087,1731910516088,1.020,3.403,9.964
Accel,145778,1455846493,1731910516097,1731910516097,1.128,3.305,9.944
Accel,145779,1455856359,1731910516107,1731910516107,1.030,3.079,9.699
