Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,168554,1680534155,1731910740765,1731910740765,-0.196,0.039,9.865
Accel,168555,1680544023,1731910740775,1731910740775,-0.206,0.059,9.885
Accel,168556,1680553889,1731910740785,1731910740785,-0.196,0.039,9.865
Accel,168557,1680563755,1731910740794,1731910740794,-0.206,0.039,9.865
Accel,168558,1680573619,1731910740804,1731910740805,-0.206,0.059,9.865
Accel,168559,1680583485,1731910740814,1731910740814,-0.206,0.059,9.865
Accel,168560,1680593349,1731910740824,1731910740824,-0.226,0.069,9.865
Accel,168561,1680603215,1731910740834,1731910740834,-0.186,0.059,9.865
Accel,168562,1680613081,1731910740844,1731910740844,-0.186,0.059,9.865
Accel,168563,1680622945,1731910740854,1731910740854,-0.196,0.039,9.865
Accel,168564,1680632811,1731910740864,1731910740864,-0.206,0.039,9.865
Accel,168565,1680642677,1731910740874,1731910740874,-0.206,0.029,9.865
Accel,168566,1680652541,1731910740883,1731910740883,-0.206,0.039,9.865
Accel,168567,1680662409,1731910740893,1731910740893,-0.196,0.039,9.865
Accel,168568,1680672275,1731910740903,1731910740903,-0.196,0.039,9.865
Accel,168569,1680682141,1731910740913,1731910740913,-0.196,0.039,9.865
Accel,168618,1681165561,1731910741396,1731910741396,0.255,1.569,9.915
Accel,168619,1681175427,1731910741406,1731910741406,0.255,1.402,10.160
Accel,168620,1681185295,1731910741416,1731910741416,-0.039,1.697,9.650
Accel,168621,1681195161,1731910741426,1731910741426,-0.333,1.736,9.650
Accel,168622,1681205027,1731910741436,1731910741436,-0.363,0.667,9.964
Accel,168623,1681214895,1731910741446,1731910741446,-0.422,-0.196,9.983
Accel,168624,1681224761,1731910741455,1731910741456,-0.343,-0.137,9.915
Accel,168625,1681234629,1731910741465,1731910741466,-0.186,-0.029,9.885
Accel,168626,1681244495,1731910741475,1731910741475,-0.245,-0.530,9.915
Accel,168627,1681254361,1731910741485,1731910741485,-0.382,-0.735,9.709
Accel,168628,1681264227,1731910741495,1731910741495,-0.275,-0.294,9.836
Accel,168629,1681274093,1731910741505,1731910741505,-0.490,-0.951,9.915
Accel,168630,1681283959,1731910741515,1731910741515,-0.530,-1.206,9.993
Accel,168631,1681293827,1731910741525,1731910741525,-0.137,-1.049,9.807
Accel,168632,1681303693,1731910741535,1731910741535,-0.088,-1.353,9.944
Accel,168633,1681313559,1731910741545,1731910741545,-0.118,-1.952,9.915
Accel,168634,1681323425,1731910741554,1731910741554,-0.137,-1.804,9.797
Accel,168635,1681333291,1731910741564,1731910741564,-0.078,-2.256,9.816
Accel,168636,1681343157,1731910741574,1731910741574,-0.088,-2.422,9.885
Accel,168637,1681353025,1731910741584,1731910741584,-0.402,-2.393,9.836
Accel,168638,1681362891,1731910741594,1731910741594,-0.843,-1.687,9.807
Accel,168639,1681372755,1731910741604,1731910741604,-0.814,-2.716,9.836
Accel,168640,1681382621,1731910741614,1731910741614,-0.510,-2.922,9.807
Accel,168641,1681392487,1731910741624,1731910741624,-0.265,-2.138,9.767
Accel,168642,1681402351,1731910741633,1731910741633,-0.088,-2.256,9.885
Accel,168643,1681412217,1731910741643,1731910741644,-0.078,-2.422,9.944
Accel,168644,1681422083,1731910741653,1731910741653,-0.451,-2.383,9.865
Accel,168645,1681431947,1731910741663,1731910741663,-0.726,-3.011,9.807
Accel,168646,1681441813,1731910741673,1731910741673,-0.922,-2.873,9.816
Accel,168647,1681451677,1731910741683,1731910741683,-1.118,-2.716,9.846
Accel,168648,1681461543,1731910741692,1731910741692,-1.206,-2.334,9.836
Accel,168649,1681471411,1731910741702,1731910741702,-1.167,-2.128,9.807
Accel,168650,1681481277,1731910741712,1731910741712,-0.981,-2.069,9.836
Accel,168651,1681491141,1731910741722,1731910741723,-0.598,-1.687,9.816
Accel,168652,1681501007,1731910741732,1731910741732,-0.167,-1.559,9.846
Accel,168653,1681510873,1731910741742,1731910741742,0.029,-1.471,9.846
Accel,168654,1681520737,1731910741752,1731910741752,0.078,-1.402,9.865
Accel,168655,1681530603,1731910741761,1731910741761,0.235,-1.765,9.816
Accel,168656,1681540469,1731910741771,1731910741771,-0.118,-1.981,9.885
Accel,168657,1681550333,1731910741781,1731910741781,-0.284,-1.844,9.885
Accel,168658,1681560199,1731910741791,1731910741791,-0.451,-1.471,9.836
Accel,168659,1681570063,1731910741801,1731910741801,-0.451,-1.138,9.865
Accel,168660,1681579929,1731910741811,1731910741811,-0.402,-0.951,9.816
Accel,168661,1681589795,1731910741821,1731910741821,-0.333,-0.686,9.816
Accel,168662,1681599661,1731910741830,1731910741831,-0.235,-0.559,9.915
Accel,168663,1681609527,1731910741840,1731910741840,-0.127,-0.549,9.865
Accel,168664,1681619391,1731910741850,1731910741850,-0.137,-0.696,9.885
Accel,168665,1681629257,1731910741860,1731910741860,-0.167,-0.941,9.885
Accel,168666,1681639121,1731910741870,1731910741870,-0.245,-0.990,9.836
Accel,168667,1681648987,1731910741880,1731910741880,-0.206,-0.853,9.836
Accel,168668,1681658853,1731910741889,1731910741890,-0.235,-0.667,9.865
Accel,168669,1681668719,1731910741900,1731910741900,-0.206,-0.226,9.865
Accel,168670,1681678585,1731910741910,1731910741910,-0.206,0.088,9.865
Accel,168671,1681688451,1731910741919,1731910741919,-0.196,0.059,9.865
Accel,168672,1681698315,1731910741930,1731910741930,-0.206,0.039,9.865
Accel,168673,1681708181,1731910741939,1731910741940,-0.206,0.039,9.865
Accel,168674,1681718045,1731910741949,1731910741949,-0.206,0.039,9.865
Accel,168675,1681727909,1731910741959,1731910741959,-0.196,0.039,9.865
Accel,168676,1681737775,1731910741968,1731910741969,-0.196,0.039,9.865
Accel,168677,1681747639,1731910741978,1731910741978,-0.196,0.039,9.865
Accel,168678,1681757505,1731910741988,1731910741989,-0.206,0.039,9.846
Accel,168679,1681767369,1731910741998,1731910741998,-0.196,0.069,9.865
Accel,168680,1681777233,1731910742008,1731910742008,-0.206,0.059,9.885
Accel,168681,1681787099,1731910742018,1731910742018,-0.206,0.029,9.865
Accel,168682,1681796965,1731910742028,1731910742028,-0.196,0.020,9.885
Accel,168683,1681806829,1731910742038,1731910742038,-0.196,0.010,9.865
Accel,168684,1681816695,1731910742047,1731910742048,-0.196,0.000,9.865
Accel,168685,1681826561,1731910742058,1731910742058,-0.186,-0.020,9.865
Accel,168686,1681836425,1731910742068,1731910742068,-0.186,-0.059,9.865
Accel,168687,1681846291,1731910742077,1731910742077,-0.196,-0.235,9.865
Accel,168688,1681856155,1731910742087,1731910742087,-0.186,-0.422,9.885
Accel,168689,1681866021,1731910742097,1731910742097,-0.275,-0.363,9.885
Accel,168690,1681875887,1731910742107,1731910742107,-0.137,-0.265,9.816
Accel,168691,1681885753,1731910742117,1731910742117,-0.127,-0.853,9.885
Accel,168692,1681895619,1731910742127,1731910742127,-0.265,-1.167,9.865
Accel,168693,1681905483,1731910742137,1731910742137,-0.255,-1.618,9.816
Accel,168694,1681915349,1731910742146,1731910742146,-0.265,-1.618,9.934
Accel,168695,1681925215,1731910742156,1731910742156,-0.402,-1.697,9.934
Accel,168696,1681935079,1731910742166,1731910742166,-0.294,-1.834,9.846
Accel,168697,1681944945,1731910742176,1731910742176,-0.667,-1.598,9.846
Accel,168698,1681954809,1731910742185,1731910742186,-0.628,-1.491,10.062
Accel,168699,1681964675,1731910742196,1731910742196,-0.451,-1.755,9.993
Accel,168700,1681974541,1731910742206,1731910742206,-0.402,-1.697,9.807
Accel,168701,1681984405,1731910742215,1731910742215,-0.314,-1.785,9.944
Accel,168702,1681994271,1731910742225,1731910742225,-0.402,-1.275,9.865
Accel,168703,1682004139,1731910742235,1731910742235,-0.363,-1.451,9.895
Accel,168704,1682014005,1731910742245,1731910742245,-0.363,-1.569,9.915
Accel,168705,1682023869,1731910742254,1731910742255,-0.598,-1.608,9.797
Accel,168706,1682033735,1731910742264,1731910742265,-0.814,-1.530,9.816
Accel,168707,1682043601,1731910742274,1731910742274,-0.990,-1.853,10.140
Accel,168708,1682053467,1731910742285,1731910742286,-0.941,-1.687,9.895
Accel,168709,1682063333,1731910742294,1731910742294,-0.843,-1.648,9.816
Accel,168710,1682073199,1731910742304,1731910742304,-0.745,-2.079,9.591
Accel,168711,1682083065,1731910742314,1731910742314,-0.490,-1.775,10.120
Accel,168712,1682092931,1731910742324,1731910742324,-0.510,-1.334,9.865
Accel,168713,1682102797,1731910742334,1731910742334,-0.598,-1.255,9.934
Accel,168714,1682112663,1731910742343,1731910742343,-0.775,-1.059,10.013
Accel,168715,1682122529,1731910742353,1731910742354,-0.990,-0.804,9.846
Accel,168716,1682132395,1731910742363,1731910742363,-1.324,-1.020,9.816
Accel,168717,1682142261,1731910742373,1731910742373,-1.520,-1.245,9.767
Accel,168718,1682152127,1731910742383,1731910742383,-1.500,-2.138,9.709
Accel,168719,1682161995,1731910742393,1731910742393,-1.206,-2.422,9.934
Accel,168720,1682171863,1731910742402,1731910742403,-1.098,-1.265,9.836
Accel,168721,1682181729,1731910742412,1731910742413,-0.873,-0.667,9.816
Accel,168722,1682191595,1731910742422,1731910742422,-1.020,-0.471,9.885
Accel,168723,1682201461,1731910742432,1731910742433,-0.961,-1.098,9.934
Accel,168724,1682211327,1731910742442,1731910742442,-0.510,-0.775,9.758
Accel,168725,1682221193,1731910742452,1731910742452,-0.510,-0.245,10.189
Accel,168726,1682231057,1731910742462,1731910742462,-0.510,-0.235,9.611
Accel,168727,1682240921,1731910742472,1731910742472,-0.775,-0.363,9.718
Accel,168728,1682250787,1731910742482,1731910742482,-0.843,-0.490,9.944
Accel,168729,1682260651,1731910742491,1731910742492,-0.834,-0.343,9.816
Accel,168730,1682270517,1731910742501,1731910742502,-0.706,0.039,9.758
Accel,168731,1682280381,1731910742511,1731910742511,-0.667,0.294,9.885
Accel,168732,1682290247,1731910742521,1731910742521,-0.343,-0.255,9.885
Accel,168733,1682300111,1731910742531,1731910742531,0.177,0.137,9.934
Accel,168734,1682309977,1731910742541,1731910742541,0.510,0.667,9.885
Accel,168735,1682319843,1731910742551,1731910742551,0.804,0.794,9.885
Accel,168736,1682329707,1731910742561,1731910742561,0.794,0.422,9.846
Accel,168737,1682339573,1731910742570,1731910742571,0.853,0.167,9.895
Accel,168738,1682349439,1731910742580,1731910742580,0.765,1.334,9.591
Accel,168739,1682359303,1731910742590,1731910742590,-0.088,1.059,9.915
Accel,168740,1682369169,1731910742600,1731910742600,-0.667,0.775,10.071
Accel,168741,1682379035,1731910742610,1731910742610,-0.804,0.902,9.915
Accel,168742,1682388901,1731910742620,1731910742620,-0.667,0.735,9.895
Accel,168743,1682398767,1731910742629,1731910742630,-0.020,1.569,9.797
Accel,168744,1682408633,1731910742639,1731910742639,0.637,1.451,9.885
Accel,168745,1682418499,1731910742649,1731910742649,1.010,1.128,9.983
Accel,168746,1682428363,1731910742659,1731910742659,1.206,1.834,9.816
Accel,168747,1682438229,1731910742669,1731910742669,1.373,1.834,9.934
Accel,168748,1682448095,1731910742679,1731910742679,0.843,2.236,9.836
Accel,168749,1682457961,1731910742688,1731910742689,0.402,2.991,9.758
Accel,168750,1682467827,1731910742698,1731910742699,-0.069,2.765,9.964
Accel,168751,1682477693,1731910742709,1731910742709,-0.422,2.765,9.915
Accel,168752,1682487559,1731910742718,1731910742718,-0.294,2.942,9.836
Accel,168753,1682497425,1731910742729,1731910742729,-0.196,2.511,9.846
Accel,168754,1682507291,1731910742738,1731910742739,0.069,2.285,9.895
