Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,15481,1891595559,1731910964656,1731910964656,-0.226,0.177,9.865
Accel,15482,1891605425,1731910964665,1731910964666,-0.226,0.167,9.865
Accel,15483,1891615291,1731910964675,1731910964676,-0.275,0.069,9.865
Accel,15484,1891625155,1731910964685,1731910964685,-0.284,-0.029,9.865
Accel,15485,1891635021,1731910964695,1731910964695,-0.333,-0.039,9.865
Accel,15486,1891644887,1731910964705,1731910964705,-0.265,-0.039,9.944
Accel,15487,1891654753,1731910964715,1731910964715,0.059,-0.167,10.297
Accel,15488,1891664619,1731910964725,1731910964725,0.314,-0.284,11.042
Accel,15489,1891674485,1731910964735,1731910964735,0.275,-0.029,11.444
Accel,15490,1891684351,1731910964744,1731910964745,-0.088,-0.078,11.336
Accel,15491,1891694217,1731910964754,1731910964754,-0.471,-0.206,11.013
Accel,15492,1891704083,1731910964764,1731910964764,-0.598,-0.314,10.944
Accel,15493,1891713947,1731910964774,1731910964774,-0.706,-0.451,10.885
Accel,15494,1891723813,1731910964784,1731910964784,-0.804,-0.657,10.768
Accel,15495,1891733677,1731910964794,1731910964794,-0.951,-0.834,10.532
Accel,15496,1891743543,1731910964804,1731910964804,-1.206,-0.873,10.140
Accel,15545,1892226951,1731910965287,1731910965287,0.343,0.000,9.571
Accel,15546,1892236817,1731910965297,1731910965297,0.618,0.000,9.336
Accel,15547,1892246683,1731910965307,1731910965307,0.834,0.000,9.257
Accel,15548,1892256549,1731910965317,1731910965317,0.912,0.137,9.218
Accel,15549,1892266415,1731910965327,1731910965327,0.765,-0.059,11.317
Accel,15550,1892276281,1731910965336,1731910965337,0.314,-0.873,11.317
Accel,15551,1892286147,1731910965346,1731910965346,0.402,0.235,9.483
Accel,15552,1892296015,1731910965356,1731910965356,0.961,0.667,9.846
Accel,15553,1892305881,1731910965366,1731910965366,1.226,0.265,9.915
Accel,15554,1892315747,1731910965376,1731910965376,1.334,0.333,9.885
Accel,15555,1892325613,1731910965386,1731910965386,1.461,0.490,9.865
Accel,15556,1892335477,1731910965395,1731910965396,1.422,0.530,9.944
Accel,15557,1892345343,1731910965405,1731910965406,1.344,0.598,9.865
Accel,15558,1892355209,1731910965415,1731910965415,1.334,0.775,9.846
Accel,15559,1892365075,1731910965425,1731910965425,1.206,0.853,9.885
Accel,15560,1892374941,1731910965435,1731910965436,1.167,0.883,9.865
Accel,15561,1892384805,1731910965445,1731910965446,1.196,1.030,9.865
Accel,15562,1892394673,1731910965455,1731910965455,1.265,1.285,9.865
Accel,15563,1892404539,1731910965465,1731910965465,1.275,1.432,9.983
Accel,15564,1892414407,1731910965475,1731910965475,1.128,1.687,9.865
Accel,15565,1892424273,1731910965484,1731910965484,0.990,1.834,9.915
Accel,15566,1892434139,1731910965494,1731910965494,0.843,1.981,9.865
Accel,15567,1892444003,1731910965504,1731910965504,0.834,2.246,9.865
Accel,15568,1892453869,1731910965514,1731910965514,0.706,2.197,9.865
Accel,15569,1892463735,1731910965524,1731910965524,0.382,2.167,9.934
Accel,15570,1892473601,1731910965534,1731910965534,0.226,2.403,9.787
Accel,15571,1892483467,1731910965544,1731910965544,0.137,2.393,9.865
Accel,15572,1892493331,1731910965554,1731910965554,-0.137,2.648,9.885
Accel,15573,1892503197,1731910965564,1731910965564,-0.382,2.952,9.885
Accel,15574,1892513061,1731910965574,1731910965574,-0.696,2.579,9.934
Accel,15575,1892522927,1731910965583,1731910965584,-0.628,2.589,9.807
Accel,15576,1892532791,1731910965593,1731910965593,-0.559,2.432,9.865
Accel,15577,1892542657,1731910965603,1731910965603,-0.530,2.030,9.915
Accel,15578,1892552521,1731910965613,1731910965613,-0.167,2.236,9.807
Accel,15579,1892562385,1731910965623,1731910965623,0.000,2.354,9.895
Accel,15580,1892572249,1731910965632,1731910965632,-0.284,1.893,9.836
Accel,15581,1892582115,1731910965642,1731910965642,-0.510,1.775,9.964
Accel,15582,1892591979,1731910965652,1731910965653,-1.206,2.079,9.816
Accel,15583,1892601845,1731910965662,1731910965662,-1.383,2.099,9.807
Accel,15584,1892611711,1731910965672,1731910965672,-1.451,1.746,9.865
Accel,15585,1892621575,1731910965682,1731910965682,-1.559,1.471,9.807
Accel,15586,1892631439,1731910965692,1731910965692,-1.687,1.402,9.787
Accel,15587,1892641305,1731910965702,1731910965702,-1.549,1.128,9.816
Accel,15588,1892651169,1731910965711,1731910965711,-1.451,0.549,9.964
Accel,15589,1892661035,1731910965721,1731910965721,-1.540,0.275,9.846
Accel,15590,1892670901,1731910965731,1731910965731,-1.981,-0.039,9.915
Accel,15591,1892680765,1731910965741,1731910965741,-2.452,0.314,9.816
Accel,15592,1892690631,1731910965751,1731910965751,-2.491,0.039,9.915
Accel,15593,1892700497,1731910965761,1731910965761,-2.403,-0.598,9.836
Accel,15594,1892710361,1731910965770,1731910965771,-1.902,-0.098,9.885
