Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,24573,1981288903,1731911054341,1731911054341,-0.196,0.059,9.865
Accel,24574,1981298769,1731911054351,1731911054351,-0.206,0.039,9.865
Accel,24575,1981308633,1731911054361,1731911054361,-0.196,0.059,9.865
Accel,24576,1981318497,1731911054371,1731911054371,-0.206,0.069,9.865
Accel,24577,1981328363,1731911054381,1731911054381,-0.196,0.059,9.865
Accel,24578,1981338229,1731911054391,1731911054391,-0.206,0.059,9.865
Accel,24579,1981348095,1731911054400,1731911054400,-0.196,0.069,9.865
Accel,24580,1981357961,1731911054410,1731911054410,-0.186,0.069,9.865
Accel,24581,1981367825,1731911054420,1731911054420,-0.196,0.059,9.865
Accel,24582,1981377691,1731911054430,1731911054430,-0.196,0.059,9.865
Accel,24583,1981387559,1731911054440,1731911054440,-0.206,0.059,9.885
Accel,24584,1981397423,1731911054450,1731911054450,-0.196,0.039,9.865
Accel,24585,1981407289,1731911054460,1731911054460,-0.206,0.069,9.865
Accel,24586,1981417157,1731911054469,1731911054469,-0.196,0.059,9.865
Accel,24587,1981427023,1731911054479,1731911054480,-0.206,0.059,9.865
Accel,24588,1981436889,1731911054489,1731911054489,-0.196,0.078,9.865
Accel,24637,1981920263,1731911054973,1731911054973,0.029,2.991,9.669
Accel,24638,1981930127,1731911054983,1731911054983,0.078,2.746,10.013
Accel,24639,1981939991,1731911054992,1731911054993,0.088,2.609,9.836
Accel,24640,1981949855,1731911055002,1731911055002,0.078,2.805,9.787
Accel,24641,1981959721,1731911055012,1731911055012,0.059,2.883,9.885
Accel,24642,1981969587,1731911055022,1731911055022,0.000,2.560,10.032
Accel,24643,1981979453,1731911055032,1731911055032,-0.088,3.040,9.846
Accel,24644,1981989321,1731911055042,1731911055042,-0.206,3.197,9.895
Accel,24645,1981999185,1731911055052,1731911055052,-0.314,3.266,9.836
Accel,24646,1982009051,1731911055062,1731911055062,-0.382,3.217,9.836
Accel,24647,1982018917,1731911055071,1731911055071,-0.402,3.128,9.807
Accel,24648,1982028781,1731911055081,1731911055082,-0.343,3.128,9.895
Accel,24649,1982038647,1731911055091,1731911055091,-0.186,2.922,9.944
Accel,24650,1982048513,1731911055101,1731911055101,-0.069,2.540,9.846
Accel,24651,1982058377,1731911055111,1731911055111,0.000,2.511,9.816
Accel,24652,1982068241,1731911055121,1731911055121,0.127,2.609,9.846
Accel,24653,1982078107,1731911055131,1731911055131,0.137,2.079,9.993
Accel,24654,1982087971,1731911055140,1731911055141,0.196,1.667,9.885
Accel,24655,1982097837,1731911055150,1731911055150,0.255,1.952,9.964
Accel,24656,1982107701,1731911055160,1731911055161,-0.029,1.196,9.865
Accel,24657,1982117565,1731911055170,1731911055170,-0.078,0.951,9.964
Accel,24658,1982127431,1731911055180,1731911055180,-0.088,0.275,10.013
Accel,24659,1982137295,1731911055190,1731911055190,-0.363,0.363,9.611
Accel,24660,1982147159,1731911055200,1731911055200,-0.441,0.255,9.846
Accel,24661,1982157025,1731911055210,1731911055210,-0.265,0.235,9.865
Accel,24662,1982166889,1731911055219,1731911055219,-0.118,-0.255,9.934
Accel,24663,1982176753,1731911055229,1731911055230,-0.118,-0.765,9.944
Accel,24664,1982186619,1731911055239,1731911055239,-0.098,-0.726,9.865
Accel,24665,1982196483,1731911055249,1731911055249,-0.020,-1.049,9.728
Accel,24666,1982206349,1731911055259,1731911055259,-0.059,-1.314,9.865
Accel,24667,1982216213,1731911055269,1731911055269,-0.010,-1.402,9.787
Accel,24668,1982226077,1731911055279,1731911055279,-0.226,-1.540,9.836
Accel,24669,1982235943,1731911055288,1731911055288,-0.235,-1.206,9.797
Accel,24670,1982245807,1731911055298,1731911055299,-0.118,-1.540,9.944
Accel,24671,1982255673,1731911055308,1731911055308,-0.314,-2.197,10.013
Accel,24672,1982265537,1731911055318,1731911055318,-0.530,-1.834,9.767
Accel,24673,1982275401,1731911055328,1731911055328,-0.402,-2.334,9.885
Accel,24674,1982285267,1731911055338,1731911055338,-0.559,-2.579,9.836
Accel,24675,1982295133,1731911055347,1731911055347,-0.530,-2.108,9.895
Accel,24676,1982304997,1731911055357,1731911055357,-0.530,-2.265,9.816
Accel,24677,1982314863,1731911055367,1731911055367,-0.696,-2.471,9.787
Accel,24678,1982324727,1731911055377,1731911055377,-0.834,-2.265,9.767
Accel,24679,1982334591,1731911055387,1731911055387,-0.951,-2.609,9.915
Accel,24680,1982344457,1731911055397,1731911055397,-0.981,-2.609,9.728
Accel,24681,1982354321,1731911055407,1731911055407,-0.951,-2.275,9.816
Accel,24682,1982364185,1731911055416,1731911055416,-0.912,-2.344,9.816
Accel,24683,1982374049,1731911055426,1731911055426,-0.667,-2.677,9.865
Accel,24684,1982383913,1731911055436,1731911055436,-0.451,-2.579,9.885
Accel,24685,1982393779,1731911055446,1731911055446,-0.471,-2.609,9.865
Accel,24686,1982403643,1731911055456,1731911055456,-0.530,-2.403,9.836
Accel,24687,1982413509,1731911055466,1731911055466,-0.314,-2.206,9.846
Accel,24688,1982423375,1731911055476,1731911055476,-0.363,-2.256,9.846
Accel,24689,1982433239,1731911055486,1731911055486,-0.559,-2.236,9.865
Accel,24690,1982443103,1731911055496,1731911055496,-0.579,-2.314,9.836
Accel,24691,1982452967,1731911055505,1731911055505,-0.451,-2.334,9.836
Accel,24692,1982462831,1731911055516,1731911055516,-0.343,-2.138,9.836
Accel,24693,1982472695,1731911055525,1731911055525,-0.245,-2.295,9.865
Accel,24694,1982482559,1731911055535,1731911055535,-0.118,-2.295,9.885
Accel,24695,1982492423,1731911055545,1731911055545,-0.157,-1.677,9.865
