Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,45579,2188504023,1731911261538,1731911261538,-0.196,0.039,9.865
Accel,45580,2188513889,1731911261548,1731911261548,-0.206,0.039,9.846
Accel,45581,2188523755,1731911261558,1731911261558,-0.226,0.059,9.865
Accel,45582,2188533619,1731911261568,1731911261568,-0.206,0.059,9.846
Accel,45583,2188543483,1731911261577,1731911261578,-0.196,0.039,9.865
Accel,45584,2188553347,1731911261587,1731911261588,-0.196,0.039,9.865
Accel,45585,2188563211,1731911261597,1731911261597,-0.186,0.039,9.865
Accel,45586,2188573075,1731911261607,1731911261607,-0.206,0.039,9.865
Accel,45587,2188582939,1731911261617,1731911261617,-0.206,0.029,9.865
Accel,45588,2188592805,1731911261627,1731911261627,-0.196,0.039,9.865
Accel,45589,2188602671,1731911261637,1731911261637,-0.196,0.039,9.865
Accel,45590,2188612535,1731911261647,1731911261647,-0.206,0.039,9.885
Accel,45591,2188622401,1731911261656,1731911261657,-0.206,0.039,9.865
Accel,45592,2188632267,1731911261666,1731911261667,-0.206,0.039,9.865
Accel,45593,2188642131,1731911261676,1731911261676,-0.196,0.039,9.846
Accel,45594,2188651997,1731911261686,1731911261686,-0.196,0.039,9.865
Accel,45642,2189125543,1731911262160,1731911262160,-1.255,0.118,9.836
Accel,45643,2189135409,1731911262170,1731911262170,-1.030,0.275,9.865
Accel,45644,2189145275,1731911262180,1731911262180,-1.020,0.686,9.865
Accel,45645,2189155139,1731911262189,1731911262189,-0.579,0.912,9.836
Accel,45646,2189165003,1731911262199,1731911262199,-0.088,0.951,9.846
Accel,45647,2189174869,1731911262209,1731911262210,0.167,0.726,9.915
Accel,45648,2189184735,1731911262219,1731911262219,0.363,0.686,9.865
Accel,45649,2189194601,1731911262229,1731911262229,0.637,0.471,9.865
Accel,45650,2189204465,1731911262239,1731911262239,0.951,0.402,9.885
Accel,45651,2189214329,1731911262249,1731911262249,1.285,0.245,9.836
Accel,45652,2189224193,1731911262259,1731911262259,1.373,0.078,9.895
Accel,45653,2189234057,1731911262269,1731911262269,1.952,0.206,9.944
Accel,45654,2189243921,1731911262278,1731911262278,2.383,0.284,9.865
Accel,45655,2189253785,1731911262288,1731911262288,2.324,0.363,9.885
Accel,45656,2189263649,1731911262298,1731911262298,2.873,0.275,9.944
Accel,45657,2189273513,1731911262308,1731911262308,2.952,0.363,9.964
Accel,45658,2189283377,1731911262317,1731911262318,3.403,0.157,10.032
Accel,45659,2189293243,1731911262327,1731911262327,3.246,0.177,9.944
Accel,45660,2189303107,1731911262337,1731911262337,2.991,0.088,9.816
Accel,45661,2189312973,1731911262347,1731911262347,2.834,0.167,9.885
Accel,45662,2189322839,1731911262357,1731911262357,2.971,0.137,9.895
Accel,45663,2189332705,1731911262367,1731911262367,3.599,0.069,9.885
Accel,45664,2189342569,1731911262377,1731911262377,4.374,-0.127,10.013
Accel,45665,2189352433,1731911262386,1731911262387,4.266,-0.333,9.885
Accel,45666,2189362297,1731911262396,1731911262396,3.854,-0.284,9.865
Accel,45667,2189372163,1731911262406,1731911262406,3.648,-0.186,9.885
Accel,45668,2189382027,1731911262416,1731911262416,3.217,-0.314,9.934
Accel,45669,2189391891,1731911262426,1731911262426,2.991,-0.235,9.915
Accel,45670,2189401755,1731911262436,1731911262436,2.677,-0.206,9.846
Accel,45671,2189411621,1731911262446,1731911262446,0.628,0.059,9.885
Accel,45672,2189421485,1731911262456,1731911262456,-0.559,0.127,9.865
Accel,45673,2189431351,1731911262465,1731911262466,-0.235,0.118,9.865
Accel,45674,2189441215,1731911262475,1731911262475,-0.167,0.000,9.865
Accel,45675,2189451079,1731911262485,1731911262485,-0.206,0.000,9.865
Accel,45676,2189460943,1731911262495,1731911262495,-0.235,0.039,9.865
Accel,45677,2189470807,1731911262505,1731911262505,-0.235,0.059,9.865
Accel,45678,2189480671,1731911262515,1731911262515,-0.206,0.039,9.865
Accel,45679,2189490537,1731911262524,1731911262525,-0.206,0.039,9.865
Accel,45680,2189500401,1731911262534,1731911262535,-0.275,0.294,9.846
Accel,45681,2189510265,1731911262544,1731911262544,-0.382,0.637,9.846
Accel,45682,2189520131,1731911262554,1731911262555,-0.255,0.363,9.865
Accel,45683,2189529995,1731911262564,1731911262564,-0.078,0.177,9.865
Accel,45684,2189539861,1731911262574,1731911262574,-0.127,-0.029,9.865
Accel,45685,2189549727,1731911262584,1731911262584,0.127,0.186,9.865
Accel,45686,2189559593,1731911262594,1731911262594,0.549,0.471,9.944
Accel,45687,2189569459,1731911262604,1731911262604,0.834,-0.029,10.434
Accel,45688,2189579323,1731911262614,1731911262614,1.432,-0.735,11.042
Accel,45689,2189589187,1731911262623,1731911262624,2.216,-0.157,10.542
Accel,45690,2189599051,1731911262633,1731911262633,3.177,1.010,10.797
Accel,45691,2189608917,1731911262643,1731911262643,4.080,0.628,11.386
Accel,45692,2189618781,1731911262653,1731911262653,4.354,0.696,11.415
Accel,45693,2189628647,1731911262663,1731911262663,4.766,0.843,11.219
Accel,45694,2189638513,1731911262672,1731911262673,5.070,0.618,10.866
Accel,45695,2189648379,1731911262683,1731911262683,4.943,0.441,10.542
