Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,80440,2532402449,1731911605406,1731911605406,-0.206,0.039,9.865
Accel,80441,2532412315,1731911605416,1731911605416,-0.196,0.039,9.865
Accel,80442,2532422181,1731911605426,1731911605426,-0.206,0.039,9.865
Accel,80443,2532432049,1731911605436,1731911605436,-0.206,0.039,9.865
Accel,80444,2532441915,1731911605446,1731911605446,-0.226,0.069,9.865
Accel,80445,2532451781,1731911605456,1731911605456,-0.255,0.078,9.865
Accel,80446,2532461649,1731911605465,1731911605466,-0.314,0.127,9.865
Accel,80447,2532471517,1731911605475,1731911605475,-0.294,0.167,9.865
Accel,80448,2532481385,1731911605485,1731911605486,-0.314,0.196,9.865
Accel,80449,2532491251,1731911605495,1731911605495,-0.363,0.265,9.865
Accel,80450,2532501119,1731911605505,1731911605505,-0.471,0.451,9.846
Accel,80451,2532510985,1731911605515,1731911605515,-0.490,0.549,9.846
Accel,80452,2532520851,1731911605525,1731911605525,-0.471,0.559,9.865
Accel,80453,2532530717,1731911605535,1731911605535,-0.490,0.775,9.846
Accel,80454,2532540585,1731911605545,1731911605545,-0.559,0.951,9.865
Accel,80455,2532550451,1731911605554,1731911605554,-0.628,1.118,9.885
Accel,80504,2533033871,1731911606038,1731911606038,0.157,-1.736,9.836
Accel,80505,2533043735,1731911606048,1731911606048,0.275,-1.677,9.836
Accel,80506,2533053601,1731911606058,1731911606058,0.314,-1.912,9.816
Accel,80507,2533063465,1731911606068,1731911606068,0.451,-1.814,9.816
Accel,80508,2533073329,1731911606077,1731911606077,0.382,-1.746,9.885
Accel,80509,2533083197,1731911606087,1731911606088,0.314,-1.765,9.885
Accel,80510,2533093061,1731911606097,1731911606097,0.235,-1.687,9.797
Accel,80511,2533102927,1731911606107,1731911606107,0.235,-1.775,9.885
Accel,80512,2533112793,1731911606117,1731911606117,0.363,-1.775,9.865
Accel,80513,2533122659,1731911606127,1731911606127,0.451,-1.697,9.807
Accel,80514,2533132525,1731911606136,1731911606136,0.382,-1.716,9.915
Accel,80515,2533142389,1731911606146,1731911606147,0.382,-1.697,9.865
Accel,80516,2533152255,1731911606156,1731911606156,0.422,-1.706,9.846
Accel,80517,2533162123,1731911606166,1731911606166,0.549,-1.648,9.865
