Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,88681,2613702781,1731911686700,1731911686700,-0.226,0.039,9.846
Accel,88682,2613712647,1731911686709,1731911686709,-0.226,0.039,9.865
Accel,88683,2613722513,1731911686719,1731911686719,-0.226,0.039,9.885
Accel,88684,2613732379,1731911686729,1731911686729,-0.206,0.039,9.846
Accel,88685,2613742245,1731911686739,1731911686739,-0.206,0.059,9.865
Accel,88686,2613752111,1731911686749,1731911686749,-0.206,0.039,9.865
Accel,88687,2613761975,1731911686759,1731911686759,-0.206,0.039,9.865
Accel,88688,2613771843,1731911686769,1731911686769,-0.226,0.039,9.865
Accel,88689,2613781709,1731911686778,1731911686778,-0.206,0.039,9.846
Accel,88690,2613791575,1731911686788,1731911686788,-0.206,0.059,9.865
Accel,88691,2613801441,1731911686798,1731911686798,-0.196,0.059,9.865
Accel,88692,2613811307,1731911686808,1731911686808,-0.206,0.059,9.865
Accel,88693,2613821173,1731911686818,1731911686818,-0.226,0.039,9.865
Accel,88694,2613831037,1731911686828,1731911686828,-0.226,0.039,9.885
Accel,88695,2613840905,1731911686838,1731911686838,-0.226,0.059,9.885
Accel,88696,2613850771,1731911686847,1731911686847,-0.206,0.039,9.865
Accel,88747,2614353913,1731911687351,1731911687351,-0.167,0.794,9.787
Accel,88748,2614363781,1731911687361,1731911687361,0.039,0.255,9.915
Accel,88749,2614373647,1731911687371,1731911687371,0.010,0.314,9.885
Accel,88750,2614383513,1731911687380,1731911687380,0.059,-0.029,9.885
Accel,88751,2614393379,1731911687390,1731911687390,0.559,-0.127,9.709
Accel,88752,2614403245,1731911687400,1731911687400,0.471,-0.029,9.964
Accel,88753,2614413111,1731911687410,1731911687411,0.275,-0.765,10.013
Accel,88754,2614422977,1731911687420,1731911687420,0.275,-0.284,9.669
Accel,88755,2614432843,1731911687430,1731911687430,0.451,-0.686,9.846
Accel,88756,2614442709,1731911687439,1731911687440,0.314,-0.530,9.944
Accel,88757,2614452577,1731911687449,1731911687449,0.628,-0.941,9.983
Accel,88758,2614462441,1731911687459,1731911687460,0.490,-0.990,9.846
