Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,103442,2759324419,1731911832308,1731911832309,-0.196,0.020,9.865
Accel,103443,2759334283,1731911832318,1731911832319,-0.196,0.029,9.846
Accel,103444,2759344149,1731911832328,1731911832328,-0.206,0.039,9.865
Accel,103445,2759354013,1731911832338,1731911832338,-0.186,0.039,9.865
Accel,103446,2759363879,1731911832348,1731911832348,-0.196,0.039,9.865
Accel,103447,2759373745,1731911832358,1731911832358,-0.196,0.029,9.865
Accel,103448,2759383611,1731911832368,1731911832368,-0.196,0.029,9.865
Accel,103449,2759393477,1731911832377,1731911832378,-0.186,0.029,9.865
Accel,103450,2759403343,1731911832387,1731911832387,-0.186,0.039,9.865
Accel,103451,2759413209,1731911832397,1731911832397,-0.196,0.029,9.865
Accel,103452,2759423075,1731911832407,1731911832407,-0.196,0.020,9.865
Accel,103453,2759432939,1731911832417,1731911832417,-0.206,0.029,9.865
Accel,103454,2759442805,1731911832427,1731911832427,-0.167,-0.029,9.865
Accel,103455,2759452671,1731911832437,1731911832437,-0.167,-0.078,9.865
Accel,103456,2759462537,1731911832447,1731911832447,-0.206,0.069,9.885
Accel,103457,2759472403,1731911832456,1731911832456,-0.206,0.029,9.865
Accel,103503,2759926237,1731911832910,1731911832910,-0.726,2.452,9.836
Accel,103504,2759936103,1731911832920,1731911832920,-0.549,2.050,9.885
Accel,103505,2759945967,1731911832930,1731911832930,-0.579,2.256,9.846
Accel,103506,2759955833,1731911832940,1731911832940,-0.549,2.128,9.885
Accel,103507,2759965699,1731911832950,1731911832950,-0.598,1.804,9.915
Accel,103508,2759975565,1731911832960,1731911832960,-0.883,1.716,9.846
Accel,103509,2759985431,1731911832970,1731911832970,-0.951,1.618,9.934
Accel,103510,2759995297,1731911832979,1731911832979,-0.922,1.128,10.042
Accel,103511,2760005161,1731911832990,1731911832990,-0.961,1.638,9.532
Accel,103512,2760015027,1731911832999,1731911833000,-0.794,1.530,9.797
Accel,103513,2760024893,1731911833009,1731911833010,-0.951,0.667,9.915
Accel,103514,2760034757,1731911833019,1731911833019,-1.314,0.579,9.944
Accel,103515,2760044623,1731911833029,1731911833029,-1.314,0.559,9.934
Accel,103516,2760054487,1731911833039,1731911833039,-1.167,0.490,9.816
Accel,103517,2760064351,1731911833049,1731911833049,-0.843,0.382,10.013
Accel,103518,2760074217,1731911833059,1731911833059,-0.696,0.706,9.885
Accel,103519,2760084081,1731911833068,1731911833068,-0.235,0.275,10.042
Accel,103520,2760093945,1731911833078,1731911833078,-0.078,1.020,9.542
Accel,103521,2760103811,1731911833088,1731911833088,0.235,0.579,10.062
Accel,103522,2760113677,1731911833098,1731911833098,0.186,-0.039,9.895
