Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,122777,2950063917,1731912023031,1731912023031,-0.196,0.039,9.865
Accel,122778,2950073781,1731912023041,1731912023041,-0.186,0.039,9.865
Accel,122779,2950083647,1731912023051,1731912023051,-0.196,0.029,9.865
Accel,122780,2950093511,1731912023061,1731912023061,-0.226,0.039,9.865
Accel,122781,2950103377,1731912023070,1731912023071,-0.196,0.029,9.846
Accel,122782,2950113243,1731912023080,1731912023081,-0.186,0.039,9.865
Accel,122783,2950123109,1731912023090,1731912023091,-0.196,0.029,9.865
Accel,122784,2950132975,1731912023100,1731912023100,-0.206,0.020,9.865
Accel,122785,2950142841,1731912023110,1731912023110,-0.196,0.029,9.865
Accel,122786,2950152707,1731912023120,1731912023120,-0.196,0.039,9.865
Accel,122787,2950162571,1731912023130,1731912023130,-0.196,0.039,9.885
Accel,122788,2950172437,1731912023140,1731912023140,-0.226,0.039,9.865
Accel,122789,2950182303,1731912023149,1731912023150,-0.206,0.059,9.865
Accel,122790,2950192169,1731912023159,1731912023160,-0.196,0.039,9.865
Accel,122791,2950202035,1731912023169,1731912023169,-0.186,0.039,9.865
Accel,122792,2950211901,1731912023179,1731912023179,-0.196,0.069,9.865
Accel,122838,2950665717,1731912023633,1731912023633,2.324,2.020,10.013
Accel,122839,2950675581,1731912023643,1731912023643,3.079,2.050,9.964
Accel,122840,2950685447,1731912023653,1731912023653,3.677,1.834,9.934
Accel,122841,2950695313,1731912023663,1731912023663,4.040,1.736,9.885
Accel,122842,2950705179,1731912023672,1731912023672,4.109,1.549,9.807
Accel,122843,2950715045,1731912023682,1731912023683,3.560,1.177,9.915
Accel,122844,2950724909,1731912023692,1731912023692,4.325,1.608,9.885
Accel,122845,2950734775,1731912023702,1731912023702,4.874,1.540,9.993
Accel,122846,2950744639,1731912023712,1731912023712,5.217,1.334,9.944
Accel,122847,2950754505,1731912023722,1731912023722,5.129,1.481,9.728
Accel,122848,2950764371,1731912023732,1731912023732,4.854,1.314,9.865
Accel,122849,2950774235,1731912023742,1731912023742,4.648,1.010,10.042
Accel,122850,2950784101,1731912023751,1731912023752,4.854,0.912,9.915
Accel,122851,2950793967,1731912023761,1731912023762,4.609,0.667,9.865
Accel,122852,2950803831,1731912023771,1731912023772,4.168,0.422,9.944
Accel,122853,2950813695,1731912023781,1731912023781,3.834,0.255,9.865
Accel,122854,2950823561,1731912023791,1731912023791,3.717,0.265,9.885
Accel,122855,2950833425,1731912023801,1731912023801,3.579,0.137,9.915
Accel,122856,2950843291,1731912023811,1731912023811,3.079,-0.118,9.885
Accel,122857,2950853157,1731912023821,1731912023821,2.069,-0.422,9.934
Accel,122858,2950863023,1731912023831,1731912023831,0.637,-0.530,9.836
Accel,122859,2950872889,1731912023840,1731912023841,-0.059,-0.363,9.846
Accel,122860,2950882753,1731912023850,1731912023851,-0.265,-0.020,9.865
Accel,122861,2950892619,1731912023860,1731912023860,-0.226,0.059,9.865
Accel,122862,2950902483,1731912023870,1731912023870,-0.167,0.078,9.865
Accel,122863,2950912349,1731912023880,1731912023880,0.088,0.382,9.865
