Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,1598832,2986622587,1731908525895,1731908525895,-0.196,0.059,9.865
Accel,1598833,2986632455,1731908525905,1731908525905,-0.206,0.029,9.846
Accel,1598834,2986642321,1731908525914,1731908525915,-0.196,0.039,9.885
Accel,1598835,2986652187,1731908525924,1731908525925,-0.186,0.039,9.865
Accel,1598836,2986662053,1731908525934,1731908525935,-0.196,0.02,9.865
Accel,1598837,2986671921,1731908525944,1731908525945,-0.206,0.01,9.865
Accel,1598894,2987234327,1731908526507,1731908526507,-0.696,1.304,9.865
Accel,1598895,2987244191,1731908526516,1731908526516,-0.667,1.559,9.934
Accel,1598896,2987254057,1731908526526,1731908526526,-0.628,1.863,9.895
Accel,1598897,2987263923,1731908526536,1731908526536,-0.657,2.001,9.836
Accel,1598898,2987273789,1731908526546,1731908526546,-0.775,2.001,9.964
Accel,1598899,2987283657,1731908526556,1731908526556,-1.03,2.452,9.63
Accel,1598900,2987293523,1731908526566,1731908526566,-0.628,2.873,9.807
Accel,1598901,2987303389,1731908526576,1731908526576,-0.667,2.716,9.915
Accel,1598902,2987313255,1731908526586,1731908526586,-0.559,2.873,9.865
Accel,1598903,2987323123,1731908526595,1731908526595,-0.196,3.079,9.934
Accel,1598904,2987332989,1731908526605,1731908526605,0.098,2.942,9.934
Accel,1598905,2987342855,1731908526615,1731908526615,0.314,2.942,9.807
Accel,1598906,2987352723,1731908526625,1731908526625,0.804,3.285,9.836
Accel,1598907,2987362591,1731908526635,1731908526635,1.069,3.54,9.865
Accel,1598908,2987372457,1731908526645,1731908526645,1.02,3.423,9.895
Accel,1598909,2987382323,1731908526655,1731908526655,0.422,3.305,9.865
Accel,1598910,2987392189,1731908526664,1731908526665,0.177,3.197,9.885
Accel,1598911,2987402055,1731908526674,1731908526674,0.598,2.834,9.915
Accel,1598912,2987411919,1731908526684,1731908526684,1.54,2.589,9.797
Accel,1598913,2987421785,1731908526694,1731908526694,1.883,3.109,9.915
Accel,1598914,2987431653,1731908526704,1731908526704,1.785,3.53,9.915
Accel,1598915,2987441519,1731908526714,1731908526714,1.618,2.903,9.964
Accel,1598916,2987451383,1731908526724,1731908526724,1.255,2.54,9.885
Accel,1598917,2987461251,1731908526733,1731908526734,1.206,2.785,9.816
Accel,1598918,2987471115,1731908526743,1731908526744,0.902,2.648,9.885
Accel,1598919,2987480981,1731908526753,1731908526753,0.343,2.138,9.915
Accel,1598920,2987490845,1731908526763,1731908526763,-0.078,1.785,9.836
Accel,1598921,2987500711,1731908526773,1731908526773,-0.363,1.481,9.885
Accel,1598922,2987510577,1731908526783,1731908526783,-0.294,1.324,9.836
Accel,1598923,2987520443,1731908526793,1731908526793,-0.157,1.157,9.865
Accel,1598924,2987530309,1731908526803,1731908526803,-0.177,0.843,9.865
Accel,1598925,2987540175,1731908526812,1731908526813,-0.245,0.51,9.885
Accel,1598926,2987550041,1731908526822,1731908526822,-0.382,0.441,9.865
Accel,1598927,2987559905,1731908526832,1731908526832,-0.441,0.422,9.865
Accel,1598928,2987569771,1731908526842,1731908526842,-0.451,0.451,9.865
Accel,1598929,2987579635,1731908526852,1731908526852,-0.265,0.177,9.865
Accel,1598930,2987589501,1731908526862,1731908526862,-0.167,0.01,9.865
Accel,1598931,2987599367,1731908526872,1731908526872,-0.196,0.039,9.865
Accel,1598932,2987609233,1731908526882,1731908526882,-0.206,0.039,9.865
Accel,1598933,2987619099,1731908526891,1731908526891,-0.186,0.039,9.885
Accel,1598934,2987628963,1731908526901,1731908526901,-0.177,0.039,9.846
Accel,1598935,2987638829,1731908526911,1731908526912,-0.186,0.039,9.865
Accel,1598936,2987648695,1731908526921,1731908526921,-0.206,0.059,9.865
Accel,1598937,2987658561,1731908526931,1731908526931,-0.226,0.039,9.865
Accel,1598938,2987668427,1731908526941,1731908526941,-0.206,0.059,9.865
Accel,1598939,2987678293,1731908526951,1731908526951,-0.206,0.069,9.865
Accel,1598940,2987688159,1731908526960,1731908526960,-0.196,0.039,9.865
Accel,1598941,2987698025,1731908526970,1731908526970,-0.186,0.039,9.865
Accel,1598942,2987707891,1731908526980,1731908526980,-0.196,0.059,9.865
Accel,1598943,2987717759,1731908526990,1731908526990,-0.196,0.039,9.865
Accel,1598944,2987727625,1731908527000,1731908527000,-0.196,0.039,9.846
Accel,1598945,2987737491,1731908527010,1731908527010,-0.196,0.059,9.836
Accel,1598946,2987747359,1731908527020,1731908527020,-0.206,0.059,9.865
Accel,1598947,2987757225,1731908527029,1731908527030,-0.206,0.078,9.885
Accel,1598948,2987767093,1731908527039,1731908527039,-0.382,0.167,9.865
Accel,1598949,2987776961,1731908527049,1731908527049,-0.628,0.294,9.865
Accel,1598950,2987786827,1731908527059,1731908527059,-0.883,0.53,9.836
Accel,1598951,2987796695,1731908527069,1731908527069,-0.794,0.696,9.865
Accel,1598952,2987806561,1731908527079,1731908527079,-1.02,0.99,9.846
