Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,1619670,3192227493,1731908731482,1731908731482,-0.196,0.039,9.865
Accel,1619671,3192237363,1731908731492,1731908731492,-0.196,0.039,9.865
Accel,1619672,3192247231,1731908731501,1731908731502,-0.206,0.039,9.846
Accel,1619673,3192257099,1731908731511,1731908731512,-0.186,0.039,9.865
Accel,1619674,3192266965,1731908731521,1731908731521,-0.186,0.039,9.865
Accel,1619675,3192276833,1731908731531,1731908731532,-0.196,0.059,9.865
Accel,1619676,3192286701,1731908731541,1731908731541,-0.206,0.059,9.865
Accel,1619677,3192296569,1731908731551,1731908731551,-0.196,0.039,9.865
Accel,1619678,3192306437,1731908731561,1731908731561,-0.196,0.059,9.846
Accel,1619679,3192316305,1731908731571,1731908731571,-0.226,0.157,9.846
Accel,1619680,3192326173,1731908731580,1731908731581,-0.275,0.363,9.865
Accel,1619681,3192336043,1731908731590,1731908731590,-0.265,0.314,9.865
Accel,1619682,3192345911,1731908731600,1731908731600,-0.314,0.696,9.865
Accel,1619683,3192355779,1731908731610,1731908731610,-0.275,0.775,9.846
Accel,1619684,3192365647,1731908731620,1731908731620,-0.245,0.883,9.865
Accel,1619685,3192375513,1731908731630,1731908731630,-0.294,1.167,9.885
Accel,1619686,3192385381,1731908731640,1731908731640,-0.245,1.422,9.885
Accel,1619687,3192395249,1731908731649,1731908731650,-0.196,1.648,9.836
Accel,1619688,3192405115,1731908731659,1731908731660,-0.177,1.804,9.934
Accel,1619689,3192414983,1731908731669,1731908731669,-0.167,2.177,9.865
Accel,1619690,3192424849,1731908731679,1731908731679,-0.069,2.393,9.865
Accel,1619691,3192434717,1731908731689,1731908731689,-0.157,2.52,9.807
Accel,1619692,3192444585,1731908731699,1731908731699,-0.235,2.628,9.885
Accel,1619693,3192454451,1731908731709,1731908731709,-0.275,2.746,9.895
Accel,1619694,3192464319,1731908731719,1731908731719,-0.363,2.815,9.865
Accel,1619695,3192474187,1731908731728,1731908731729,-0.451,2.746,9.807
Accel,1619696,3192484055,1731908731738,1731908731738,-0.559,2.677,9.865
Accel,1619697,3192493921,1731908731748,1731908731749,-0.657,2.746,9.865
Accel,1619698,3192503789,1731908731758,1731908731758,-0.696,2.903,9.964
Accel,1619699,3192513655,1731908731768,1731908731768,-0.686,3.197,9.885
Accel,1619700,3192523521,1731908731778,1731908731778,-0.559,3.011,9.865
