Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,1642212,3414662485,1731908953897,1731908953898,-0.206,0.137,9.865
Accel,1642213,3414672353,1731908953907,1731908953907,-0.206,0.137,9.865
Accel,1642214,3414682219,1731908953917,1731908953917,-0.196,0.137,9.865
Accel,1642215,3414692085,1731908953927,1731908953927,-0.196,0.137,9.846
Accel,1642216,3414701951,1731908953937,1731908953937,-0.196,0.127,9.865
Accel,1642217,3414711817,1731908953947,1731908953947,-0.206,0.127,9.885
Accel,1642218,3414721683,1731908953957,1731908953957,-0.226,0.098,9.885
Accel,1642219,3414731549,1731908953966,1731908953966,-0.186,0.078,9.865
Accel,1642220,3414741417,1731908953976,1731908953977,-0.157,0.118,9.885
Accel,1642221,3414751281,1731908953986,1731908953986,0.078,0.02,9.846
Accel,1642222,3414761147,1731908953996,1731908953996,0.167,0.078,9.865
Accel,1642223,3414771013,1731908954006,1731908954006,0.706,0.118,9.885
Accel,1642224,3414780881,1731908954016,1731908954016,1.157,0.226,9.885
Accel,1642225,3414790747,1731908954026,1731908954026,1.706,0.314,9.885
Accel,1642226,3414800613,1731908954036,1731908954036,1.648,0.402,9.885
Accel,1642227,3414810479,1731908954046,1731908954046,1.608,0.255,9.865
Accel,1642228,3414820345,1731908954055,1731908954055,1.736,0.235,9.865
Accel,1642229,3414830213,1731908954065,1731908954065,2.069,0.127,9.895
Accel,1642230,3414840077,1731908954075,1731908954075,2.334,-0.02,9.846
Accel,1642231,3414849945,1731908954085,1731908954085,2.197,-0.059,9.748
Accel,1642232,3414859813,1731908954095,1731908954095,2.108,-0.167,9.934
Accel,1642233,3414869681,1731908954105,1731908954105,2.138,-0.137,9.846
Accel,1642234,3414879549,1731908954114,1731908954115,2.118,-0.137,9.964
Accel,1642235,3414889415,1731908954124,1731908954124,1.981,-0.127,9.787
Accel,1642236,3414899283,1731908954134,1731908954134,1.814,-0.01,9.993
Accel,1642237,3414909149,1731908954144,1731908954144,1.716,0.039,9.915
Accel,1642238,3414919015,1731908954154,1731908954154,1.814,0.177,9.836
Accel,1642239,3414928883,1731908954164,1731908954164,1.834,0.01,10.071
Accel,1642240,3414938751,1731908954173,1731908954174,1.344,-0.02,9.944
Accel,1642241,3414948615,1731908954183,1731908954184,1.804,0.039,9.787
Accel,1642242,3414958481,1731908954193,1731908954193,1.834,0.078,9.944
Accel,1642243,3414968347,1731908954203,1731908954203,1.471,0.137,9.944
Accel,1642244,3414978215,1731908954213,1731908954213,1.138,0.245,9.846
Accel,1642245,3414988081,1731908954223,1731908954223,0.883,0.167,9.865
Accel,1642246,3414997947,1731908954233,1731908954233,0.912,0.314,9.865
Accel,1642247,3415007813,1731908954242,1731908954243,1.206,0.422,9.915
Accel,1642248,3415017681,1731908954253,1731908954253,1.304,0.549,9.983
Accel,1642249,3415027547,1731908954262,1731908954263,1.422,0.843,9.934
Accel,1642250,3415037415,1731908954272,1731908954272,1.589,0.883,9.895
Accel,1642251,3415047281,1731908954282,1731908954282,1.491,0.981,9.885
Accel,1642252,3415057147,1731908954292,1731908954292,0.951,0.598,9.885
Accel,1642253,3415067013,1731908954302,1731908954302,0.402,0.422,9.915
Accel,1642254,3415076879,1731908954312,1731908954312,0.069,0.598,9.885
Accel,1642255,3415086745,1731908954322,1731908954322,-0.314,0.471,9.865
Accel,1642256,3415096611,1731908954331,1731908954332,-0.206,0.402,9.787
Accel,1642257,3415106477,1731908954341,1731908954341,0.206,0.275,9.993
Accel,1642258,3415116343,1731908954351,1731908954351,0.402,0.186,9.836
Accel,1642259,3415126209,1731908954361,1731908954361,0.51,0.549,9.836
Accel,1642260,3415136077,1731908954371,1731908954371,0.637,0.471,9.885
Accel,1642261,3415145943,1731908954381,1731908954381,0.343,0.275,9.846
Accel,1642262,3415155809,1731908954390,1731908954391,-0.363,1.059,9.865
Accel,1642263,3415165675,1731908954401,1731908954401,-1.314,0.922,9.816
Accel,1642264,3415175541,1731908954410,1731908954411,-1.736,0.451,9.895
Accel,1642265,3415185409,1731908954420,1731908954420,-1.422,0.451,9.836
Accel,1642266,3415195277,1731908954430,1731908954430,-0.99,0.255,9.758
Accel,1642267,3415205143,1731908954440,1731908954440,-0.961,0.226,9.728
Accel,1642268,3415215009,1731908954450,1731908954450,-0.951,-0.275,9.964
Accel,1642269,3415224875,1731908954460,1731908954460,-0.686,-0.314,9.816
Accel,1642270,3415234743,1731908954470,1731908954470,-0.804,0.657,9.718
Accel,1642271,3415244609,1731908954479,1731908954480,-1.059,0.51,9.836
Accel,1642272,3415254475,1731908954489,1731908954489,-1.451,0.451,9.865
Accel,1642273,3415264341,1731908954499,1731908954499,-2.167,0.137,9.709
Accel,1642274,3415274207,1731908954509,1731908954509,-1.736,0.078,9.915
Accel,1642275,3415284075,1731908954519,1731908954519,-1.608,0.275,9.885
Accel,1642276,3415293941,1731908954529,1731908954529,-2.001,0.196,9.836
Accel,1642277,3415303809,1731908954539,1731908954539,-1.569,0.206,9.993
Accel,1642278,3415313677,1731908954549,1731908954549,-1.491,0.255,9.836
Accel,1642279,3415323543,1731908954558,1731908954558,-1.952,0.127,9.758
Accel,1642280,3415333409,1731908954568,1731908954568,-2.04,-0.02,9.915
Accel,1642281,3415343275,1731908954578,1731908954579,-2.02,0.039,9.885
Accel,1642282,3415353143,1731908954588,1731908954588,-2.295,0.088,9.865
Accel,1642283,3415363009,1731908954598,1731908954598,-2.295,0.177,9.885
Accel,1642284,3415372875,1731908954608,1731908954608,-2.285,0.275,9.865
Accel,1642285,3415382743,1731908954618,1731908954618,-2.383,0.137,9.865
Accel,1642286,3415392609,1731908954627,1731908954628,-2.511,-0.137,9.797
Accel,1642287,3415402475,1731908954637,1731908954637,-2.628,-0.167,9.836
Accel,1642288,3415412343,1731908954647,1731908954647,-2.589,-0.314,9.836
Accel,1642289,3415422209,1731908954657,1731908954657,-2.785,-0.53,9.865
Accel,1642290,3415432075,1731908954667,1731908954667,-3.011,-0.549,9.865
Accel,1642291,3415441941,1731908954677,1731908954677,-3.168,-0.53,9.865
Accel,1642292,3415451807,1731908954687,1731908954687,-3.109,-0.402,9.836
Accel,1642293,3415461673,1731908954696,1731908954697,-2.903,-0.294,9.836
Accel,1642294,3415471539,1731908954706,1731908954706,-2.785,-0.206,9.836
