Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,8886,105363453,1731909165733,1731909165733,-0.186,0.069,9.865
Accel,8887,105373319,1731909165742,1731909165743,-0.206,0.059,9.865
Accel,8888,105383187,1731909165753,1731909165753,-0.196,0.059,9.865
Accel,8889,105393053,1731909165762,1731909165763,-0.196,0.059,9.865
Accel,8890,105402921,1731909165772,1731909165773,-0.206,0.069,9.865
Accel,8891,105412787,1731909165782,1731909165782,-0.186,0.039,9.865
Accel,8892,105422655,1731909165792,1731909165792,-0.196,0.059,9.865
Accel,8893,105432523,1731909165802,1731909165802,-0.226,0.059,9.865
Accel,8894,105442389,1731909165812,1731909165812,-0.196,0.039,9.865
Accel,8895,105452255,1731909165822,1731909165822,-0.196,0.039,9.865
Accel,8896,105462123,1731909165831,1731909165832,-0.206,0.059,9.865
Accel,8897,105471989,1731909165842,1731909165842,-0.226,0.059,9.865
Accel,8898,105481857,1731909165851,1731909165852,-0.196,0.059,9.865
Accel,8899,105491723,1731909165861,1731909165861,-0.196,0.059,9.865
Accel,8900,105501589,1731909165871,1731909165871,-0.196,0.039,9.865
Accel,8901,105511455,1731909165881,1731909165881,-0.186,0.059,9.865
Accel,8902,105521323,1731909165891,1731909165891,-0.088,0.255,9.885
Accel,8903,105531191,1731909165901,1731909165901,-0.226,0.441,9.865
Accel,8904,105541057,1731909165910,1731909165910,-0.255,0.53,9.865
Accel,8905,105550925,1731909165920,1731909165920,-0.177,0.735,9.846
Accel,8906,105560795,1731909165930,1731909165930,-0.235,0.912,9.836
Accel,8907,105570663,1731909165940,1731909165940,-0.186,0.804,9.865
Accel,8908,105580531,1731909165950,1731909165950,-0.255,0.873,9.865
Accel,8909,105590399,1731909165959,1731909165960,-0.294,0.912,9.865
Accel,8910,105600267,1731909165969,1731909165969,-0.294,0.883,9.836
Accel,8911,105610135,1731909165979,1731909165979,-0.422,0.853,9.885
Accel,8912,105620001,1731909165989,1731909165990,-0.51,0.981,9.885
Accel,8913,105629869,1731909165999,1731909165999,-0.451,1.089,9.865
Accel,8914,105639737,1731909166009,1731909166009,-0.441,1.128,9.865
Accel,8915,105649605,1731909166019,1731909166019,-0.471,1.255,9.865
Accel,8916,105659473,1731909166028,1731909166029,-0.382,1.285,9.915
Accel,8917,105669339,1731909166038,1731909166039,-0.363,1.451,9.915
Accel,8918,105679207,1731909166048,1731909166048,-0.333,1.481,9.836
Accel,8919,105689073,1731909166058,1731909166058,-0.245,1.569,9.797
Accel,8920,105698941,1731909166068,1731909166068,-0.137,1.687,9.865
Accel,8921,105708809,1731909166078,1731909166078,-0.137,1.804,9.915
Accel,8922,105718677,1731909166088,1731909166088,-0.137,1.765,9.846
Accel,8923,105728545,1731909166098,1731909166098,-0.088,1.981,9.885
Accel,8924,105738411,1731909166107,1731909166108,-0.127,1.981,9.836
Accel,8925,105748279,1731909166117,1731909166118,-0.206,1.902,9.915
Accel,8926,105758145,1731909166127,1731909166127,-0.235,1.922,9.964
Accel,8927,105768011,1731909166137,1731909166137,-0.275,1.844,9.915
Accel,8928,105777877,1731909166147,1731909166147,-0.549,1.765,9.767
Accel,8929,105787745,1731909166157,1731909166157,-0.726,1.932,9.915
Accel,8930,105797611,1731909166167,1731909166167,-0.382,1.765,9.885
Accel,8931,105807479,1731909166177,1731909166177,-0.284,1.628,9.797
Accel,8932,105817347,1731909166187,1731909166187,-0.196,2.04,9.836
Accel,8933,105827213,1731909166196,1731909166196,-0.098,2.04,9.885
Accel,8934,105837079,1731909166207,1731909166207,-0.157,1.902,9.865
Accel,8935,105846945,1731909166216,1731909166216,-0.284,1.549,9.885
Accel,8936,105856811,1731909166226,1731909166227,-0.275,1.412,9.836
Accel,8937,105866677,1731909166236,1731909166236,-0.167,1.746,9.807
Accel,8938,105876545,1731909166246,1731909166246,-0.167,1.697,9.895
Accel,8939,105886413,1731909166256,1731909166256,-0.167,0.99,9.865
Accel,8940,105896279,1731909166266,1731909166266,-0.343,1.265,9.885
Accel,8941,105906145,1731909166276,1731909166276,-0.471,0.981,9.895
Accel,8942,105916011,1731909166285,1731909166285,-0.549,0.559,9.944
Accel,8943,105925877,1731909166295,1731909166295,-0.53,0.834,9.816
Accel,8944,105935745,1731909166305,1731909166305,-0.363,1.02,9.758
Accel,8945,105945611,1731909166315,1731909166315,-0.314,0.794,9.836
Accel,8946,105955477,1731909166325,1731909166325,-0.245,0.294,9.885
Accel,8947,105965345,1731909166335,1731909166335,-0.167,0.49,9.885
Accel,8948,105975211,1731909166344,1731909166344,-0.294,0.559,9.846
Accel,8949,105985077,1731909166354,1731909166354,-0.186,0.02,9.915
Accel,8950,105994943,1731909166364,1731909166364,-0.137,0.137,9.846
Accel,8951,106004811,1731909166374,1731909166374,0.0,-0.157,9.865
Accel,8952,106014675,1731909166384,1731909166384,0.02,-0.137,9.807
Accel,8953,106024543,1731909166394,1731909166394,-0.167,-0.284,9.807
Accel,8954,106034409,1731909166404,1731909166404,-0.157,-0.706,9.885
Accel,8955,106044275,1731909166413,1731909166414,-0.167,-0.706,9.816
Accel,8956,106054143,1731909166423,1731909166424,-0.363,-0.559,9.816
Accel,8957,106064009,1731909166433,1731909166433,-0.186,-0.637,9.816
Accel,8958,106073877,1731909166443,1731909166443,0.059,-1.098,9.934
Accel,8959,106083743,1731909166453,1731909166453,-0.078,-1.157,9.915
Accel,8960,106093609,1731909166463,1731909166463,0.0,-1.157,9.836
Accel,8961,106103473,1731909166472,1731909166473,0.167,-1.02,9.964
Accel,8962,106113339,1731909166482,1731909166483,-0.069,-0.735,9.865
Accel,8963,106123205,1731909166492,1731909166492,-0.069,-1.069,9.846
Accel,8964,106133071,1731909166502,1731909166502,0.127,-1.383,9.964
Accel,8965,106142937,1731909166512,1731909166512,0.245,-1.422,9.895
