Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,32150,334869717,1731909395219,1731909395219,-0.196,0.059,9.865
Accel,32151,334879583,1731909395229,1731909395229,-0.196,0.059,9.865
Accel,32152,334889447,1731909395238,1731909395239,-0.206,0.059,9.865
Accel,32153,334899313,1731909395249,1731909395249,-0.196,0.059,9.865
Accel,32154,334909179,1731909395258,1731909395259,-0.226,0.039,9.865
Accel,32155,334919045,1731909395268,1731909395269,-0.206,0.039,9.865
Accel,32156,334928911,1731909395278,1731909395278,-0.206,0.059,9.865
Accel,32157,334938777,1731909395288,1731909395288,-0.196,0.069,9.865
Accel,32158,334948643,1731909395298,1731909395298,-0.265,0.039,9.865
Accel,32159,334958509,1731909395308,1731909395308,-0.696,-0.02,9.865
Accel,32160,334968373,1731909395318,1731909395318,-0.99,-0.059,9.865
Accel,32161,334978237,1731909395328,1731909395328,-1.128,-0.02,9.846
Accel,32162,334988101,1731909395337,1731909395338,-1.451,0.039,9.846
Accel,32163,334997965,1731909395347,1731909395348,-1.804,0.098,9.836
Accel,32164,335007831,1731909395357,1731909395357,-1.971,0.196,9.865
Accel,32165,335017695,1731909395367,1731909395367,-2.197,0.284,9.865
Accel,32166,335027561,1731909395376,1731909395377,-2.491,0.314,9.836
Accel,32167,335037425,1731909395386,1731909395386,-2.854,0.333,9.865
Accel,32168,335047291,1731909395396,1731909395396,-3.197,0.206,9.816
Accel,32169,335057157,1731909395406,1731909395406,-3.383,-0.01,9.865
Accel,32170,335067021,1731909395416,1731909395416,-3.54,-0.265,9.816
Accel,32171,335076885,1731909395426,1731909395426,-3.834,-0.363,9.895
Accel,32172,335086751,1731909395436,1731909395436,-4.266,-0.265,9.846
Accel,32173,335096613,1731909395445,1731909395446,-4.335,0.078,9.836
Accel,32174,335106477,1731909395455,1731909395456,-4.06,0.422,9.865
Accel,32175,335116343,1731909395465,1731909395465,-4.011,0.363,9.865
Accel,32176,335126207,1731909395475,1731909395475,-3.423,0.363,9.865
Accel,32177,335136071,1731909395485,1731909395485,-3.197,0.402,9.758
Accel,32178,335145935,1731909395495,1731909395495,-3.354,-0.137,9.885
Accel,32179,335155799,1731909395505,1731909395505,-2.971,0.01,9.807
Accel,32180,335165665,1731909395514,1731909395514,-2.579,0.118,9.915
Accel,32181,335175529,1731909395524,1731909395525,-2.167,0.167,9.885
Accel,32182,335185393,1731909395534,1731909395534,-1.422,0.137,9.944
Accel,32183,335195257,1731909395544,1731909395544,-0.814,0.363,9.816
Accel,32184,335205121,1731909395554,1731909395554,-0.363,0.637,9.915
Accel,32185,335214985,1731909395564,1731909395564,-0.598,0.735,9.767
Accel,32186,335224849,1731909395574,1731909395574,-0.598,1.01,9.915
Accel,32187,335234715,1731909395584,1731909395584,-0.657,1.089,9.865
Accel,32188,335244579,1731909395593,1731909395594,-0.686,0.99,9.836
Accel,32189,335254445,1731909395603,1731909395603,-0.343,0.814,9.915
Accel,32190,335264309,1731909395613,1731909395614,0.873,0.834,9.983
Accel,32191,335274173,1731909395623,1731909395623,2.04,0.628,9.797
Accel,32192,335284037,1731909395633,1731909395633,2.648,0.53,9.895
Accel,32193,335293901,1731909395643,1731909395643,2.952,0.667,9.816
Accel,32194,335303767,1731909395653,1731909395653,3.472,0.343,9.934
Accel,32195,335313631,1731909395663,1731909395663,3.628,0.275,9.758
Accel,32196,335323497,1731909395672,1731909395673,3.423,0.363,9.915
Accel,32197,335333361,1731909395683,1731909395683,3.56,0.49,9.846
Accel,32198,335343227,1731909395692,1731909395693,3.717,0.51,9.915
Accel,32199,335353093,1731909395702,1731909395702,3.903,0.422,9.915
Accel,32200,335362959,1731909395712,1731909395712,3.874,0.333,9.964
Accel,32201,335372823,1731909395722,1731909395722,3.56,0.265,9.816
Accel,32202,335382689,1731909395732,1731909395732,3.373,0.01,9.885
Accel,32203,335392555,1731909395742,1731909395742,3.06,-0.196,9.895
Accel,32204,335402421,1731909395751,1731909395751,2.785,-0.255,9.865
Accel,32205,335412287,1731909395762,1731909395762,2.56,-0.265,9.885
Accel,32206,335422153,1731909395771,1731909395771,2.216,-0.255,9.885
Accel,32207,335432017,1731909395781,1731909395781,1.922,-0.275,9.865
