Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,44888,460531125,1731909520869,1731909520869,-0.206,0.029,9.865
Accel,44889,460540991,1731909520879,1731909520879,-0.206,0.039,9.865
Accel,44890,460550857,1731909520889,1731909520889,-0.226,0.059,9.865
Accel,44891,460560721,1731909520899,1731909520899,-0.206,0.039,9.865
Accel,44892,460570585,1731909520909,1731909520909,-0.206,0.039,9.865
Accel,44893,460580451,1731909520918,1731909520919,-0.196,0.039,9.865
Accel,44941,461053951,1731909521392,1731909521392,-0.196,0.039,9.865
Accel,44942,461063815,1731909521402,1731909521402,-0.206,0.039,9.865
Accel,44943,461073679,1731909521412,1731909521412,-0.206,0.029,9.865
Accel,44944,461083541,1731909521422,1731909521422,-0.177,-0.02,9.865
Accel,44945,461093407,1731909521432,1731909521432,0.157,-0.167,9.865
Accel,44946,461103271,1731909521442,1731909521442,0.157,-0.137,9.865
Accel,44947,461113135,1731909521451,1731909521451,0.343,-0.226,9.885
Accel,44948,461123001,1731909521461,1731909521461,0.451,-0.069,9.865
Accel,44949,461132863,1731909521471,1731909521471,0.637,0.039,9.895
Accel,44950,461142729,1731909521481,1731909521481,1.098,0.284,9.846
Accel,44951,461152593,1731909521491,1731909521491,1.667,0.559,9.885
Accel,44952,461162457,1731909521500,1731909521500,2.138,0.843,9.895
Accel,44953,461172321,1731909521511,1731909521511,2.432,0.922,9.915
Accel,44954,461182185,1731909521520,1731909521520,2.834,0.902,9.885
Accel,44955,461192049,1731909521530,1731909521530,3.109,0.686,9.836
Accel,44956,461201913,1731909521540,1731909521540,3.236,0.255,9.846
Accel,44957,461211777,1731909521550,1731909521550,3.315,-0.059,9.885
Accel,44958,461221641,1731909521559,1731909521560,3.266,-0.029,9.885
Accel,44959,461231505,1731909521569,1731909521569,3.246,0.137,9.885
Accel,44960,461241369,1731909521579,1731909521579,3.079,0.451,9.915
Accel,44961,461251231,1731909521589,1731909521589,2.785,0.637,9.865
Accel,44962,461261095,1731909521599,1731909521599,2.648,0.657,9.964
Accel,44963,461270959,1731909521609,1731909521609,2.589,0.598,9.915
Accel,44964,461280821,1731909521619,1731909521619,2.471,0.333,9.934
Accel,44965,461290683,1731909521629,1731909521629,2.628,0.118,9.885
Accel,44966,461300545,1731909521638,1731909521639,2.697,0.255,9.865
Accel,44967,461310409,1731909521649,1731909521649,2.275,0.078,9.865
Accel,44968,461320273,1731909521659,1731909521659,1.618,-0.167,9.836
Accel,44969,461330137,1731909521668,1731909521668,1.03,-0.088,9.865
Accel,44970,461340001,1731909521678,1731909521678,1.265,-0.245,9.964
Accel,44971,461349863,1731909521688,1731909521688,1.451,0.0,9.865
Accel,44972,461359729,1731909521698,1731909521698,1.883,0.255,9.836
Accel,44973,461369593,1731909521708,1731909521708,1.932,0.245,9.885
Accel,44974,461379457,1731909521717,1731909521717,1.814,0.441,9.885
Accel,44975,461389319,1731909521728,1731909521728,1.402,0.265,9.846
Accel,44976,461399183,1731909521737,1731909521737,0.618,0.382,9.885
Accel,44977,461409045,1731909521747,1731909521748,-0.157,-0.333,9.993
Accel,44978,461418907,1731909521757,1731909521757,-0.441,-0.167,9.885
Accel,44979,461428771,1731909521766,1731909521767,-0.598,0.628,9.895
Accel,44980,461438635,1731909521776,1731909521777,-0.834,0.559,9.816
Accel,44981,461448499,1731909521786,1731909521786,-1.393,-0.451,9.885
Accel,44982,461458361,1731909521796,1731909521796,-1.697,-1.167,9.915
Accel,44983,461468223,1731909521806,1731909521807,-2.334,0.029,9.895
Accel,44984,461478087,1731909521816,1731909521816,-2.746,0.078,9.885
Accel,44985,461487949,1731909521826,1731909521826,-3.285,-0.177,9.797
Accel,44986,461497813,1731909521836,1731909521836,-3.874,-0.314,9.807
