Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,55859,568749221,1731909629078,1731909629078,-0.206,0.069,9.865
Accel,55860,568759085,1731909629088,1731909629088,-0.206,0.069,9.885
Accel,55861,568768949,1731909629098,1731909629098,-0.206,0.078,9.865
Accel,55862,568778815,1731909629108,1731909629108,-0.226,0.059,9.865
Accel,55863,568788681,1731909629117,1731909629117,-0.206,0.069,9.865
Accel,55864,568798545,1731909629127,1731909629128,-0.226,0.059,9.865
Accel,55865,568808411,1731909629137,1731909629137,-0.206,0.069,9.865
Accel,55866,568818277,1731909629147,1731909629147,-0.206,0.363,9.865
Accel,55867,568828141,1731909629157,1731909629157,-0.343,1.02,9.865
Accel,55868,568838007,1731909629166,1731909629167,-0.363,1.402,9.865
Accel,55869,568847873,1731909629176,1731909629176,-0.363,1.618,9.885
Accel,55870,568857737,1731909629186,1731909629186,-0.471,1.961,9.816
Accel,55871,568867603,1731909629196,1731909629196,-0.471,2.187,9.885
Accel,55872,568877469,1731909629206,1731909629206,-0.51,2.609,9.836
Accel,55873,568887335,1731909629216,1731909629216,-0.451,2.677,9.846
Accel,55874,568897201,1731909629225,1731909629226,-0.363,2.746,9.836
Accel,55875,568907065,1731909629236,1731909629236,-0.294,2.697,9.944
Accel,55876,568916931,1731909629245,1731909629246,-0.206,2.815,9.885
Accel,55877,568926797,1731909629255,1731909629255,-0.039,2.922,9.767
Accel,55878,568936661,1731909629265,1731909629265,0.069,2.971,9.797
Accel,55879,568946525,1731909629275,1731909629276,0.02,2.991,9.865
Accel,55880,568956391,1731909629285,1731909629285,-0.265,2.903,9.915
Accel,55881,568966257,1731909629295,1731909629295,-0.53,3.011,9.807
Accel,55882,568976121,1731909629305,1731909629305,-0.686,2.697,9.895
Accel,55883,568985987,1731909629314,1731909629314,-0.883,2.609,9.836
Accel,55884,568995851,1731909629324,1731909629324,-0.912,2.579,9.797
Accel,55885,569005717,1731909629334,1731909629334,-0.628,2.344,9.885
Accel,55886,569015581,1731909629344,1731909629344,-0.235,2.393,9.915
Accel,55887,569025445,1731909629354,1731909629354,0.167,2.256,9.964
Accel,55888,569035311,1731909629364,1731909629364,0.275,1.902,9.865
Accel,55889,569045177,1731909629373,1731909629374,0.343,2.108,9.816
Accel,55890,569055043,1731909629384,1731909629384,0.275,2.118,9.915
Accel,55891,569064909,1731909629393,1731909629393,0.069,1.608,9.865
Accel,55892,569074773,1731909629403,1731909629403,-0.167,1.638,10.062
Accel,55893,569084639,1731909629413,1731909629413,-0.226,1.226,9.915
Accel,55894,569094505,1731909629423,1731909629423,-0.265,0.922,9.816
Accel,55895,569104369,1731909629433,1731909629433,-0.441,0.922,9.865
Accel,55896,569114237,1731909629443,1731909629443,-0.598,0.912,9.797
Accel,55897,569124101,1731909629453,1731909629453,-0.549,0.382,9.807
Accel,55898,569133967,1731909629463,1731909629463,-0.343,-0.078,9.709
Accel,55899,569143831,1731909629472,1731909629472,-0.255,-0.088,9.885
Accel,55900,569153697,1731909629482,1731909629482,-0.167,-0.078,9.865
Accel,55901,569163561,1731909629492,1731909629492,-0.039,-0.275,9.846
Accel,55902,569173425,1731909629502,1731909629502,-0.078,-0.51,9.836
Accel,55903,569183291,1731909629512,1731909629512,-0.275,-0.314,9.787
Accel,55904,569193155,1731909629522,1731909629522,-0.02,-0.265,9.846
Accel,55905,569203019,1731909629531,1731909629531,-0.137,-0.706,9.836
Accel,55906,569212885,1731909629542,1731909629542,0.167,-0.912,9.797
Accel,55907,569222749,1731909629551,1731909629552,0.51,-0.843,9.846
Accel,55908,569232613,1731909629561,1731909629562,0.559,-0.804,10.013
Accel,55909,569242479,1731909629571,1731909629571,0.579,-0.628,10.042
Accel,55910,569252343,1731909629581,1731909629581,0.088,-0.637,9.669
Accel,55911,569262209,1731909629590,1731909629591,-0.245,-1.128,9.895
Accel,55912,569272077,1731909629600,1731909629601,-0.294,-1.736,9.885
Accel,55913,569281943,1731909629610,1731909629610,-0.314,-2.05,9.944
Accel,55914,569291809,1731909629620,1731909629620,-0.53,-1.863,9.709
Accel,55915,569301673,1731909629630,1731909629630,-0.363,-2.069,9.758
Accel,55916,569311539,1731909629640,1731909629640,-0.343,-2.059,9.836
Accel,55917,569321405,1731909629650,1731909629650,-0.098,-2.471,9.993
Accel,55918,569331269,1731909629660,1731909629660,0.118,-2.677,9.816
Accel,55919,569341135,1731909629670,1731909629670,-0.078,-2.452,9.836
Accel,55920,569351001,1731909629680,1731909629680,-0.275,-2.579,9.836
Accel,55921,569360865,1731909629690,1731909629690,-0.363,-3.217,9.915
Accel,55922,569370731,1731909629699,1731909629699,-0.618,-3.609,9.797
Accel,55923,569380597,1731909629709,1731909629710,-0.883,-3.373,9.944
Accel,55924,569390461,1731909629719,1731909629719,-0.961,-3.648,9.885
Accel,55925,569400327,1731909629729,1731909629729,-1.069,-3.854,9.816
Accel,55926,569410193,1731909629739,1731909629739,-1.098,-3.697,9.816
Accel,55927,569420057,1731909629748,1731909629748,-0.843,-3.217,9.885
Accel,55928,569429921,1731909629759,1731909629759,-0.49,-3.079,9.816
Accel,55929,569439785,1731909629768,1731909629768,-0.088,-2.609,9.885
Accel,55930,569449651,1731909629778,1731909629779,0.422,-2.383,9.865
Accel,55931,569459515,1731909629788,1731909629788,0.402,-1.697,9.836
Accel,55932,569469381,1731909629798,1731909629798,-0.275,0.157,9.865
Accel,55933,569479245,1731909629808,1731909629808,-0.088,-0.196,9.895
Accel,55934,569489109,1731909629818,1731909629818,-0.127,-0.314,9.846
Accel,55935,569498975,1731909629828,1731909629828,-0.137,-0.177,9.865
Accel,55936,569508839,1731909629838,1731909629838,0.0,-0.314,9.885
Accel,55937,569518703,1731909629847,1731909629848,0.039,-0.51,9.885
Accel,55938,569528569,1731909629857,1731909629857,-0.069,-0.559,9.915
Accel,55939,569538433,1731909629867,1731909629867,-0.314,-1.559,9.895
Accel,55940,569548297,1731909629877,1731909629877,-0.912,-2.765,10.111
Accel,55941,569558163,1731909629887,1731909629887,-1.54,-3.266,11.994
Accel,55942,569568031,1731909629897,1731909629897,-1.353,-3.354,12.768
Accel,55943,569577897,1731909629907,1731909629907,-0.579,-4.031,12.543
Accel,55944,569587761,1731909629916,1731909629916,0.422,-3.854,12.464
Accel,55945,569597627,1731909629926,1731909629927,0.775,-2.628,12.415
Accel,55946,569607491,1731909629936,1731909629936,0.775,-1.952,12.062
Accel,55947,569617355,1731909629946,1731909629946,0.598,-1.883,11.69
