Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,68711,695522143,1731909755840,1731909755840,-0.206,0.059,9.885
Accel,68712,695532007,1731909755850,1731909755850,-0.196,0.059,9.885
Accel,68713,695541869,1731909755859,1731909755859,-0.206,0.059,9.865
Accel,68714,695551733,1731909755869,1731909755870,-0.206,0.039,9.865
Accel,68715,695561597,1731909755879,1731909755879,-0.226,0.039,9.865
Accel,68716,695571461,1731909755889,1731909755889,-0.206,0.039,9.865
Accel,68717,695581325,1731909755899,1731909755899,-0.196,0.039,9.865
Accel,68718,695591189,1731909755909,1731909755909,-0.226,0.039,9.865
Accel,68719,695601053,1731909755919,1731909755919,-0.206,0.078,9.865
Accel,68720,695610919,1731909755928,1731909755929,-0.196,0.235,9.865
Accel,68721,695620783,1731909755938,1731909755939,-0.186,0.51,9.865
Accel,68722,695630645,1731909755948,1731909755948,-0.196,1.059,9.865
Accel,68723,695640509,1731909755958,1731909755958,-0.245,1.344,9.865
Accel,68724,695650373,1731909755968,1731909755968,-0.167,1.461,9.836
Accel,68725,695660237,1731909755977,1731909755978,-0.127,1.559,9.895
Accel,68726,695670101,1731909755987,1731909755987,-0.059,1.814,9.885
Accel,68727,695679965,1731909755997,1731909755997,-0.039,1.961,9.836
Accel,68728,695689827,1731909756007,1731909756007,-0.039,2.295,9.895
Accel,68729,695699693,1731909756017,1731909756017,-0.078,2.56,9.944
Accel,68730,695709555,1731909756027,1731909756027,-0.167,2.942,9.797
Accel,68731,695719419,1731909756037,1731909756037,-0.275,3.109,9.885
Accel,68732,695729283,1731909756047,1731909756047,-0.422,3.285,9.865
Accel,68733,695739145,1731909756057,1731909756057,-0.284,3.334,9.865
Accel,68734,695749009,1731909756067,1731909756067,0.078,2.952,9.758
Accel,68735,695758873,1731909756076,1731909756076,0.333,2.765,9.885
Accel,68736,695768737,1731909756087,1731909756087,0.382,3.109,9.846
Accel,68737,695778599,1731909756096,1731909756096,0.333,3.285,9.787
Accel,68738,695788463,1731909756106,1731909756106,0.314,3.305,9.758
Accel,68739,695798325,1731909756116,1731909756116,0.039,2.746,10.111
Accel,68740,695808187,1731909756126,1731909756126,-0.167,2.805,9.885
Accel,68741,695818049,1731909756136,1731909756136,-0.118,3.403,9.816
Accel,68742,695827915,1731909756145,1731909756145,-0.275,2.873,9.944
Accel,68743,695837779,1731909756155,1731909756156,-0.343,2.903,9.895
Accel,68744,695847643,1731909756165,1731909756165,-0.275,2.54,9.885
Accel,68745,695857505,1731909756175,1731909756175,-0.402,2.412,9.885
Accel,68746,695867367,1731909756185,1731909756185,-0.549,2.314,9.758
Accel,68747,695877229,1731909756195,1731909756195,-0.657,2.079,9.915
Accel,68748,695887093,1731909756205,1731909756205,-0.834,1.991,9.915
Accel,68749,695896955,1731909756215,1731909756215,-0.902,1.422,9.915
Accel,68750,695906819,1731909756224,1731909756225,-0.941,1.667,9.865
Accel,68751,695916681,1731909756234,1731909756234,-0.951,1.02,9.895
Accel,68752,695926545,1731909756244,1731909756244,-0.794,0.853,9.983
Accel,68753,695936409,1731909756254,1731909756254,-0.49,0.402,9.915
Accel,68754,695946271,1731909756264,1731909756264,-0.451,-0.059,9.934
Accel,68755,695956135,1731909756274,1731909756274,-0.382,-0.039,9.709
Accel,68756,695965999,1731909756284,1731909756284,-0.343,-0.49,9.816
Accel,68757,695975863,1731909756293,1731909756293,-0.275,-0.735,9.964
Accel,68758,695985727,1731909756303,1731909756304,-0.167,-0.775,9.915
Accel,68759,695995591,1731909756313,1731909756313,-0.137,-0.696,9.709
Accel,68760,696005455,1731909756323,1731909756323,-0.226,-1.412,10.013
Accel,68761,696015319,1731909756333,1731909756333,-0.333,-1.5,9.885
Accel,68762,696025183,1731909756342,1731909756342,-0.294,-1.402,9.797
Accel,68763,696035047,1731909756353,1731909756353,-0.343,-2.001,9.934
Accel,68764,696044911,1731909756362,1731909756362,-0.255,-2.04,9.767
Accel,68765,696054775,1731909756372,1731909756372,-0.186,-2.069,9.836
Accel,68766,696064637,1731909756382,1731909756382,-0.294,-2.275,9.915
Accel,68767,696074501,1731909756392,1731909756392,-0.029,-2.677,9.944
Accel,68768,696084365,1731909756401,1731909756402,0.039,-2.393,9.934
Accel,68769,696094229,1731909756412,1731909756412,-0.01,-2.108,9.787
Accel,68770,696104091,1731909756421,1731909756421,-0.039,-2.177,9.816
Accel,68771,696113955,1731909756431,1731909756431,0.01,-1.922,9.846
Accel,68772,696123819,1731909756441,1731909756441,0.029,-1.853,9.836
Accel,68773,696133683,1731909756451,1731909756451,0.157,-2.246,9.865
Accel,68774,696143547,1731909756461,1731909756461,0.382,-2.216,9.797
Accel,68775,696153411,1731909756471,1731909756471,0.275,-2.187,9.865
Accel,68776,696163275,1731909756481,1731909756481,-0.039,-2.265,9.807
Accel,68777,696173139,1731909756490,1731909756490,-0.382,-2.354,9.885
Accel,68778,696183003,1731909756500,1731909756501,-0.49,-2.334,9.816
Accel,68779,696192865,1731909756510,1731909756510,-0.559,-2.02,9.846
Accel,68780,696202729,1731909756520,1731909756520,-0.579,-1.746,9.836
Accel,68781,696212595,1731909756530,1731909756530,-0.667,-1.559,9.836
Accel,68782,696222459,1731909756539,1731909756540,-0.598,-1.304,9.836
Accel,68783,696232323,1731909756550,1731909756550,-0.451,-1.118,9.865
Accel,68784,696242187,1731909756559,1731909756560,-0.363,-1.138,9.885
Accel,68785,696252051,1731909756569,1731909756569,-0.206,-1.206,9.885
Accel,68786,696261915,1731909756579,1731909756579,-0.137,-1.304,9.836
Accel,68787,696271779,1731909756589,1731909756589,-0.078,-1.353,9.895
Accel,68788,696281643,1731909756599,1731909756599,-0.167,-1.402,9.865
Accel,68789,696291507,1731909756609,1731909756609,-0.177,-1.353,9.846
Accel,68790,696301371,1731909756618,1731909756619,-0.255,-1.128,9.865
Accel,68791,696311235,1731909756629,1731909756629,-0.275,-0.99,9.816
Accel,68792,696321099,1731909756638,1731909756638,-0.226,-1.059,9.865
Accel,68793,696330965,1731909756648,1731909756648,-0.186,-1.01,9.865
Accel,68794,696340829,1731909756658,1731909756658,-0.186,-1.049,9.836
Accel,68795,696350695,1731909756668,1731909756668,-0.226,-1.098,9.836
Accel,68796,696360561,1731909756678,1731909756678,-0.186,-1.265,9.885
Accel,68797,696370425,1731909756688,1731909756688,-0.245,-1.236,9.865
Accel,68798,696380291,1731909756698,1731909756698,-0.314,-0.912,9.836
Accel,68799,696390159,1731909756708,1731909756708,-0.255,-0.853,9.846
Accel,68800,696400025,1731909756718,1731909756718,-0.167,-0.667,9.846
Accel,68801,696409889,1731909756727,1731909756727,-0.206,0.078,9.865
Accel,68802,696419755,1731909756737,1731909756738,-0.226,0.088,9.885
Accel,68803,696429621,1731909756747,1731909756747,-0.196,0.039,9.865
Accel,68804,696439487,1731909756757,1731909756757,-0.196,0.039,9.865
Accel,68805,696449353,1731909756767,1731909756767,-0.196,0.039,9.846
Accel,68806,696459217,1731909756776,1731909756776,-0.226,0.059,9.846
Accel,68807,696469081,1731909756786,1731909756786,-0.206,0.059,9.865
Accel,68808,696478947,1731909756796,1731909756796,-0.196,0.039,9.865
Accel,68809,696488813,1731909756806,1731909756806,-0.196,0.039,9.885
Accel,68810,696498679,1731909756816,1731909756816,-0.196,0.039,9.865
