Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,101030,1014371593,1731910074661,1731910074661,-0.137,0.039,9.865
Accel,101031,1014381457,1731910074671,1731910074671,-0.167,0.02,9.865
Accel,101032,1014391323,1731910074681,1731910074681,-0.177,0.039,9.865
Accel,101033,1014401189,1731910074691,1731910074691,-0.177,0.02,9.865
Accel,101034,1014411055,1731910074701,1731910074701,-0.226,0.078,9.865
Accel,101035,1014420921,1731910074710,1731910074710,-0.245,0.039,9.865
Accel,101036,1014430787,1731910074720,1731910074720,-0.245,0.078,9.865
Accel,101037,1014440653,1731910074730,1731910074730,-0.235,0.078,9.865
Accel,101038,1014450521,1731910074740,1731910074740,-0.226,0.069,9.865
Accel,101039,1014460385,1731910074750,1731910074750,-0.196,0.098,9.865
Accel,101040,1014470251,1731910074759,1731910074760,-0.177,0.078,9.865
Accel,101041,1014480117,1731910074769,1731910074770,-0.196,0.167,9.846
Accel,101042,1014489981,1731910074779,1731910074779,-0.196,0.157,9.865
Accel,101043,1014499845,1731910074789,1731910074789,-0.275,0.275,9.865
Accel,101044,1014509711,1731910074799,1731910074799,-0.314,0.255,9.846
Accel,101045,1014519577,1731910074809,1731910074809,-0.343,0.186,9.865
Accel,101046,1014529443,1731910074819,1731910074819,-0.177,0.039,9.865
Accel,101047,1014539309,1731910074829,1731910074829,-0.157,0.53,9.865
Accel,101048,1014549175,1731910074839,1731910074839,-0.039,0.804,9.885
Accel,101049,1014559041,1731910074849,1731910074849,-0.069,1.03,9.865
Accel,101050,1014568909,1731910074858,1731910074858,-0.078,1.098,9.865
Accel,101051,1014578777,1731910074868,1731910074869,-0.137,1.304,9.836
Accel,101052,1014588643,1731910074878,1731910074878,-0.137,1.618,9.915
Accel,101053,1014598509,1731910074888,1731910074888,-0.069,2.059,9.836
Accel,101054,1014608375,1731910074898,1731910074898,-0.157,2.471,9.846
Accel,101055,1014618243,1731910074908,1731910074908,0.02,2.805,9.865
Accel,101056,1014628109,1731910074918,1731910074918,0.098,3.148,9.895
Accel,101057,1014637975,1731910074927,1731910074927,-0.059,3.128,9.885
Accel,101058,1014647841,1731910074938,1731910074938,-0.078,3.04,9.885
Accel,101059,1014657709,1731910074947,1731910074947,0.314,2.883,9.915
Accel,101060,1014667575,1731910074957,1731910074957,0.51,2.785,9.964
Accel,101061,1014677443,1731910074967,1731910074967,0.51,2.942,9.787
Accel,101062,1014687311,1731910074976,1731910074977,0.402,2.922,9.816
Accel,101063,1014697179,1731910074987,1731910074987,0.157,3.148,9.915
Accel,101064,1014707047,1731910074996,1731910074997,0.167,3.217,9.885
Accel,101065,1014716913,1731910075007,1731910075007,-0.039,3.305,9.865
Accel,101066,1014726781,1731910075016,1731910075017,-0.167,3.491,9.885
Accel,101067,1014736647,1731910075026,1731910075026,-0.177,2.677,9.865
Accel,101068,1014746515,1731910075036,1731910075036,-0.451,2.815,9.679
Accel,101069,1014756383,1731910075046,1731910075046,-0.637,2.854,9.915
Accel,101070,1014766249,1731910075056,1731910075056,-0.402,2.511,9.944
Accel,101071,1014776117,1731910075066,1731910075066,-0.471,2.04,9.944
Accel,101072,1014785983,1731910075075,1731910075075,-0.441,2.275,9.846
Accel,101073,1014795849,1731910075085,1731910075086,-0.206,1.491,10.032
Accel,101074,1014805715,1731910075095,1731910075095,-0.294,1.402,9.865
Accel,101075,1014815581,1731910075105,1731910075105,-0.127,1.549,9.895
Accel,101076,1014825447,1731910075115,1731910075115,-0.343,0.804,9.836
Accel,101077,1014835313,1731910075124,1731910075125,-0.49,0.922,9.748
Accel,101078,1014845181,1731910075134,1731910075135,-0.794,0.922,9.767
Accel,101079,1014855049,1731910075144,1731910075144,-1.02,0.559,9.846
Accel,101080,1014864915,1731910075154,1731910075154,-0.843,-0.206,9.816
Accel,101081,1014874781,1731910075164,1731910075164,-0.735,-1.059,9.915
Accel,101082,1014884647,1731910075174,1731910075174,-0.559,-0.941,9.915
Accel,101083,1014894513,1731910075184,1731910075184,-0.167,-1.206,9.816
Accel,101084,1014904381,1731910075194,1731910075194,0.078,-1.53,9.816
Accel,101085,1014914247,1731910075204,1731910075204,-0.02,-0.49,9.836
Accel,101086,1014924113,1731910075213,1731910075214,0.167,-1.03,9.964
Accel,101087,1014933981,1731910075224,1731910075224,-0.029,-1.461,9.767
Accel,101088,1014943847,1731910075234,1731910075234,-0.265,-1.128,9.836
Accel,101089,1014953713,1731910075243,1731910075243,-0.167,-1.314,9.836
Accel,101090,1014963579,1731910075253,1731910075253,-0.226,-1.981,9.983
Accel,101091,1014973445,1731910075263,1731910075263,-0.402,-1.893,9.993
Accel,101092,1014983311,1731910075273,1731910075273,-0.226,-1.765,9.816
Accel,101093,1014993177,1731910075282,1731910075283,-0.177,-2.197,9.836
