Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,107715,1080324995,1731910140609,1731910140609,-0.206,0.069,9.865
Accel,107716,1080334861,1731910140619,1731910140619,-0.206,0.039,9.865
Accel,107717,1080344729,1731910140629,1731910140629,-0.196,0.039,9.865
Accel,107718,1080354595,1731910140638,1731910140638,-0.206,0.069,9.865
Accel,107719,1080364463,1731910140648,1731910140648,-0.206,0.069,9.865
Accel,107720,1080374329,1731910140658,1731910140658,-0.206,0.078,9.885
Accel,107721,1080384195,1731910140668,1731910140668,-0.196,0.039,9.865
Accel,107722,1080394063,1731910140678,1731910140678,-0.196,0.039,9.865
Accel,107723,1080403929,1731910140687,1731910140687,-0.206,0.078,9.885
Accel,107724,1080413795,1731910140697,1731910140697,-0.235,0.069,9.865
Accel,107725,1080423661,1731910140707,1731910140707,-0.206,0.059,9.865
Accel,107726,1080433529,1731910140717,1731910140717,-0.186,0.039,9.865
Accel,107727,1080443397,1731910140727,1731910140727,-0.186,0.029,9.865
Accel,107728,1080453265,1731910140737,1731910140737,-0.196,0.039,9.846
Accel,107729,1080463131,1731910140747,1731910140747,-0.167,0.137,9.865
Accel,107730,1080472999,1731910140757,1731910140757,-0.078,0.51,9.865
Accel,107731,1080482865,1731910140767,1731910140767,-0.059,0.902,9.885
Accel,107732,1080492733,1731910140776,1731910140777,-0.078,1.098,9.846
Accel,107733,1080502599,1731910140787,1731910140787,-0.039,1.196,9.865
Accel,107734,1080512465,1731910140796,1731910140796,-0.059,1.236,9.865
Accel,107735,1080522331,1731910140806,1731910140806,0.029,1.471,9.885
Accel,107736,1080532199,1731910140816,1731910140816,-0.039,1.54,9.885
Accel,107737,1080542065,1731910140826,1731910140826,-0.059,1.775,9.807
Accel,107738,1080551933,1731910140836,1731910140836,-0.039,2.02,9.885
Accel,107739,1080561799,1731910140846,1731910140846,-0.579,2.197,9.964
Accel,107740,1080571667,1731910140855,1731910140855,-0.284,2.815,9.748
Accel,107741,1080581533,1731910140866,1731910140866,0.402,2.765,9.865
Accel,107742,1080591401,1731910140875,1731910140875,0.628,2.815,9.983
Accel,107743,1080601267,1731910140885,1731910140885,0.696,3.128,9.66
Accel,107744,1080611135,1731910140895,1731910140895,0.735,3.06,10.042
Accel,107745,1080621001,1731910140905,1731910140905,0.628,3.168,9.915
Accel,107746,1080630869,1731910140915,1731910140915,0.451,3.403,9.915
