Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,137696,1376102699,1731910436360,1731910436360,-0.196,0.039,9.865
Accel,137697,1376112567,1731910436370,1731910436370,-0.196,0.039,9.865
Accel,137698,1376122431,1731910436380,1731910436380,-0.196,0.039,9.846
Accel,137699,1376132297,1731910436390,1731910436390,-0.196,0.039,9.865
Accel,137700,1376142165,1731910436400,1731910436400,-0.186,0.059,9.865
Accel,137701,1376152031,1731910436409,1731910436410,-0.206,0.039,9.865
Accel,137750,1376635535,1731910436893,1731910436893,-0.206,0.039,9.865
Accel,137751,1376645403,1731910436903,1731910436903,-0.206,0.039,9.846
Accel,137752,1376655269,1731910436913,1731910436913,-0.196,0.039,9.865
Accel,137753,1376665137,1731910436923,1731910436923,-0.206,0.039,9.865
Accel,137754,1376675003,1731910436933,1731910436933,-0.196,0.039,9.865
Accel,137755,1376684871,1731910436943,1731910436943,-0.196,-0.039,9.865
Accel,137756,1376694739,1731910436953,1731910436953,-0.186,-0.137,9.865
Accel,137757,1376704607,1731910436962,1731910436962,-0.206,-0.157,9.865
Accel,137758,1376714475,1731910436972,1731910436973,-0.196,-0.177,9.865
Accel,137759,1376724343,1731910436982,1731910436982,-0.186,-0.275,9.865
Accel,137760,1376734211,1731910436992,1731910436992,-0.255,-0.579,9.885
Accel,137761,1376744079,1731910437002,1731910437002,-0.314,-1.157,9.865
Accel,137762,1376753947,1731910437012,1731910437012,-0.363,-1.461,9.758
Accel,137763,1376763813,1731910437022,1731910437022,-0.451,-1.736,9.885
Accel,137764,1376773681,1731910437031,1731910437032,-0.451,-1.785,9.846
Accel,137765,1376783547,1731910437041,1731910437042,-0.559,-2.128,9.885
Accel,137766,1376793415,1731910437051,1731910437051,-0.775,-2.403,9.846
Accel,137767,1376803281,1731910437061,1731910437061,-0.912,-2.471,9.846
Accel,137768,1376813147,1731910437071,1731910437071,-1.049,-2.54,9.836
Accel,137769,1376823013,1731910437080,1731910437081,-0.912,-2.628,9.836
Accel,137770,1376832879,1731910437090,1731910437091,-0.775,-2.52,9.787
Accel,137771,1376842747,1731910437101,1731910437101,-0.775,-2.128,9.865
Accel,137772,1376852613,1731910437110,1731910437110,-0.883,-2.001,9.865
Accel,137773,1376862481,1731910437120,1731910437120,-0.775,-2.422,9.865
Accel,137774,1376872347,1731910437130,1731910437130,-0.873,-2.54,9.816
Accel,137775,1376882215,1731910437140,1731910437140,-0.981,-2.56,9.807
Accel,137776,1376892083,1731910437149,1731910437150,-0.99,-2.393,9.885
Accel,137777,1376901949,1731910437159,1731910437160,-0.873,-2.334,9.836
Accel,137778,1376911815,1731910437169,1731910437170,-0.814,-2.403,9.865
Accel,137779,1376921683,1731910437179,1731910437179,-0.696,-2.02,9.895
Accel,137780,1376931551,1731910437189,1731910437189,-0.706,-1.687,9.767
Accel,137781,1376941419,1731910437199,1731910437199,-0.961,-1.481,9.728
Accel,137782,1376951287,1731910437209,1731910437209,-0.598,-2.677,10.111
Accel,137783,1376961153,1731910437218,1731910437219,-0.951,-2.334,9.915
Accel,137784,1376971021,1731910437229,1731910437229,-1.598,-1.952,9.758
Accel,137785,1376980887,1731910437239,1731910437239,-1.02,-1.461,9.865
Accel,137786,1376990755,1731910437248,1731910437249,-0.981,-1.314,9.895
Accel,137787,1377000621,1731910437258,1731910437259,-0.843,-1.089,9.964
Accel,137788,1377010489,1731910437268,1731910437268,-0.667,-0.883,9.709
Accel,137789,1377020357,1731910437278,1731910437278,-0.883,-0.922,9.669
Accel,137790,1377030223,1731910437288,1731910437288,-0.951,-0.402,10.062
Accel,137791,1377040089,1731910437298,1731910437298,-0.451,0.078,9.915
Accel,137792,1377049957,1731910437307,1731910437308,-0.53,0.579,9.787
Accel,137793,1377059823,1731910437318,1731910437318,-0.814,-0.167,9.944
Accel,137794,1377069689,1731910437327,1731910437328,-0.912,0.255,9.964
Accel,137795,1377079557,1731910437337,1731910437338,-1.098,1.03,9.787
Accel,137796,1377089423,1731910437347,1731910437347,-1.167,0.275,9.846
Accel,137797,1377099289,1731910437357,1731910437357,-0.834,0.441,9.493
Accel,137798,1377109157,1731910437367,1731910437367,-0.628,0.53,10.14
Accel,137799,1377119025,1731910437376,1731910437377,-0.804,1.138,9.709
Accel,137800,1377128893,1731910437387,1731910437387,-0.794,1.902,10.12
Accel,137801,1377138761,1731910437396,1731910437397,-0.598,2.383,9.865
Accel,137802,1377148629,1731910437406,1731910437407,-0.333,2.511,9.934
Accel,137803,1377158497,1731910437416,1731910437417,0.02,2.324,9.895
Accel,137804,1377168365,1731910437426,1731910437426,-0.078,2.275,9.915
Accel,137805,1377178231,1731910437436,1731910437436,0.196,2.275,9.758
Accel,137806,1377188097,1731910437446,1731910437446,0.127,2.285,9.993
Accel,137807,1377197965,1731910437456,1731910437456,0.471,2.922,9.944
Accel,137808,1377207831,1731910437465,1731910437465,0.735,3.648,9.709
