Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,147794,1475735685,1731910535984,1731910535984,-0.196,0.039,9.865
Accel,147795,1475745551,1731910535994,1731910535994,-0.186,0.02,9.865
Accel,147796,1475755417,1731910536004,1731910536004,-0.186,0.029,9.865
Accel,147797,1475765283,1731910536014,1731910536014,-0.186,0.029,9.846
Accel,147798,1475775151,1731910536024,1731910536024,-0.196,0.029,9.865
Accel,147799,1475785017,1731910536034,1731910536034,-0.206,0.029,9.865
Accel,147851,1476298029,1731910536547,1731910536547,-0.667,-1.481,9.865
Accel,147852,1476307895,1731910536557,1731910536557,-0.883,-1.824,9.846
Accel,147853,1476317761,1731910536567,1731910536567,-0.843,-1.961,9.836
Accel,147854,1476327627,1731910536577,1731910536577,-0.667,-2.099,9.836
Accel,147855,1476337493,1731910536587,1731910536587,-0.471,-2.177,9.885
Accel,147856,1476347359,1731910536596,1731910536596,-0.559,-2.432,9.865
Accel,147857,1476357223,1731910536606,1731910536606,-0.628,-2.785,9.846
Accel,147858,1476367089,1731910536616,1731910536616,-0.912,-3.011,9.865
Accel,147859,1476376953,1731910536626,1731910536626,-1.334,-3.452,9.885
Accel,147860,1476386819,1731910536636,1731910536636,-1.765,-4.031,9.964
Accel,147861,1476396683,1731910536646,1731910536646,-1.912,-4.423,9.797
Accel,147862,1476406549,1731910536656,1731910536656,-1.902,-4.197,9.728
Accel,147863,1476416413,1731910536665,1731910536665,-1.883,-4.286,9.865
Accel,147864,1476426279,1731910536675,1731910536676,-1.961,-4.286,9.836
Accel,147865,1476436143,1731910536685,1731910536685,-1.746,-3.903,9.797
Accel,147866,1476446007,1731910536695,1731910536695,-1.716,-3.452,9.797
Accel,147867,1476455873,1731910536705,1731910536705,-1.324,-2.716,9.964
Accel,147868,1476465737,1731910536714,1731910536715,-0.843,-3.168,10.12
Accel,147869,1476475601,1731910536725,1731910536725,-1.089,-2.873,9.718
Accel,147870,1476485467,1731910536734,1731910536734,-0.53,-1.618,9.836
Accel,147871,1476495331,1731910536744,1731910536745,-0.284,-1.52,9.993
Accel,147872,1476505195,1731910536754,1731910536754,0.029,-0.745,9.797
