Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,161370,1609665087,1731910669902,1731910669903,-0.206,0.059,9.846
Accel,161371,1609674949,1731910669912,1731910669912,-0.206,0.078,9.865
Accel,161372,1609684813,1731910669922,1731910669922,-0.226,0.078,9.865
Accel,161373,1609694677,1731910669932,1731910669932,-0.226,0.088,9.865
Accel,161374,1609704541,1731910669942,1731910669942,-0.226,0.078,9.865
Accel,161375,1609714405,1731910669952,1731910669952,-0.226,0.078,9.885
Accel,161376,1609724269,1731910669962,1731910669962,-0.206,0.078,9.865
Accel,161377,1609734131,1731910669971,1731910669972,-0.206,0.039,9.885
Accel,161378,1609743995,1731910669981,1731910669982,-0.206,0.078,9.865
Accel,161379,1609753859,1731910669991,1731910669991,-0.235,0.157,9.865
Accel,161380,1609763721,1731910670001,1731910670001,-0.333,0.451,9.865
Accel,161381,1609773585,1731910670011,1731910670011,-0.382,0.343,9.846
Accel,161382,1609783449,1731910670020,1731910670020,-0.422,0.49,9.865
Accel,161383,1609793313,1731910670030,1731910670031,-0.471,0.745,9.865
Accel,161384,1609803177,1731910670040,1731910670040,-0.471,0.902,9.865
Accel,161385,1609813041,1731910670050,1731910670050,-0.53,1.059,9.865
Accel,161386,1609822905,1731910670060,1731910670060,-0.618,1.118,9.885
Accel,161387,1609832767,1731910670070,1731910670070,-0.579,1.373,9.846
Accel,161388,1609842631,1731910670079,1731910670080,-0.618,1.598,9.865
Accel,161389,1609852495,1731910670089,1731910670090,-0.598,1.638,9.865
Accel,161390,1609862359,1731910670099,1731910670100,-0.618,1.755,9.885
Accel,161391,1609872223,1731910670109,1731910670109,-0.667,2.059,9.846
Accel,161392,1609882087,1731910670119,1731910670119,-0.618,1.902,9.865
Accel,161393,1609891951,1731910670129,1731910670129,-0.549,2.197,9.865
Accel,161394,1609901815,1731910670139,1731910670139,-0.471,2.324,9.836
Accel,161395,1609911681,1731910670149,1731910670149,-0.382,2.285,9.915
Accel,161396,1609921545,1731910670159,1731910670159,-0.255,2.432,9.885
Accel,161397,1609931409,1731910670169,1731910670169,-0.177,2.334,9.865
Accel,161398,1609941271,1731910670178,1731910670179,-0.422,2.216,9.846
Accel,161399,1609951135,1731910670188,1731910670189,-0.333,2.354,9.836
Accel,161400,1609960997,1731910670198,1731910670199,-0.284,1.863,9.885
Accel,161401,1609970861,1731910670208,1731910670208,-0.471,1.814,9.934
Accel,161402,1609980723,1731910670218,1731910670218,-0.402,1.844,9.787
Accel,161403,1609990587,1731910670228,1731910670228,-0.343,1.883,9.915
Accel,161404,1610000451,1731910670238,1731910670238,-0.363,1.736,9.816
Accel,161405,1610010315,1731910670247,1731910670248,-0.039,1.52,10.013
Accel,161406,1610020179,1731910670257,1731910670257,0.059,1.628,9.807
Accel,161407,1610030043,1731910670267,1731910670268,0.255,1.648,9.885
Accel,161408,1610039907,1731910670277,1731910670277,0.284,1.304,9.816
Accel,161409,1610049771,1731910670287,1731910670287,0.196,1.236,9.807
Accel,161410,1610059637,1731910670297,1731910670297,0.177,1.167,10.091
Accel,161411,1610069501,1731910670307,1731910670307,-0.088,0.981,9.836
Accel,161412,1610079363,1731910670317,1731910670317,-0.235,1.01,9.758
Accel,161413,1610089229,1731910670326,1731910670326,-0.177,0.51,10.071
Accel,161414,1610099091,1731910670336,1731910670337,-0.343,0.088,9.964
Accel,161415,1610108955,1731910670346,1731910670346,-0.422,0.343,9.758
Accel,161416,1610118819,1731910670356,1731910670356,-0.314,-0.098,9.915
Accel,161417,1610128681,1731910670366,1731910670366,-0.343,0.069,9.964
Accel,161418,1610138543,1731910670376,1731910670376,-0.402,-0.235,9.865
Accel,161419,1610148407,1731910670385,1731910670385,-0.451,-0.177,9.758
Accel,161420,1610158269,1731910670396,1731910670396,-0.118,-0.51,9.797
Accel,161421,1610168131,1731910670405,1731910670405,0.51,-0.343,9.836
Accel,161422,1610177995,1731910670415,1731910670415,0.471,0.069,9.865
Accel,161423,1610187859,1731910670425,1731910670425,0.294,0.235,9.885
Accel,161424,1610197723,1731910670435,1731910670435,0.196,0.029,9.807
Accel,161425,1610207587,1731910670445,1731910670445,-0.088,0.02,9.865
Accel,161426,1610217449,1731910670454,1731910670455,-0.206,-0.735,9.944
Accel,161427,1610227315,1731910670464,1731910670464,-0.039,-1.785,10.14
Accel,161428,1610237179,1731910670474,1731910670474,0.078,-0.735,9.669
Accel,161429,1610247041,1731910670484,1731910670484,0.275,-0.451,9.709
Accel,161430,1610256905,1731910670494,1731910670494,0.0,-1.608,10.14
Accel,161431,1610266767,1731910670504,1731910670504,-0.422,-1.932,9.915
Accel,161432,1610276631,1731910670514,1731910670514,-0.49,-1.471,9.758
Accel,161433,1610286495,1731910670524,1731910670524,0.039,-1.618,9.816
Accel,161434,1610296359,1731910670534,1731910670534,0.226,-1.736,9.934
Accel,161435,1610306223,1731910670543,1731910670544,0.078,-1.628,9.836
Accel,161436,1610316087,1731910670554,1731910670554,-0.127,-1.569,9.885
Accel,161437,1610325951,1731910670563,1731910670563,-0.451,-1.834,9.836
Accel,161438,1610335815,1731910670573,1731910670574,-0.735,-2.736,9.846
Accel,161439,1610345681,1731910670583,1731910670583,-0.579,-2.648,9.816
Accel,161440,1610355545,1731910670593,1731910670593,-0.382,-2.491,9.865
Accel,161441,1610365409,1731910670603,1731910670603,-0.245,-2.412,9.836
Accel,161442,1610375275,1731910670613,1731910670613,-0.245,-2.295,9.816
Accel,161443,1610385139,1731910670622,1731910670623,-0.255,-2.412,9.915
Accel,161444,1610395003,1731910670632,1731910670632,-0.294,-2.216,9.865
Accel,161445,1610404865,1731910670642,1731910670642,-0.363,-2.265,9.836
Accel,161446,1610414731,1731910670652,1731910670652,-0.343,-2.403,9.865
Accel,161447,1610424595,1731910670662,1731910670662,-0.402,-1.952,9.836
Accel,161448,1610434461,1731910670672,1731910670672,-0.284,-1.814,9.865
Accel,161449,1610444325,1731910670682,1731910670682,-0.078,-1.814,9.865
Accel,161450,1610454189,1731910670691,1731910670691,-0.088,-1.422,9.865
Accel,161451,1610464053,1731910670701,1731910670702,-0.078,-1.01,9.865
Accel,161452,1610473919,1731910670711,1731910670711,-0.196,0.137,9.865
Accel,161453,1610483783,1731910670721,1731910670721,-0.186,0.059,9.865
Accel,161454,1610493647,1731910670731,1731910670731,-0.118,-0.196,9.865
Accel,161455,1610503511,1731910670740,1731910670740,-0.196,0.078,9.846
Accel,161456,1610513377,1731910670750,1731910670750,-0.177,-0.127,9.865
Accel,161457,1610523241,1731910670760,1731910670760,-0.235,0.029,9.865
Accel,161458,1610533105,1731910670770,1731910670770,-0.255,-0.02,9.846
Accel,161459,1610542971,1731910670780,1731910670780,-0.265,0.157,9.885
Accel,161460,1610552835,1731910670790,1731910670790,-0.235,0.226,9.885
Accel,161461,1610562699,1731910670800,1731910670800,-0.206,0.167,9.865
Accel,161462,1610572563,1731910670810,1731910670810,-0.196,0.255,9.865
Accel,161463,1610582427,1731910670819,1731910670819,-0.726,-0.186,9.865
Accel,161464,1610592291,1731910670829,1731910670829,-1.549,-0.363,9.836
Accel,161465,1610602155,1731910670839,1731910670839,-1.853,-0.039,9.846
Accel,161466,1610612019,1731910670849,1731910670849,-2.412,-0.069,9.816
Accel,161467,1610621885,1731910670859,1731910670859,-2.942,-0.137,9.846
Accel,161468,1610631751,1731910670869,1731910670869,-3.305,-0.157,9.836
Accel,161469,1610641615,1731910670879,1731910670879,-3.491,-0.167,9.836
Accel,161470,1610651479,1731910670889,1731910670889,-3.56,-0.265,9.816
Accel,161471,1610661343,1731910670899,1731910670899,-3.511,-0.206,9.807
Accel,161472,1610671207,1731910670908,1731910670908,-3.373,-0.382,9.816
Accel,161473,1610681069,1731910670918,1731910670919,-3.217,-0.294,9.836
Accel,161474,1610690933,1731910670928,1731910670928,-3.197,-0.196,9.836
Accel,161475,1610700797,1731910670938,1731910670938,-3.197,-0.343,9.983
Accel,161476,1610710661,1731910670948,1731910670948,-3.334,-0.314,9.836
Accel,161477,1610720525,1731910670957,1731910670958,-3.373,-0.265,9.836
Accel,161478,1610730389,1731910670968,1731910670968,-3.423,-0.157,9.865
Accel,161479,1610740253,1731910670977,1731910670978,-3.334,-0.098,9.836
Accel,161480,1610750117,1731910670987,1731910670988,-3.128,-0.039,9.807
Accel,161481,1610759981,1731910670997,1731910670997,-2.785,0.167,9.816
Accel,161482,1610769847,1731910671007,1731910671007,-2.422,0.078,9.787
Accel,161483,1610779711,1731910671017,1731910671017,-2.02,0.137,9.836
