Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,170850,1703185163,1731910763414,1731910763414,-0.196,0.078,9.865
Accel,170851,1703195025,1731910763424,1731910763424,-0.226,0.069,9.846
Accel,170852,1703204887,1731910763434,1731910763434,-0.226,0.078,9.865
Accel,170853,1703214751,1731910763444,1731910763444,-0.206,0.078,9.865
Accel,170854,1703224615,1731910763453,1731910763453,-0.226,0.078,9.865
Accel,170855,1703234479,1731910763463,1731910763463,-0.226,0.059,9.865
Accel,170905,1703727647,1731910763956,1731910763957,-0.01,2.059,9.718
Accel,170906,1703737511,1731910763966,1731910763967,0.059,1.736,10.071
Accel,170907,1703747375,1731910763976,1731910763977,0.196,1.255,10.091
Accel,170908,1703757237,1731910763986,1731910763986,0.363,1.069,9.767
Accel,170909,1703767099,1731910763996,1731910763996,0.206,0.951,9.816
Accel,170910,1703776963,1731910764006,1731910764006,-0.167,0.814,9.62
Accel,170911,1703786825,1731910764016,1731910764016,-0.206,0.51,9.865
Accel,170912,1703796689,1731910764025,1731910764026,-0.51,0.422,10.013
Accel,170913,1703806553,1731910764035,1731910764035,-0.834,-0.255,9.895
Accel,170914,1703816415,1731910764045,1731910764045,-0.765,-0.275,9.767
Accel,170915,1703826279,1731910764055,1731910764055,-0.451,-0.177,9.816
Accel,170916,1703836143,1731910764065,1731910764065,-0.559,-0.51,9.934
Accel,170917,1703846005,1731910764075,1731910764075,-0.53,-1.128,9.807
Accel,170918,1703855869,1731910764085,1731910764085,-0.167,-1.206,9.748
Accel,170919,1703865733,1731910764094,1731910764094,0.098,-1.412,10.042
Accel,170920,1703875599,1731910764104,1731910764104,-0.177,-1.373,9.915
Accel,170921,1703885461,1731910764114,1731910764114,-0.167,-1.098,9.836
Accel,170922,1703895325,1731910764124,1731910764124,0.157,-1.549,9.797
Accel,170923,1703905189,1731910764134,1731910764134,0.137,-1.549,9.983
Accel,170924,1703915053,1731910764144,1731910764144,-0.245,-1.353,9.865
Accel,170925,1703924917,1731910764154,1731910764154,-0.451,-1.952,9.797
Accel,170926,1703934781,1731910764163,1731910764164,-0.451,-1.648,9.816
Accel,170927,1703944645,1731910764173,1731910764173,-0.275,-1.834,9.915
Accel,170928,1703954509,1731910764183,1731910764183,0.059,-2.04,9.816
