Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,14628,1883180995,1731910956242,1731910956242,-0.206,0.059,9.865
Accel,14629,1883190861,1731910956252,1731910956252,-0.196,0.059,9.865
Accel,14630,1883200727,1731910956262,1731910956262,-0.206,0.039,9.846
Accel,14631,1883210591,1731910956271,1731910956272,-0.196,0.039,9.865
Accel,14632,1883220457,1731910956281,1731910956281,-0.206,0.059,9.865
Accel,14633,1883230321,1731910956291,1731910956291,-0.206,0.059,9.865
Accel,14634,1883240187,1731910956301,1731910956301,-0.206,0.039,9.865
Accel,14635,1883250053,1731910956311,1731910956311,-0.206,0.039,9.865
Accel,14636,1883259919,1731910956321,1731910956321,-0.186,0.039,9.865
Accel,14637,1883269785,1731910956331,1731910956331,-0.196,0.059,9.865
Accel,14638,1883279649,1731910956340,1731910956341,-0.226,0.059,9.846
Accel,14639,1883289515,1731910956351,1731910956351,-0.196,0.039,9.865
Accel,14640,1883299379,1731910956360,1731910956360,-0.206,0.059,9.865
Accel,14641,1883309245,1731910956370,1731910956370,-0.206,0.039,9.885
Accel,14642,1883319109,1731910956380,1731910956380,-0.206,0.039,9.865
Accel,14643,1883328975,1731910956390,1731910956390,-0.206,0.039,9.865
Accel,14693,1883822235,1731910956883,1731910956883,-1.138,1.196,9.836
Accel,14694,1883832101,1731910956893,1731910956893,-1.344,1.402,9.836
Accel,14695,1883841965,1731910956903,1731910956903,-1.304,1.245,9.934
Accel,14696,1883851829,1731910956913,1731910956913,-1.304,0.99,9.787
Accel,14697,1883861695,1731910956923,1731910956923,-1.402,0.628,9.885
Accel,14698,1883871559,1731910956932,1731910956933,-1.275,0.53,9.915
Accel,14699,1883881423,1731910956942,1731910956942,-1.373,0.451,9.836
Accel,14700,1883891287,1731910956952,1731910956952,-1.638,0.265,9.865
Accel,14701,1883901151,1731910956962,1731910956962,-1.844,0.598,9.797
Accel,14702,1883911015,1731910956972,1731910956972,-1.853,0.579,9.846
Accel,14703,1883920879,1731910956982,1731910956982,-1.697,0.696,9.846
Accel,14704,1883930743,1731910956991,1731910956992,-2.02,1.02,9.865
Accel,14705,1883940607,1731910957001,1731910957002,-1.687,1.461,9.846
Accel,14706,1883950471,1731910957011,1731910957012,-1.334,1.236,9.797
Accel,14707,1883960335,1731910957021,1731910957021,-1.834,1.206,9.865
Accel,14708,1883970197,1731910957031,1731910957031,-2.471,1.716,9.787
