Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,22040,1956300389,1731911029355,1731911029355,-0.196,0.167,9.846
Accel,22041,1956310255,1731911029365,1731911029365,-0.343,0.275,9.885
Accel,22042,1956320119,1731911029375,1731911029375,-0.275,0.343,9.836
Accel,22043,1956329985,1731911029384,1731911029384,-0.255,0.284,9.836
Accel,22044,1956339849,1731911029394,1731911029394,-0.284,0.333,9.836
Accel,22045,1956349713,1731911029404,1731911029404,-0.275,0.333,9.846
Accel,22046,1956359579,1731911029414,1731911029414,-0.137,0.363,9.964
Accel,22047,1956369443,1731911029424,1731911029424,-0.451,0.275,9.846
Accel,22048,1956379309,1731911029434,1731911029434,-0.471,0.118,9.865
Accel,22049,1956389173,1731911029444,1731911029444,-0.284,0.029,9.885
Accel,22050,1956399037,1731911029454,1731911029454,-0.275,-0.098,9.816
Accel,22051,1956408901,1731911029464,1731911029464,-0.226,-0.01,9.846
Accel,22052,1956418767,1731911029473,1731911029473,-0.196,0.078,9.885
Accel,22053,1956428631,1731911029483,1731911029483,-0.206,0.039,9.865
Accel,22054,1956438495,1731911029493,1731911029493,-0.226,0.039,9.865
Accel,22055,1956448363,1731911029503,1731911029503,-0.206,0.039,9.865
Accel,22104,1956931747,1731911029986,1731911029986,-0.559,1.618,9.885
Accel,22105,1956941613,1731911029996,1731911029997,-0.314,1.618,9.964
Accel,22106,1956951479,1731911030006,1731911030006,0.039,1.402,9.915
Accel,22107,1956961343,1731911030016,1731911030016,0.078,1.02,9.964
Accel,22108,1956971207,1731911030026,1731911030026,-0.382,0.402,9.944
Accel,22109,1956981071,1731911030035,1731911030035,-0.628,0.657,9.669
Accel,22110,1956990937,1731911030045,1731911030046,-0.618,0.137,9.797
Accel,22111,1957000801,1731911030055,1731911030055,-0.441,0.029,9.915
Accel,22112,1957010667,1731911030065,1731911030065,-0.039,-0.451,9.885
Accel,22113,1957020531,1731911030075,1731911030075,0.235,-0.961,9.865
Accel,22114,1957030397,1731911030085,1731911030085,0.402,-0.657,10.032
Accel,22115,1957040263,1731911030095,1731911030095,0.451,-0.765,9.816
Accel,22116,1957050127,1731911030105,1731911030105,0.637,-0.951,9.816
Accel,22117,1957059993,1731911030115,1731911030115,0.794,-1.059,9.885
Accel,22118,1957069859,1731911030125,1731911030125,0.706,-1.265,9.758
Accel,22119,1957079725,1731911030135,1731911030135,0.118,-1.049,9.816
Accel,22120,1957089591,1731911030145,1731911030145,0.206,-0.951,9.934
Accel,22121,1957099457,1731911030154,1731911030154,0.098,-2.03,9.836
Accel,22122,1957109323,1731911030164,1731911030164,-0.039,-1.285,9.934
