Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,37722,2111001039,1731911184042,1731911184042,-0.226,0.039,9.885
Accel,37723,2111010901,1731911184052,1731911184052,-0.226,0.059,9.865
Accel,37724,2111020765,1731911184062,1731911184062,-0.226,0.039,9.865
Accel,37725,2111030629,1731911184072,1731911184072,-0.206,0.039,9.865
Accel,37726,2111040493,1731911184081,1731911184082,-0.206,0.029,9.865
Accel,37727,2111050357,1731911184091,1731911184091,-0.226,0.059,9.865
Accel,37779,2111563339,1731911184604,1731911184604,1.334,0.804,9.846
Accel,37780,2111573203,1731911184614,1731911184614,1.5,1.03,9.865
Accel,37781,2111583067,1731911184624,1731911184624,1.687,1.265,9.934
Accel,37782,2111592931,1731911184634,1731911184634,1.687,1.275,9.885
Accel,37783,2111602795,1731911184644,1731911184644,1.687,1.412,9.885
Accel,37784,2111612659,1731911184654,1731911184654,1.471,1.451,9.885
Accel,37785,2111622523,1731911184663,1731911184664,0.843,1.393,9.964
Accel,37786,2111632387,1731911184674,1731911184674,0.667,1.648,9.934
Accel,37787,2111642253,1731911184683,1731911184683,0.039,1.549,9.846
Accel,37788,2111652117,1731911184693,1731911184694,-0.667,1.353,9.983
Accel,37789,2111661981,1731911184703,1731911184704,-0.579,1.785,9.787
Accel,37790,2111671845,1731911184713,1731911184713,-0.686,2.05,9.885
Accel,37791,2111681709,1731911184723,1731911184723,-0.765,1.824,9.885
Accel,37792,2111691573,1731911184733,1731911184733,-0.99,1.687,9.934
Accel,37793,2111701437,1731911184743,1731911184743,-1.167,1.814,9.885
Accel,37794,2111711299,1731911184752,1731911184753,-1.167,1.883,9.846
Accel,37795,2111721165,1731911184762,1731911184763,-1.334,1.844,9.836
Accel,37796,2111731029,1731911184772,1731911184772,-1.255,1.863,9.885
Accel,37797,2111740891,1731911184782,1731911184782,-1.334,1.755,9.865
Accel,37798,2111750757,1731911184792,1731911184792,-1.422,1.824,9.944
Accel,37799,2111760619,1731911184802,1731911184802,-1.334,2.05,9.865
Accel,37800,2111770483,1731911184811,1731911184812,-1.304,2.059,9.797
Accel,37801,2111780347,1731911184821,1731911184822,-1.893,1.677,9.767
Accel,37802,2111790211,1731911184831,1731911184832,-1.697,1.765,9.836
Accel,37803,2111800075,1731911184841,1731911184841,-1.451,1.834,9.767
Accel,37804,2111809937,1731911184851,1731911184851,-1.344,1.432,9.983
Accel,37805,2111819801,1731911184861,1731911184861,-1.589,1.432,9.915
Accel,37806,2111829665,1731911184871,1731911184871,-1.912,1.118,9.865
Accel,37807,2111839529,1731911184880,1731911184881,-2.059,0.843,9.807
Accel,37808,2111849393,1731911184890,1731911184890,-2.491,0.775,9.767
Accel,37809,2111859257,1731911184900,1731911184901,-2.56,0.628,9.816
Accel,37810,2111869123,1731911184910,1731911184910,-2.667,0.167,9.944
Accel,37811,2111878987,1731911184920,1731911184920,-2.52,0.402,9.709
Accel,37812,2111888851,1731911184930,1731911184930,-2.363,0.382,9.836
Accel,37813,2111898713,1731911184940,1731911184940,-2.02,0.343,9.885
Accel,37814,2111908577,1731911184949,1731911184949,-1.589,0.363,9.767
Accel,37815,2111918441,1731911184959,1731911184959,-1.618,0.039,9.846
Accel,37816,2111928305,1731911184969,1731911184969,-1.54,0.01,9.885
Accel,37817,2111938169,1731911184979,1731911184979,-1.52,-0.039,9.885
Accel,37818,2111948031,1731911184989,1731911184989,-1.481,-0.157,9.767
Accel,37819,2111957897,1731911184999,1731911184999,-1.491,-0.157,9.836
Accel,37820,2111967761,1731911185009,1731911185009,-1.755,-0.363,9.983
Accel,37821,2111977625,1731911185019,1731911185019,-1.883,-0.275,9.748
Accel,37822,2111987489,1731911185028,1731911185029,-4.335,-0.01,9.758
Accel,37823,2111997353,1731911185039,1731911185039,-2.471,-2.197,9.934
Accel,37824,2112007217,1731911185048,1731911185048,-1.255,-1.138,9.836
Accel,37825,2112017081,1731911185058,1731911185058,-1.393,-0.696,9.797
Accel,37826,2112026945,1731911185068,1731911185069,-1.687,-1.373,9.865
Accel,37827,2112036809,1731911185078,1731911185078,-1.952,-0.804,9.787
Accel,37828,2112046673,1731911185088,1731911185088,-2.206,-0.657,9.915
Accel,37829,2112056539,1731911185097,1731911185097,-2.265,-1.245,9.865
Accel,37830,2112066403,1731911185108,1731911185108,-2.118,-0.667,9.816
Accel,37831,2112076267,1731911185117,1731911185118,-1.775,-0.667,9.846
Accel,37832,2112086131,1731911185127,1731911185127,-1.687,-0.598,9.836
Accel,37833,2112095995,1731911185137,1731911185137,-1.373,-0.951,9.836
Accel,37834,2112105861,1731911185147,1731911185147,-1.167,-0.765,9.846
Accel,37835,2112115725,1731911185157,1731911185157,-1.373,-0.284,9.767
Accel,37836,2112125591,1731911185167,1731911185167,-1.549,-0.157,9.846
Accel,37837,2112135457,1731911185177,1731911185177,-1.804,0.01,9.816
