Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,47079,2203299981,1731911276333,1731911276333,-0.196,0.039,9.846
Accel,47080,2203309845,1731911276343,1731911276343,-0.206,0.039,9.865
Accel,47081,2203319709,1731911276352,1731911276353,-0.196,0.039,9.865
Accel,47082,2203329571,1731911276362,1731911276362,-0.186,0.039,9.865
Accel,47083,2203339435,1731911276372,1731911276372,-0.206,0.059,9.846
Accel,47084,2203349299,1731911276382,1731911276382,-0.206,0.039,9.865
Accel,47133,2203832631,1731911276865,1731911276865,-3.354,0.177,9.758
Accel,47134,2203842493,1731911276875,1731911276875,-3.442,-0.01,9.816
Accel,47135,2203852357,1731911276885,1731911276885,-3.717,-0.167,9.816
Accel,47136,2203862221,1731911276895,1731911276895,-3.746,-0.157,9.915
Accel,47137,2203872085,1731911276905,1731911276905,-3.648,0.078,9.885
Accel,47138,2203881949,1731911276915,1731911276915,-3.668,0.039,9.836
Accel,47139,2203891813,1731911276925,1731911276925,-3.285,-0.069,9.865
Accel,47140,2203901677,1731911276934,1731911276935,-2.815,0.098,9.816
Accel,47141,2203911541,1731911276944,1731911276944,-2.716,0.167,9.865
Accel,47142,2203921405,1731911276954,1731911276955,-2.628,0.275,9.787
Accel,47143,2203931269,1731911276964,1731911276964,-2.579,0.441,9.797
Accel,47144,2203941131,1731911276974,1731911276974,-2.403,0.559,9.807
Accel,47145,2203950995,1731911276984,1731911276984,-2.403,0.343,9.807
Accel,47146,2203960859,1731911276994,1731911276994,-2.334,0.275,9.836
Accel,47147,2203970723,1731911277004,1731911277004,-1.628,0.628,9.964
Accel,47148,2203980587,1731911277014,1731911277014,-1.598,0.49,9.767
Accel,47149,2203990451,1731911277023,1731911277024,-1.549,0.422,9.885
Accel,47150,2204000315,1731911277034,1731911277034,-1.236,0.422,9.816
Accel,47151,2204010179,1731911277043,1731911277043,-0.696,0.667,9.885
Accel,47152,2204020043,1731911277053,1731911277053,-0.275,0.951,9.934
Accel,47153,2204029907,1731911277063,1731911277063,-0.294,0.775,9.807
Accel,47154,2204039771,1731911277072,1731911277073,-0.078,0.618,9.836
Accel,47155,2204049635,1731911277082,1731911277083,0.177,0.726,9.944
Accel,47156,2204059499,1731911277092,1731911277092,0.284,0.912,9.797
Accel,47157,2204069361,1731911277102,1731911277102,0.579,0.726,9.993
Accel,47158,2204079225,1731911277112,1731911277112,0.873,0.706,9.865
Accel,47159,2204089089,1731911277122,1731911277122,1.746,0.804,9.885
Accel,47160,2204098953,1731911277132,1731911277132,2.187,0.941,9.836
Accel,47161,2204108817,1731911277142,1731911277142,2.04,0.579,9.885
Accel,47162,2204118681,1731911277151,1731911277152,1.736,0.294,9.915
Accel,47163,2204128545,1731911277161,1731911277162,1.765,0.451,9.934
Accel,47164,2204138407,1731911277171,1731911277172,1.775,0.51,9.816
Accel,47165,2204148271,1731911277181,1731911277182,1.608,0.363,9.718
Accel,47166,2204158135,1731911277191,1731911277191,2.03,0.53,9.915
Accel,47167,2204167999,1731911277201,1731911277201,2.922,0.765,10.14
Accel,47168,2204177863,1731911277211,1731911277211,3.923,0.814,9.915
Accel,47169,2204187727,1731911277221,1731911277221,4.335,0.441,9.915
Accel,47170,2204197591,1731911277230,1731911277231,4.403,0.49,9.816
Accel,47171,2204207455,1731911277240,1731911277240,3.874,0.451,9.964
Accel,47172,2204217321,1731911277250,1731911277250,3.668,0.422,9.915
Accel,47173,2204227185,1731911277260,1731911277260,3.452,0.343,9.846
Accel,47174,2204237049,1731911277270,1731911277270,3.217,0.245,9.915
Accel,47175,2204246915,1731911277280,1731911277280,2.971,-0.127,9.895
Accel,47176,2204256779,1731911277290,1731911277290,2.648,-0.039,9.797
Accel,47177,2204266645,1731911277299,1731911277300,2.236,0.01,9.915
Accel,47178,2204276509,1731911277310,1731911277310,2.001,-0.039,9.885
Accel,47179,2204286373,1731911277319,1731911277320,1.932,0.01,9.885
Accel,47180,2204296239,1731911277329,1731911277329,1.765,0.078,9.885
Accel,47181,2204306105,1731911277339,1731911277340,1.432,0.118,9.885
Accel,47182,2204315969,1731911277349,1731911277349,1.01,0.196,9.865
Accel,47183,2204325833,1731911277358,1731911277359,-0.039,0.039,9.865
Accel,47184,2204335697,1731911277369,1731911277369,-0.294,0.01,9.865
Accel,47185,2204345561,1731911277378,1731911277378,-0.186,0.029,9.865
Accel,47186,2204355425,1731911277389,1731911277389,-0.196,0.059,9.865
Accel,47187,2204365291,1731911277398,1731911277398,-0.235,0.226,9.865
Accel,47188,2204375155,1731911277408,1731911277408,-0.029,0.314,9.865
Accel,47189,2204385019,1731911277418,1731911277418,0.873,0.441,9.865
Accel,47190,2204394883,1731911277428,1731911277428,1.471,0.51,9.934
Accel,47191,2204404747,1731911277438,1731911277438,1.255,0.657,9.944
Accel,47192,2204414611,1731911277448,1731911277448,0.804,1.275,9.748
Accel,47193,2204424475,1731911277457,1731911277457,0.51,1.157,10.238
Accel,47194,2204434339,1731911277467,1731911277467,0.804,0.382,11.091
Accel,47195,2204444203,1731911277477,1731911277477,2.236,0.765,10.964
Accel,47196,2204454067,1731911277487,1731911277487,3.785,1.834,11.739
Accel,47197,2204463929,1731911277497,1731911277497,5.247,0.559,13.092
Accel,47198,2204473795,1731911277506,1731911277506,6.051,-0.706,13.239
Accel,47199,2204483659,1731911277516,1731911277517,5.894,-0.883,12.768
Accel,47200,2204493523,1731911277526,1731911277526,5.403,-0.402,11.935
Accel,47201,2204503387,1731911277536,1731911277536,4.805,0.284,10.64
