Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,62278,2353225771,1731911426245,1731911426245,-0.196,0.039,9.865
Accel,62279,2353235635,1731911426255,1731911426256,-0.196,0.039,9.865
Accel,62280,2353245501,1731911426265,1731911426265,-0.206,0.059,9.865
Accel,62281,2353255365,1731911426275,1731911426275,-0.196,0.039,9.885
Accel,62282,2353265231,1731911426285,1731911426285,-0.196,0.059,9.846
Accel,62283,2353275095,1731911426295,1731911426295,-0.206,0.059,9.865
Accel,62335,2353788057,1731911426808,1731911426808,-0.088,1.912,9.915
Accel,62336,2353797921,1731911426818,1731911426818,-0.167,1.981,9.865
Accel,62337,2353807785,1731911426828,1731911426828,-0.422,2.148,9.885
Accel,62338,2353817649,1731911426837,1731911426838,-0.51,2.187,9.787
Accel,62339,2353827513,1731911426847,1731911426847,-0.422,2.128,9.885
Accel,62340,2353837379,1731911426857,1731911426857,-0.471,2.05,9.895
Accel,62341,2353847245,1731911426867,1731911426867,-0.382,2.079,9.836
Accel,62342,2353857111,1731911426877,1731911426877,-0.235,2.05,9.816
Accel,62343,2353866977,1731911426887,1731911426887,-0.029,2.108,9.836
Accel,62344,2353876841,1731911426897,1731911426897,-0.078,2.383,9.964
Accel,62345,2353886707,1731911426907,1731911426907,-0.157,2.432,9.865
Accel,62346,2353896571,1731911426916,1731911426917,-0.275,2.648,9.944
Accel,62347,2353906437,1731911426926,1731911426927,-0.029,2.511,9.836
Accel,62348,2353916301,1731911426936,1731911426936,-0.039,2.363,9.865
Accel,62349,2353926165,1731911426946,1731911426946,0.029,2.471,9.895
Accel,62350,2353936031,1731911426956,1731911426956,0.039,2.167,9.836
Accel,62351,2353945895,1731911426965,1731911426966,0.069,2.059,9.728
Accel,62352,2353955761,1731911426976,1731911426976,0.039,2.138,9.865
Accel,62353,2353965625,1731911426985,1731911426986,-0.245,2.03,9.983
Accel,62354,2353975489,1731911426995,1731911426996,-0.51,1.755,9.944
Accel,62355,2353985355,1731911427005,1731911427005,-0.686,1.775,9.679
Accel,62356,2353995221,1731911427015,1731911427015,-0.706,1.981,9.885
Accel,62357,2354005085,1731911427025,1731911427025,-0.441,1.471,9.944
Accel,62358,2354014951,1731911427035,1731911427035,-0.53,1.265,10.062
Accel,62359,2354024815,1731911427045,1731911427045,-0.637,1.069,9.983
Accel,62360,2354034681,1731911427054,1731911427054,-0.402,0.49,9.846
Accel,62361,2354044547,1731911427064,1731911427064,-0.441,0.99,9.66
