Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,79561,2523730373,1731911596735,1731911596735,-0.226,0.059,9.865
Accel,79562,2523740239,1731911596745,1731911596745,-0.226,0.039,9.865
Accel,79563,2523750107,1731911596755,1731911596755,-0.206,0.039,9.885
Accel,79564,2523759975,1731911596764,1731911596765,-0.206,0.039,9.865
Accel,79565,2523769841,1731911596775,1731911596775,-0.206,0.039,9.865
Accel,79566,2523779707,1731911596784,1731911596784,-0.196,0.039,9.865
Accel,79615,2524263141,1731911597268,1731911597268,0.363,-0.029,9.816
Accel,79616,2524273007,1731911597278,1731911597278,0.451,-0.294,9.885
Accel,79617,2524282873,1731911597288,1731911597288,0.284,-0.343,9.816
Accel,79618,2524292739,1731911597297,1731911597297,0.402,-0.382,9.807
Accel,79619,2524302605,1731911597307,1731911597308,0.235,-0.157,9.758
Accel,79620,2524312471,1731911597317,1731911597317,0.343,-0.49,10.013
Accel,79621,2524322339,1731911597327,1731911597328,0.343,-1.02,9.934
Accel,79622,2524332205,1731911597337,1731911597337,0.363,-0.843,9.885
Accel,79623,2524342069,1731911597347,1731911597347,0.422,-0.706,9.816
Accel,79624,2524351935,1731911597357,1731911597357,0.53,-1.265,9.865
Accel,79625,2524361801,1731911597366,1731911597367,0.637,-1.314,9.836
Accel,79626,2524371669,1731911597377,1731911597377,0.794,-1.618,9.915
Accel,79627,2524381535,1731911597386,1731911597386,0.667,-1.706,9.816
Accel,79628,2524391401,1731911597396,1731911597396,0.618,-1.922,9.797
Accel,79629,2524401267,1731911597406,1731911597406,0.451,-1.981,9.865
Accel,79630,2524411133,1731911597416,1731911597416,0.275,-2.059,9.865
Accel,79631,2524420999,1731911597426,1731911597426,0.294,-2.079,9.816
Accel,79632,2524430865,1731911597436,1731911597436,0.343,-1.912,9.787
Accel,79633,2524440731,1731911597445,1731911597445,0.471,-2.001,9.885
Accel,79634,2524450595,1731911597456,1731911597456,0.618,-1.991,9.915
Accel,79635,2524460461,1731911597465,1731911597465,0.686,-2.138,9.885
Accel,79636,2524470327,1731911597475,1731911597475,0.775,-2.04,9.816
Accel,79637,2524480195,1731911597485,1731911597485,0.951,-2.079,9.885
Accel,79638,2524490061,1731911597495,1731911597495,1.138,-2.069,9.865
Accel,79639,2524499929,1731911597505,1731911597505,1.089,-2.05,9.865
Accel,79640,2524509795,1731911597514,1731911597514,1.069,-1.912,9.865
Accel,79641,2524519661,1731911597524,1731911597524,1.069,-1.746,9.865
Accel,79642,2524529529,1731911597534,1731911597534,0.99,-1.677,9.885
Accel,79643,2524539397,1731911597544,1731911597544,0.922,-1.412,9.865
Accel,79644,2524549265,1731911597554,1731911597554,0.883,-1.177,9.816
