Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,86944,2596567425,1731911669566,1731911669566,-0.196,0.039,9.865
Accel,86945,2596577289,1731911669575,1731911669576,-0.206,0.059,9.865
Accel,86946,2596587153,1731911669585,1731911669586,-0.206,0.039,9.865
Accel,86947,2596597015,1731911669595,1731911669595,-0.186,0.039,9.865
Accel,86948,2596606879,1731911669605,1731911669605,-0.186,0.029,9.865
Accel,86949,2596616745,1731911669615,1731911669615,-0.206,0.039,9.865
Accel,86999,2597109955,1731911670108,1731911670108,-0.422,2.432,9.807
Accel,87000,2597119821,1731911670118,1731911670118,-0.941,2.56,9.836
Accel,87001,2597129685,1731911670128,1731911670128,-0.981,2.677,9.836
Accel,87002,2597139551,1731911670138,1731911670138,-0.618,2.54,9.836
Accel,87003,2597149417,1731911670148,1731911670148,-0.657,2.197,10.013
Accel,87004,2597159281,1731911670158,1731911670158,-0.686,2.295,9.787
Accel,87005,2597169145,1731911670168,1731911670168,-0.598,2.344,9.885
Accel,87006,2597179009,1731911670177,1731911670178,-0.628,2.677,9.944
Accel,87007,2597188873,1731911670188,1731911670188,-0.275,1.765,10.013
Accel,87008,2597198737,1731911670197,1731911670197,-0.265,2.314,9.836
Accel,87009,2597208601,1731911670207,1731911670207,-0.078,1.912,10.013
Accel,87010,2597218465,1731911670217,1731911670217,-0.029,1.265,9.983
Accel,87011,2597228329,1731911670226,1731911670227,-0.02,1.226,9.758
Accel,87012,2597238193,1731911670236,1731911670237,-0.078,1.206,9.758
Accel,87013,2597248057,1731911670246,1731911670246,-0.363,0.873,9.934
Accel,87014,2597257923,1731911670256,1731911670256,-0.49,0.451,9.846
Accel,87015,2597267787,1731911670266,1731911670266,-0.618,0.873,9.816
Accel,87016,2597277651,1731911670276,1731911670276,-0.667,0.667,9.915
Accel,87017,2597287517,1731911670286,1731911670286,-0.549,0.402,9.885
Accel,87018,2597297381,1731911670296,1731911670296,-0.284,0.265,9.964
Accel,87019,2597307245,1731911670305,1731911670306,-0.039,0.402,9.699
Accel,87020,2597317109,1731911670316,1731911670316,0.157,0.118,9.915
Accel,87021,2597326973,1731911670326,1731911670326,0.402,-0.127,9.865
Accel,87022,2597336839,1731911670335,1731911670335,0.422,0.01,9.709
Accel,87023,2597346703,1731911670345,1731911670345,0.255,-0.451,9.964
Accel,87024,2597356567,1731911670355,1731911670355,0.137,-0.275,9.865
Accel,87025,2597366431,1731911670365,1731911670365,0.255,-1.353,10.013
Accel,87026,2597376297,1731911670375,1731911670375,0.137,-0.814,9.767
Accel,87027,2597386161,1731911670385,1731911670385,0.314,-1.01,9.895
Accel,87028,2597396025,1731911670395,1731911670395,0.343,-1.765,9.895
Accel,87029,2597405889,1731911670405,1731911670405,0.245,-0.804,9.816
Accel,87030,2597415753,1731911670414,1731911670414,0.177,-1.883,9.944
Accel,87031,2597425617,1731911670424,1731911670425,0.078,-2.285,9.836
Accel,87032,2597435483,1731911670434,1731911670434,-0.137,-1.687,9.758
Accel,87033,2597445349,1731911670444,1731911670444,-0.275,-1.834,9.807
Accel,87034,2597455213,1731911670453,1731911670454,-0.284,-2.56,9.915
Accel,87035,2597465079,1731911670463,1731911670463,-0.333,-2.452,9.885
Accel,87036,2597474943,1731911670473,1731911670473,-0.49,-1.402,9.767
Accel,87037,2597484809,1731911670483,1731911670483,-0.363,-1.932,9.787
Accel,87038,2597494673,1731911670493,1731911670494,-0.226,-2.991,9.915
Accel,87039,2597504537,1731911670503,1731911670503,-0.167,-2.216,9.787
Accel,87040,2597514403,1731911670513,1731911670513,-0.039,-2.393,9.934
Accel,87041,2597524267,1731911670523,1731911670523,0.039,-2.785,9.836
Accel,87042,2597534131,1731911670533,1731911670533,0.078,-2.452,9.846
Accel,87043,2597543995,1731911670543,1731911670543,0.0,-2.197,9.846
Accel,87044,2597553861,1731911670552,1731911670552,0.02,-2.452,9.865
Accel,87045,2597563727,1731911670562,1731911670562,0.137,-2.628,9.865
Accel,87046,2597573591,1731911670572,1731911670572,0.177,-2.314,9.865
Accel,87047,2597583457,1731911670582,1731911670582,0.245,-2.187,9.836
Accel,87048,2597593321,1731911670592,1731911670592,0.451,-2.167,9.865
Accel,87049,2597603183,1731911670602,1731911670602,0.53,-2.02,9.885
Accel,87050,2597613047,1731911670611,1731911670611,0.51,-2.001,9.865
Accel,87051,2597622911,1731911670622,1731911670622,0.549,-1.981,9.865
Accel,87052,2597632775,1731911670631,1731911670631,0.618,-1.834,9.846
Accel,87053,2597642639,1731911670641,1731911670641,0.735,-1.628,9.865
Accel,87054,2597652501,1731911670651,1731911670651,0.834,-1.098,9.865
Accel,87055,2597662367,1731911670660,1731911670661,-0.127,0.039,9.865
Accel,87056,2597672231,1731911670670,1731911670671,-0.255,-0.834,9.885
Accel,87057,2597682095,1731911670680,1731911670680,-0.226,-0.99,9.836
Accel,87058,2597691961,1731911670690,1731911670690,-0.196,-0.873,9.865
Accel,87059,2597701825,1731911670700,1731911670700,-0.206,-1.138,9.865
Accel,87060,2597711691,1731911670710,1731911670710,-0.284,-1.5,9.865
Accel,87061,2597721555,1731911670720,1731911670720,-0.579,-1.883,9.836
Accel,87062,2597731419,1731911670730,1731911670730,-0.99,-2.187,9.865
Accel,87063,2597741283,1731911670740,1731911670740,-1.245,-2.363,9.865
Accel,87064,2597751147,1731911670750,1731911670750,-1.569,-2.422,9.846
Accel,87065,2597761011,1731911670760,1731911670760,-1.687,-2.334,9.836
Accel,87066,2597770875,1731911670769,1731911670769,-1.785,-2.334,9.816
Accel,87067,2597780737,1731911670779,1731911670779,-1.844,-2.265,9.885
Accel,87068,2597790601,1731911670789,1731911670789,-1.687,-2.197,9.807
Accel,87069,2597800467,1731911670799,1731911670799,-1.54,-2.471,9.816
Accel,87070,2597810331,1731911670809,1731911670809,-1.314,-2.716,9.895
Accel,87071,2597820195,1731911670818,1731911670819,-1.206,-2.716,9.846
Accel,87072,2597830059,1731911670828,1731911670828,-0.951,-2.746,9.865
Accel,87073,2597839923,1731911670838,1731911670838,-0.951,-2.922,9.787
Accel,87074,2597849787,1731911670848,1731911670848,-1.098,-3.099,9.885
Accel,87075,2597859651,1731911670858,1731911670858,-0.853,-2.834,9.885
Accel,87076,2597869515,1731911670868,1731911670868,-0.726,-2.873,9.836
Accel,87077,2597879379,1731911670877,1731911670878,-0.873,-2.765,9.816
Accel,87078,2597889243,1731911670888,1731911670888,-0.775,-2.815,9.797
Accel,87079,2597899107,1731911670897,1731911670898,-0.696,-2.334,9.816
Accel,87080,2597908971,1731911670907,1731911670908,-0.422,-1.981,9.748
Accel,87081,2597918835,1731911670917,1731911670917,-0.226,-2.04,9.865
Accel,87082,2597928699,1731911670927,1731911670927,-0.127,-2.099,9.915
Accel,87083,2597938563,1731911670937,1731911670937,-0.118,-1.5,9.865
Accel,87084,2597948427,1731911670947,1731911670947,0.206,-1.432,9.748
Accel,87085,2597958291,1731911670956,1731911670957,0.167,-1.265,9.915
Accel,87086,2597968155,1731911670966,1731911670966,0.02,-1.402,10.091
Accel,87087,2597978019,1731911670976,1731911670977,-0.069,-1.138,9.767
Accel,87088,2597987885,1731911670986,1731911670986,-0.01,-0.422,9.62
Accel,87089,2597997749,1731911670996,1731911670996,0.029,-0.422,9.836
Accel,87090,2598007613,1731911671006,1731911671006,0.294,-0.235,9.915
Accel,87091,2598017477,1731911671016,1731911671016,0.314,0.226,9.836
Accel,87092,2598027341,1731911671025,1731911671025,0.363,-0.157,9.993
Accel,87093,2598037207,1731911671035,1731911671036,0.598,0.275,9.836
Accel,87094,2598047073,1731911671045,1731911671045,0.53,0.284,9.816
Accel,87095,2598056937,1731911671055,1731911671055,0.696,0.775,9.895
Accel,87096,2598066801,1731911671065,1731911671065,0.726,0.941,9.885
Accel,87097,2598076665,1731911671075,1731911671075,0.657,1.118,9.836
Accel,87098,2598086529,1731911671085,1731911671085,0.49,1.589,9.728
Accel,87099,2598096391,1731911671094,1731911671095,0.284,1.804,9.983
Accel,87100,2598106255,1731911671104,1731911671105,0.294,1.775,9.836
Accel,87101,2598116121,1731911671114,1731911671114,0.078,2.383,9.885
Accel,87102,2598125985,1731911671124,1731911671124,0.02,2.412,9.885
Accel,87103,2598135849,1731911671134,1731911671134,-0.078,2.56,9.885
Accel,87104,2598145713,1731911671144,1731911671145,-0.088,2.873,9.895
Accel,87105,2598155579,1731911671154,1731911671154,0.137,2.922,9.758
Accel,87106,2598165445,1731911671164,1731911671164,0.451,3.403,10.062
Accel,87107,2598175309,1731911671173,1731911671174,0.559,3.266,9.964
Accel,87108,2598185175,1731911671183,1731911671183,0.51,3.805,9.758
Accel,87109,2598195039,1731911671194,1731911671194,0.0,3.491,9.934
Accel,87110,2598204903,1731911671203,1731911671203,-0.422,3.766,9.885
Accel,87111,2598214767,1731911671213,1731911671213,-0.314,3.893,9.865
Accel,87112,2598224631,1731911671223,1731911671223,-0.118,3.472,9.915
Accel,87113,2598234495,1731911671233,1731911671233,-0.088,3.54,9.895
Accel,87114,2598244359,1731911671243,1731911671243,-0.039,3.285,9.836
Accel,87115,2598254223,1731911671253,1731911671253,-0.069,3.04,9.915
Accel,87116,2598264087,1731911671262,1731911671263,-0.078,3.236,9.846
Accel,87117,2598273951,1731911671272,1731911671273,-0.186,3.128,9.846
Accel,87118,2598283815,1731911671282,1731911671283,-0.314,2.873,9.885
Accel,87119,2598293679,1731911671292,1731911671292,-0.618,2.746,9.865
Accel,87120,2598303543,1731911671302,1731911671302,-0.843,2.56,9.846
Accel,87121,2598313409,1731911671311,1731911671312,-0.735,1.883,9.865
Accel,87122,2598323273,1731911671322,1731911671322,-0.255,0.275,9.865
Accel,87123,2598333137,1731911671332,1731911671332,-0.402,0.843,9.836
Accel,87124,2598343003,1731911671341,1731911671342,-0.559,1.089,9.885
Accel,87125,2598352867,1731911671351,1731911671351,-0.745,1.549,9.865
Accel,87126,2598362733,1731911671361,1731911671361,-0.941,2.04,9.865
Accel,87127,2598372597,1731911671371,1731911671371,-1.128,2.314,9.865
Accel,87128,2598382463,1731911671381,1731911671381,-1.138,2.363,9.846
Accel,87129,2598392329,1731911671390,1731911671390,-1.02,2.138,9.885
Accel,87130,2598402193,1731911671400,1731911671400,-0.883,2.001,9.836
Accel,87131,2598412059,1731911671410,1731911671410,-0.834,1.952,9.865
Accel,87132,2598421923,1731911671420,1731911671420,-0.775,1.961,9.816
Accel,87133,2598431789,1731911671430,1731911671430,-0.696,2.059,9.915
Accel,87134,2598441655,1731911671440,1731911671440,-0.628,2.138,9.895
Accel,87135,2598451521,1731911671450,1731911671450,-0.814,2.148,9.816
Accel,87136,2598461387,1731911671459,1731911671460,-0.99,2.197,9.836
Accel,87137,2598471253,1731911671469,1731911671470,-1.098,2.108,9.865
Accel,87138,2598481119,1731911671479,1731911671479,-1.344,2.069,9.846
Accel,87139,2598490983,1731911671489,1731911671489,-1.402,2.256,9.807
Accel,87140,2598500849,1731911671499,1731911671499,-1.324,2.452,9.797
Accel,87141,2598510713,1731911671509,1731911671509,-1.236,2.491,9.915
Accel,87142,2598520579,1731911671519,1731911671519,-1.324,2.363,9.885
Accel,87143,2598530445,1731911671529,1731911671529,-1.059,1.824,9.964
Accel,87144,2598540311,1731911671539,1731911671539,-1.02,3.04,9.718
Accel,87145,2598550175,1731911671549,1731911671549,-0.853,1.824,10.032
