Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,102980,2754766523,1731911827751,1731911827751,-0.206,0.039,9.846
Accel,102981,2754776389,1731911827761,1731911827761,-0.206,0.029,9.865
Accel,102982,2754786255,1731911827771,1731911827771,-0.206,0.039,9.885
Accel,102983,2754796121,1731911827780,1731911827781,-0.196,0.039,9.865
Accel,102984,2754805989,1731911827790,1731911827790,-0.206,0.039,9.865
Accel,102985,2754815853,1731911827800,1731911827800,-0.206,0.039,9.865
Accel,103038,2755338745,1731911828323,1731911828323,0.206,0.0,9.836
Accel,103039,2755348611,1731911828333,1731911828333,0.186,0.0,9.816
Accel,103040,2755358475,1731911828343,1731911828343,0.196,-0.137,9.836
Accel,103041,2755368341,1731911828353,1731911828353,0.167,-0.275,9.964
Accel,103042,2755378205,1731911828363,1731911828363,0.598,-0.853,10.071
Accel,103043,2755388071,1731911828372,1731911828372,0.794,-0.696,9.836
Accel,103044,2755397935,1731911828382,1731911828383,0.951,-0.628,9.758
Accel,103045,2755407801,1731911828392,1731911828392,1.098,-1.03,9.993
Accel,103046,2755417665,1731911828402,1731911828402,1.226,-1.098,9.944
Accel,103047,2755427531,1731911828412,1731911828412,1.324,-1.304,9.865
Accel,103048,2755437395,1731911828422,1731911828422,1.432,-1.167,9.915
Accel,103049,2755447261,1731911828432,1731911828432,1.5,-1.324,9.807
Accel,103050,2755457125,1731911828441,1731911828441,1.618,-1.471,9.885
Accel,103051,2755466991,1731911828451,1731911828452,1.638,-1.667,9.885
Accel,103052,2755476855,1731911828461,1731911828461,1.716,-1.961,9.934
Accel,103053,2755486721,1731911828471,1731911828471,1.608,-2.059,9.885
Accel,103054,2755496585,1731911828481,1731911828481,1.638,-2.079,9.885
Accel,103055,2755506451,1731911828491,1731911828491,1.755,-2.52,9.934
Accel,103056,2755516315,1731911828501,1731911828501,1.804,-2.246,9.836
Accel,103057,2755526181,1731911828511,1731911828511,1.804,-2.354,9.816
Accel,103058,2755536047,1731911828521,1731911828521,1.834,-2.265,9.895
Accel,103059,2755545911,1731911828530,1731911828531,1.736,-2.187,9.846
Accel,103060,2755555775,1731911828540,1731911828541,1.618,-2.148,9.865
Accel,103061,2755565641,1731911828550,1731911828550,1.549,-2.001,9.836
Accel,103062,2755575507,1731911828560,1731911828561,1.481,-1.922,9.895
Accel,103063,2755585371,1731911828570,1731911828570,1.491,-1.961,9.915
Accel,103064,2755595237,1731911828580,1731911828580,1.432,-1.922,9.836
Accel,103065,2755605101,1731911828589,1731911828590,1.324,-1.834,9.885
Accel,103066,2755614967,1731911828600,1731911828600,1.324,-1.981,9.895
Accel,103067,2755624831,1731911828609,1731911828610,1.334,-1.981,9.865
Accel,103068,2755634697,1731911828619,1731911828620,1.344,-1.981,9.885
Accel,103069,2755644565,1731911828629,1731911828629,1.255,-1.922,9.865
Accel,103070,2755654431,1731911828639,1731911828639,0.912,-1.755,9.865
Accel,103071,2755664295,1731911828649,1731911828649,0.255,-1.177,9.787
Accel,103072,2755674161,1731911828658,1731911828659,-0.255,0.059,9.885
Accel,103073,2755684027,1731911828668,1731911828669,0.01,-0.186,9.934
Accel,103074,2755693893,1731911828678,1731911828678,-0.275,0.078,9.836
Accel,103075,2755703759,1731911828689,1731911828689,-0.284,0.157,9.846
Accel,103076,2755713625,1731911828698,1731911828698,-0.167,-0.029,9.865
Accel,103077,2755723491,1731911828708,1731911828708,0.039,-0.265,9.885
Accel,103078,2755733357,1731911828718,1731911828718,0.363,-0.402,9.846
Accel,103079,2755743221,1731911828728,1731911828728,0.422,-0.451,9.865
Accel,103080,2755753087,1731911828737,1731911828738,0.422,-0.53,9.885
Accel,103081,2755762953,1731911828747,1731911828748,0.402,-0.598,9.885
Accel,103082,2755772819,1731911828757,1731911828758,0.53,-0.598,9.964
Accel,103083,2755782687,1731911828767,1731911828767,0.745,-0.314,9.758
Accel,103084,2755792553,1731911828777,1731911828777,0.726,-0.441,10.032
Accel,103085,2755802419,1731911828787,1731911828787,0.451,-1.765,10.483
Accel,103086,2755812283,1731911828797,1731911828797,-0.333,-2.697,10.434
Accel,103087,2755822149,1731911828806,1731911828807,-0.402,-3.079,10.836
Accel,103088,2755832017,1731911828817,1731911828817,0.51,-3.677,11.866
Accel,103089,2755841883,1731911828826,1731911828826,1.049,-3.236,12.366
Accel,103090,2755851749,1731911828836,1731911828836,1.451,-2.746,12.072
Accel,103091,2755861613,1731911828846,1731911828846,1.304,-2.746,11.523
Accel,103092,2755871481,1731911828856,1731911828856,0.941,-2.922,10.866
Accel,103093,2755881347,1731911828866,1731911828866,0.49,-3.177,10.258
Accel,103094,2755891213,1731911828875,1731911828876,-0.039,-3.373,9.816
Accel,103095,2755901079,1731911828886,1731911828886,-0.451,-3.354,9.307
Accel,103096,2755910945,1731911828895,1731911828895,-0.579,-3.128,8.757
Accel,103097,2755920813,1731911828905,1731911828905,-0.53,-2.952,8.404
Accel,103098,2755930679,1731911828915,1731911828915,-0.382,-2.991,8.394
Accel,103099,2755940545,1731911828925,1731911828925,0.118,-3.128,8.62
Accel,103100,2755950411,1731911828935,1731911828935,0.912,-3.109,9.11
Accel,103101,2755960277,1731911828945,1731911828945,1.402,-3.02,9.346
Accel,103102,2755970141,1731911828954,1731911828955,1.569,-2.746,9.081
Accel,103103,2755980007,1731911828964,1731911828964,1.471,-2.265,8.669
Accel,103104,2755989873,1731911828974,1731911828975,1.265,-1.775,8.385
Accel,103105,2755999739,1731911828985,1731911828985,1.049,-1.589,8.434
Accel,103106,2756009605,1731911828994,1731911828994,0.686,-1.755,8.61
Accel,103107,2756019471,1731911829004,1731911829004,0.382,-1.902,8.767
Accel,103108,2756029337,1731911829014,1731911829014,0.167,-1.834,8.895
Accel,103109,2756039203,1731911829024,1731911829024,0.186,-1.853,9.159
Accel,103110,2756049069,1731911829034,1731911829034,0.245,-1.697,9.395
Accel,103111,2756058935,1731911829044,1731911829044,0.118,-1.206,9.346
Accel,103112,2756068803,1731911829053,1731911829053,0.0,-0.696,9.071
Accel,103113,2756078669,1731911829063,1731911829063,0.029,-0.118,8.806
Accel,103114,2756088535,1731911829073,1731911829073,0.039,0.471,8.591
Accel,103115,2756098399,1731911829083,1731911829083,0.069,0.745,8.522
Accel,103116,2756108265,1731911829093,1731911829093,0.167,0.951,8.757
Accel,103117,2756118131,1731911829103,1731911829103,0.471,1.03,9.287
Accel,103118,2756127997,1731911829112,1731911829113,0.804,1.02,9.915
Accel,103119,2756137861,1731911829122,1731911829122,0.961,1.059,10.336
Accel,103120,2756147727,1731911829132,1731911829132,0.667,1.226,10.493
Accel,103121,2756157593,1731911829142,1731911829142,0.265,1.344,10.562
Accel,103122,2756167459,1731911829152,1731911829152,0.039,1.432,10.542
Accel,103123,2756177325,1731911829162,1731911829162,-0.098,1.687,10.415
Accel,103124,2756187191,1731911829171,1731911829171,-0.235,1.844,10.16
Accel,103125,2756197057,1731911829181,1731911829181,-0.255,1.824,9.964
Accel,103126,2756206923,1731911829191,1731911829191,-0.078,1.853,9.895
Accel,103127,2756216789,1731911829201,1731911829201,0.157,1.863,9.964
Accel,103128,2756226655,1731911829211,1731911829211,0.167,1.902,10.16
Accel,103129,2756236521,1731911829221,1731911829221,0.0,1.824,10.317
Accel,103130,2756246385,1731911829231,1731911829231,-0.078,1.608,10.562
Accel,103131,2756256251,1731911829241,1731911829241,-0.186,1.471,10.542
Accel,103132,2756266117,1731911829250,1731911829251,-0.265,1.412,10.287
Accel,103133,2756275981,1731911829260,1731911829260,-0.265,1.402,9.983
Accel,103134,2756285845,1731911829270,1731911829270,-0.098,1.402,9.62
Accel,103135,2756295709,1731911829280,1731911829280,-0.029,1.53,9.346
Accel,103136,2756305573,1731911829290,1731911829290,-0.039,1.736,9.257
Accel,103137,2756315439,1731911829300,1731911829300,-0.078,1.765,9.307
Accel,103138,2756325305,1731911829310,1731911829310,-0.265,1.687,9.483
Accel,103139,2756335169,1731911829320,1731911829320,-0.382,1.471,9.758
Accel,103140,2756345035,1731911829329,1731911829330,-0.422,1.196,10.042
Accel,103141,2756354899,1731911829339,1731911829339,-0.382,1.049,10.14
Accel,103142,2756364765,1731911829349,1731911829350,-0.314,0.981,10.071
Accel,103143,2756374631,1731911829359,1731911829359,-0.314,1.059,9.934
Accel,103144,2756384497,1731911829369,1731911829369,-0.265,1.265,9.699
Accel,103145,2756394361,1731911829379,1731911829379,-1.02,1.422,10.444
Accel,103146,2756404225,1731911829389,1731911829389,-1.049,0.078,10.444
Accel,103147,2756414089,1731911829399,1731911829399,-0.549,0.628,10.317
Accel,103148,2756423955,1731911829408,1731911829408,0.275,1.687,10.513
Accel,103149,2756433819,1731911829418,1731911829418,-0.314,2.471,9.885
Accel,103150,2756443683,1731911829428,1731911829428,-0.598,0.775,9.846
Accel,103151,2756453547,1731911829438,1731911829438,-0.951,0.628,9.816
Accel,103152,2756463411,1731911829448,1731911829448,-1.138,0.686,9.836
Accel,103153,2756473277,1731911829458,1731911829458,-1.353,0.441,9.934
Accel,103154,2756483141,1731911829468,1731911829468,-1.285,0.382,9.836
Accel,103155,2756493007,1731911829478,1731911829478,-1.128,0.51,9.816
