Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,115622,2879487873,1731911952461,1731911952461,-0.206,0.039,9.885
Accel,115623,2879497737,1731911952471,1731911952472,-0.196,0.039,9.865
Accel,115624,2879507603,1731911952481,1731911952481,-0.196,0.039,9.865
Accel,115625,2879517467,1731911952491,1731911952491,-0.206,0.059,9.885
Accel,115626,2879527331,1731911952501,1731911952501,-0.196,0.039,9.865
Accel,115627,2879537197,1731911952511,1731911952511,-0.196,0.039,9.885
Accel,115675,2880010671,1731911952984,1731911952984,-0.382,0.167,9.865
Accel,115676,2880020535,1731911952994,1731911952994,-0.314,0.01,9.787
Accel,115677,2880030401,1731911953004,1731911953004,-0.137,0.167,9.816
Accel,115678,2880040265,1731911953014,1731911953014,0.127,0.059,9.846
Accel,115679,2880050131,1731911953023,1731911953024,0.314,0.226,9.993
Accel,115680,2880059993,1731911953034,1731911953034,0.275,-0.667,9.964
Accel,115681,2880069857,1731911953043,1731911953043,0.186,-0.667,9.758
Accel,115682,2880079721,1731911953053,1731911953054,0.137,-1.02,9.983
Accel,115683,2880089585,1731911953063,1731911953064,-0.059,-1.902,9.885
Accel,115684,2880099449,1731911953073,1731911953073,-0.137,-1.863,9.816
Accel,115685,2880109313,1731911953083,1731911953083,-0.245,-1.893,9.787
Accel,115686,2880119175,1731911953093,1731911953093,-0.059,-2.187,9.787
Accel,115687,2880129039,1731911953103,1731911953103,0.137,-2.344,9.846
Accel,115688,2880138903,1731911953113,1731911953113,0.343,-2.363,9.865
Accel,115689,2880148769,1731911953122,1731911953123,0.628,-2.628,9.934
Accel,115690,2880158633,1731911953132,1731911953132,0.853,-2.883,9.836
Accel,115691,2880168497,1731911953142,1731911953142,1.03,-3.04,9.865
Accel,115692,2880178363,1731911953152,1731911953152,1.049,-2.942,9.934
Accel,115693,2880188227,1731911953162,1731911953162,1.059,-3.099,9.885
Accel,115694,2880198091,1731911953171,1731911953172,0.961,-2.971,9.816
Accel,115695,2880207955,1731911953181,1731911953182,0.843,-2.609,9.836
Accel,115696,2880217821,1731911953191,1731911953191,0.804,-2.716,9.885
Accel,115697,2880227685,1731911953201,1731911953201,0.735,-2.422,9.836
Accel,115698,2880237549,1731911953211,1731911953211,0.618,-2.197,9.865
Accel,115699,2880247413,1731911953221,1731911953221,0.382,-2.04,9.865
Accel,115700,2880257277,1731911953231,1731911953231,0.157,-1.677,9.846
Accel,115701,2880267141,1731911953240,1731911953241,-0.039,-1.01,9.836
Accel,115702,2880277005,1731911953251,1731911953251,-0.235,0.127,9.885
Accel,115703,2880286869,1731911953260,1731911953261,-0.235,0.078,9.885
Accel,115704,2880296733,1731911953271,1731911953271,-0.167,-0.078,9.865
Accel,115705,2880306597,1731911953280,1731911953281,-0.098,-0.167,9.865
Accel,115706,2880316463,1731911953290,1731911953290,-0.127,-0.245,9.865
Accel,115707,2880326329,1731911953300,1731911953300,-0.167,-0.333,9.885
Accel,115708,2880336193,1731911953310,1731911953310,-0.314,-0.078,9.865
Accel,115709,2880346057,1731911953320,1731911953320,-0.51,0.02,9.885
Accel,115710,2880355921,1731911953330,1731911953330,-0.49,0.167,9.885
Accel,115711,2880365787,1731911953340,1731911953340,-0.382,0.118,9.885
Accel,115712,2880375651,1731911953349,1731911953349,-0.451,0.098,9.865
Accel,115713,2880385517,1731911953359,1731911953359,-0.559,-0.314,9.885
Accel,115714,2880395381,1731911953369,1731911953369,-0.804,-0.686,9.885
Accel,115715,2880405245,1731911953379,1731911953379,-1.245,-1.5,9.885
Accel,115716,2880415109,1731911953389,1731911953389,-0.99,-2.206,10.366
Accel,115717,2880424973,1731911953399,1731911953399,-0.226,-2.246,10.738
Accel,115718,2880434835,1731911953408,1731911953408,-0.157,-1.902,11.013
Accel,115719,2880444699,1731911953419,1731911953419,-0.902,-1.785,10.836
Accel,115720,2880454561,1731911953428,1731911953428,-1.765,-1.893,10.513
Accel,115721,2880464425,1731911953438,1731911953438,-2.491,-2.02,10.258
Accel,115722,2880474289,1731911953448,1731911953448,-2.746,-2.059,10.013
Accel,115723,2880484151,1731911953457,1731911953458,-2.677,-2.138,9.915
Accel,115724,2880494015,1731911953468,1731911953468,-2.334,-2.295,9.944
Accel,115725,2880503879,1731911953477,1731911953478,-1.844,-2.363,10.013
Accel,115726,2880513743,1731911953487,1731911953488,-1.226,-2.295,10.042
