Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,125521,2977134225,1731912050099,1731912050099,-0.167,-0.255,9.865
Accel,125522,2977144089,1731912050109,1731912050109,-0.196,-0.137,9.816
Accel,125523,2977153955,1731912050119,1731912050119,-0.196,-0.118,9.836
Accel,125524,2977163819,1731912050129,1731912050129,-0.206,-0.078,9.865
Accel,125525,2977173685,1731912050138,1731912050138,-0.196,-0.078,9.885
Accel,125526,2977183551,1731912050148,1731912050149,-0.196,-0.078,9.865
Accel,125527,2977193415,1731912050158,1731912050158,-0.206,-0.078,9.846
Accel,125528,2977203281,1731912050168,1731912050168,-0.226,-0.088,9.807
Accel,125529,2977213145,1731912050178,1731912050178,-0.196,-0.078,9.728
Accel,125530,2977223009,1731912050188,1731912050188,-0.206,-0.078,9.709
Accel,125531,2977232875,1731912050198,1731912050198,-0.275,0.01,9.944
Accel,125532,2977242739,1731912050208,1731912050208,-0.51,-0.51,10.336
Accel,125533,2977252605,1731912050217,1731912050217,-0.637,-0.206,9.885
Accel,125534,2977262469,1731912050227,1731912050227,-0.471,0.235,9.816
Accel,125535,2977272333,1731912050237,1731912050237,-0.343,0.265,9.885
Accel,125536,2977282199,1731912050247,1731912050247,-0.471,0.137,9.865
Accel,125586,2977775489,1731912050740,1731912050740,4.178,0.226,9.885
Accel,125587,2977785353,1731912050750,1731912050751,3.128,-0.098,9.895
Accel,125588,2977795219,1731912050760,1731912050760,1.54,-0.363,9.895
Accel,125589,2977805087,1731912050770,1731912050771,0.402,-0.333,9.865
Accel,125590,2977814953,1731912050780,1731912050780,0.127,0.059,9.865
Accel,125591,2977824819,1731912050790,1731912050790,0.265,0.363,9.865
Accel,125592,2977834685,1731912050800,1731912050800,0.559,0.579,9.865
Accel,125593,2977844551,1731912050809,1731912050810,0.853,0.843,9.885
Accel,125594,2977854417,1731912050820,1731912050820,1.157,1.02,9.915
Accel,125595,2977864283,1731912050829,1731912050829,1.412,1.245,9.846
Accel,125596,2977874149,1731912050839,1731912050839,1.667,1.5,9.895
Accel,125597,2977884015,1731912050849,1731912050849,1.804,1.981,9.915
Accel,125598,2977893879,1731912050859,1731912050859,1.902,2.452,9.934
Accel,125599,2977903745,1731912050869,1731912050869,2.118,2.765,9.915
Accel,125600,2977913611,1731912050879,1731912050879,2.334,3.02,9.895
Accel,125601,2977923477,1731912050888,1731912050889,2.697,3.266,9.934
Accel,125602,2977933343,1731912050899,1731912050899,2.579,3.266,9.836
Accel,125603,2977943211,1731912050908,1731912050909,2.334,3.109,9.915
Accel,125604,2977953077,1731912050918,1731912050918,2.471,3.266,9.885
Accel,125605,2977962941,1731912050928,1731912050928,2.736,3.373,9.885
Accel,125606,2977972807,1731912050938,1731912050938,2.834,3.472,9.934
Accel,125607,2977982673,1731912050947,1731912050948,2.383,3.315,9.865
Accel,125608,2977992539,1731912050957,1731912050957,1.53,3.011,9.934
Accel,125609,2978002405,1731912050967,1731912050968,1.177,3.02,9.944
Accel,125610,2978012271,1731912050977,1731912050977,1.373,3.06,9.885
Accel,125611,2978022137,1731912050987,1731912050987,1.54,3.109,9.865
Accel,125612,2978032003,1731912050997,1731912050997,1.422,2.677,9.934
Accel,125613,2978041869,1731912051007,1731912051007,1.167,2.344,9.758
Accel,125614,2978051733,1731912051016,1731912051017,1.138,2.236,10.16
Accel,125615,2978061601,1731912051026,1731912051027,1.52,2.471,9.758
Accel,125616,2978071465,1731912051036,1731912051036,1.255,2.383,9.983
Accel,125617,2978081331,1731912051046,1731912051046,1.049,1.53,9.846
Accel,125618,2978091197,1731912051056,1731912051056,0.883,1.628,9.944
Accel,125619,2978101063,1731912051066,1731912051066,0.451,1.697,9.816
Accel,125620,2978110929,1731912051076,1731912051076,-0.098,1.226,9.964
Accel,125621,2978120795,1731912051086,1731912051086,-0.137,1.059,9.758
Accel,125622,2978130661,1731912051095,1731912051096,0.069,0.657,10.111
Accel,125623,2978140529,1731912051105,1731912051105,0.039,0.579,9.748
Accel,125624,2978150397,1731912051115,1731912051115,-0.333,0.549,9.748
Accel,125625,2978160265,1731912051125,1731912051125,-1.167,0.235,9.885
Accel,125626,2978170131,1731912051135,1731912051136,-1.53,-0.363,9.895
Accel,125627,2978179997,1731912051145,1731912051145,-0.804,-0.422,9.993
Accel,125628,2978189863,1731912051155,1731912051155,-0.686,-0.059,9.836
Accel,125629,2978199729,1731912051165,1731912051165,-1.383,-0.363,9.944
Accel,125630,2978209595,1731912051175,1731912051175,-1.952,-0.951,9.915
Accel,125631,2978219463,1731912051184,1731912051184,-1.755,-0.912,9.816
Accel,125632,2978229327,1731912051194,1731912051195,-1.432,-0.696,9.836
Accel,125633,2978239193,1731912051204,1731912051205,-1.353,-0.765,9.767
Accel,125634,2978249059,1731912051214,1731912051214,-1.618,-1.059,9.816
Accel,125635,2978258925,1731912051224,1731912051224,-1.922,-0.883,9.915
Accel,125636,2978268787,1731912051234,1731912051234,-2.05,-0.843,9.944
Accel,125637,2978278653,1731912051244,1731912051244,-2.246,-0.686,9.816
Accel,125638,2978288519,1731912051253,1731912051253,-2.785,-1.549,10.062
Accel,125639,2978298383,1731912051264,1731912051264,-2.628,-1.373,9.699
Accel,125640,2978308247,1731912051273,1731912051274,-2.412,-1.069,9.885
Accel,125641,2978318113,1731912051283,1731912051283,-2.491,-0.853,9.865
Accel,125642,2978327975,1731912051293,1731912051293,-2.452,-1.638,9.964
Accel,125643,2978337841,1731912051303,1731912051303,-1.971,-1.383,9.709
Accel,125644,2978347705,1731912051312,1731912051313,-1.451,-1.255,9.915
Accel,125645,2978357571,1731912051323,1731912051323,-1.059,-1.402,10.032
Accel,125646,2978367435,1731912051333,1731912051333,-0.628,-1.01,9.512
Accel,125647,2978377301,1731912051342,1731912051342,-1.138,-1.402,9.816
Accel,125648,2978387165,1731912051352,1731912051352,-1.922,-1.677,9.865
Accel,125649,2978397029,1731912051362,1731912051362,-2.403,-1.765,9.865
Accel,125650,2978406893,1731912051372,1731912051372,-2.815,-1.785,9.865
Accel,125651,2978416759,1731912051382,1731912051382,-3.079,-1.814,9.758
Accel,125652,2978426625,1731912051391,1731912051392,-3.217,-1.804,9.816
Accel,125653,2978436491,1731912051401,1731912051401,-3.266,-1.883,9.865
Accel,125654,2978446357,1731912051411,1731912051411,-2.922,-1.697,9.865
Accel,125655,2978456221,1731912051421,1731912051421,-2.765,-1.589,9.758
Accel,125656,2978466087,1731912051431,1731912051431,-2.785,-1.716,9.836
Accel,125657,2978475953,1731912051441,1731912051441,-3.148,-1.883,9.836
Accel,125658,2978485819,1731912051450,1731912051451,-4.217,-2.265,9.836
Accel,125659,2978495683,1731912051460,1731912051461,-4.737,-2.099,9.807
Accel,125660,2978505549,1731912051470,1731912051471,-4.56,-2.197,9.807
Accel,125661,2978515413,1731912051481,1731912051481,-2.991,-1.853,9.836
Accel,125662,2978525279,1731912051491,1731912051491,0.01,0.039,9.865
Accel,125663,2978535145,1731912051500,1731912051500,-0.039,0.196,9.865
Accel,125664,2978545011,1731912051510,1731912051510,-0.51,0.059,9.865
Accel,125665,2978554875,1731912051520,1731912051520,-1.353,0.088,9.846
Accel,125666,2978564741,1731912051530,1731912051530,-1.902,-0.069,9.846
Accel,125667,2978574607,1731912051540,1731912051540,-2.177,-0.039,9.836
Accel,125668,2978584471,1731912051550,1731912051550,-2.265,0.265,9.885
Accel,125669,2978594337,1731912051559,1731912051559,-2.609,0.49,9.836
Accel,125670,2978604201,1731912051569,1731912051570,-3.177,0.363,9.836
Accel,125671,2978614067,1731912051579,1731912051579,-3.217,0.186,9.846
Accel,125672,2978623933,1731912051589,1731912051589,-3.579,0.02,9.846
Accel,125673,2978633797,1731912051598,1731912051599,-3.746,-0.059,9.836
Accel,125674,2978643663,1731912051608,1731912051609,-3.785,-0.069,9.865
Accel,125675,2978653529,1731912051618,1731912051618,-3.628,0.0,9.846
Accel,125676,2978663393,1731912051628,1731912051628,-4.011,0.098,9.846
Accel,125677,2978673259,1731912051638,1731912051638,-4.197,0.078,9.728
Accel,125678,2978683125,1731912051648,1731912051648,-4.511,0.186,9.836
Accel,125679,2978692989,1731912051658,1731912051658,-4.374,0.382,9.895
Accel,125680,2978702855,1731912051668,1731912051668,-3.579,0.196,9.758
Accel,125681,2978712719,1731912051677,1731912051678,-3.383,0.667,9.885
Accel,125682,2978722585,1731912051687,1731912051688,-2.54,1.275,9.915
Accel,125683,2978732449,1731912051697,1731912051697,-1.618,1.138,9.885
Accel,125684,2978742315,1731912051707,1731912051708,-0.843,0.99,9.846
Accel,125685,2978752179,1731912051717,1731912051718,-1.334,0.804,9.915
Accel,125686,2978762045,1731912051727,1731912051727,-2.422,0.657,9.846
Accel,125687,2978771909,1731912051737,1731912051737,-2.648,0.706,9.816
Accel,125688,2978781775,1731912051747,1731912051747,-2.187,0.883,9.758
Accel,125689,2978791639,1731912051757,1731912051757,-1.393,0.735,9.944
Accel,125690,2978801503,1731912051766,1731912051766,-0.51,0.49,9.895
Accel,125691,2978811367,1731912051776,1731912051776,0.883,0.402,9.895
Accel,125692,2978821233,1731912051786,1731912051786,1.765,0.981,9.62
