test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,19.643053189607045
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,19.77604776954046
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,21.324283532832265
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,25.074136320765803
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,24.211615827536036
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,21.880517728578383
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,19.95037095244781
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,19.101802329524144
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,17.99638476448278
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,19.175450702954063
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,10.682887879202683
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,11.690123197185128
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,9.584579367680528
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,9.211362171802252
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,8.705274076328102
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,10.231088791993834
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,9.850372391780919
./IMUData_1127/acc_data/2d/mode1_test_cut//B/_20241128200656_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,12.036798495549135
