test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,14.649825265690671
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,15.171783586279156
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,15.133691075807162
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,19.01996504228499
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,18.532057631462482
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,15.177986887285885
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,14.456739018190888
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,14.54937655131875
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,14.497295566160382
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,15.840433340480113
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.314095995014977
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,17.50491375489997
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,18.579395428045455
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.556482173155057
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.32429608844692
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,17.73994166682415
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.53358835408406
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,16.645133524422963
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,16.405840759805564
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,15.905534805216853
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,19.400612956477502
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,19.206360202183898
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,19.43790705893424
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,18.47852814358544
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,18.758151924741213
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,20.217858991677073
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,18.43285977484666
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,19.537903278984512
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,20.190221544430802
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,21.00421390303506
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,16.546154258496077
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,16.25980635178076
./IMUData_1127/acc_data/2d/mode1_test_cut//F/_20241128203940_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,15.853254255069055
