test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.200236468892205
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,10.180424621118911
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,8.952901144682128
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,10.00282827565039
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,10.419693727478224
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,8.87954975255956
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.822565276879326
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.626965309829943
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.054964642190038
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,10.304663176492545
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.265906004373836
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,15.251509493843068
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,16.00893511196932
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.308980445246416
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.666102548660565
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,17.042211754621274
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.68530419121753
./IMUData_1127/acc_data/2d/mode1_test_cut//G/_20241128204045_imu_pose.csv,G,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,14.489740012800633
