test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,14.03817837430856
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,14.225322594122076
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,14.186397609125835
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,17.395955921154798
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,17.26479872415194
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,13.813894063870725
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,14.370084097850254
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,14.42449799608381
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,13.866096461323068
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,14.263632315237322
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,17.19198382960673
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,16.768480571616873
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,17.853185315873557
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,17.51236095035136
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.979455169913752
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,18.4589065414936
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,17.735675252544628
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,16.97542934589556
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,14.05608016993141
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,15.35678652786956
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,17.236872661551722
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,16.835408109255905
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,17.263571928759152
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,16.718142542785788
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,17.280477484348584
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,17.95192477485653
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,17.219375882692244
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,17.661097462516683
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,16.443501696561864
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,17.759376723327104
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,13.370361634580613
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,13.557416731924834
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,13.414123994904093
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,13.398853933560787
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,13.084332061102229
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,13.812841260401386
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,14.551616662819685
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,14.855782994926555
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,13.766294654890368
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,13.905279019059611
./IMUData_1127/acc_data/2d/mode1_test_cut//H/_20241128204132_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,14.066790379675021
