test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,10.69943158316123
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,10.9853419083204
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,9.08481830364799
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,7.2916350909153325
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,8.554265872271813
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,10.354973699438371
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,11.606777123619741
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,11.307975214118947
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.036713611643002
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,11.036826680998587
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,21.924848192155064
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,20.274659001576087
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,22.234911172792152
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,22.29730696144435
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,24.50724565596785
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,22.917655041778392
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,22.795478626816614
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,20.71529843887843
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,14.431292498892596
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,18.47148384284017
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,6.759831680414748
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,6.490285023476581
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,8.660045597949724
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,8.560244564927794
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,7.0768024638885025
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,6.6704199696370345
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,8.527652253182133
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,7.5194822079455035
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,6.613145433232272
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,6.414546013350923
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,13.715859954324642
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,12.30339771516684
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,13.39495299558913
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,13.488558013497375
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,10.563764374316309
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,9.72599105613972
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,9.425341471096877
./IMUData_1127/acc_data/2d/mode1_test_cut//I/_20241128204243_imu_pose.csv,I,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,9.011022834210902
