test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,12.97275807677939
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,13.006926373548808
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,13.210466115197397
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,17.158980418209953
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,16.6748080262708
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,13.16332902684079
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,13.230063377911419
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,13.323227129526016
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.9907855669127
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,14.101019887658437
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,15.502282814109856
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,15.253858104385545
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,15.775893698903602
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,15.090028026328753
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,16.518766299256296
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,16.005173181143384
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,15.270161513992713
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,15.350965520766167
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,14.320839755991814
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,14.731609780437436
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,17.533082987361926
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,16.982575722315808
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,16.795711785919448
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,15.65772310404185
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,17.11363913274033
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,17.199983385677303
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,16.192818184598917
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,16.887502548457682
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,16.94047889360607
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,18.148056813268322
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,15.7353565918983
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,15.914483914043112
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,15.799775360671667
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,15.570500459382465
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,15.56444302089308
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,16.159860706116127
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,16.66124069218223
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,16.92845312218724
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,16.187674862269322
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,16.68754507139746
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,12.233995599819616
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,14.59614292077917
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173021_imu_pose.csv,E,13.708532991802997
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173035_imu_pose.csv,E,14.384243446388117
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173053_imu_pose.csv,E,13.84035144766049
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173106_imu_pose.csv,E,14.251420348611383
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173115_imu_pose.csv,E,14.178803650223502
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173127_imu_pose.csv,E,13.084190146873473
./IMUData_1127/acc_data/2d/mode1_test_cut//K/_20241128204357_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173139_imu_pose.csv,E,15.596669849479893
