test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.594614261603787
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,8.962428849651934
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,8.440716209009462
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,8.594584401793789
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,7.93809684973695
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,10.268423190138664
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.624289541502785
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,10.05886599553749
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.384013805756334
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,9.736151136858236
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,17.601479395365633
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,16.800492011847574
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,18.256059811844807
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,18.706614642684954
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,20.529029767494485
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,18.080242764022856
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,18.136370881641756
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,16.865998119149705
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,11.919247466855488
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,14.793507109728575
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,7.1923512858855405
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,6.809151412899478
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,8.191869982911403
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,8.681075051506133
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,6.971144103115452
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,7.06939961785184
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,7.273469498292024
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,7.384533882942748
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,7.082500660308674
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,7.312235460559528
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,11.837761727180135
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,10.085074120542298
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,10.671284923508722
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,10.405043109751597
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,9.034304462939014
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,9.025775432317863
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,9.287751380652212
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,9.12328946473563
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,10.04957072845323
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,10.182373795025818
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,15.196085299567656
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,14.683554316883098
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173021_imu_pose.csv,E,16.327735027594258
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173035_imu_pose.csv,E,19.33663469216553
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173053_imu_pose.csv,E,19.117456053981062
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173106_imu_pose.csv,E,16.879106523166197
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173115_imu_pose.csv,E,17.21505685046415
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173127_imu_pose.csv,E,14.094276676129569
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173139_imu_pose.csv,E,19.405362310138376
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173158_imu_pose.csv,E,20.6481930163102
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,18.218899351152768
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173349_imu_pose.csv,F,18.3642668605664
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173355_imu_pose.csv,F,13.741189204784158
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173403_imu_pose.csv,F,16.862255152604163
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173409_imu_pose.csv,F,14.788207816552566
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173416_imu_pose.csv,F,14.133091209950988
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173423_imu_pose.csv,F,11.909202439277236
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173430_imu_pose.csv,F,14.039715483940041
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173440_imu_pose.csv,F,13.305997817775092
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173449_imu_pose.csv,F,15.727854278545806
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173808_imu_pose.csv,G,13.996098462561271
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173813_imu_pose.csv,G,11.417941965514872
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173818_imu_pose.csv,G,13.342270907271084
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173823_imu_pose.csv,G,11.480266658578051
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173827_imu_pose.csv,G,11.416834461358533
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173833_imu_pose.csv,G,10.134930795674995
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173839_imu_pose.csv,G,8.928944347078247
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173845_imu_pose.csv,G,10.034656490872793
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173853_imu_pose.csv,G,9.62480641366741
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//G/_20241118173902_imu_pose.csv,G,10.73160434546117
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,16.670889487266265
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173952_imu_pose.csv,H,16.356315182670293
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173958_imu_pose.csv,H,16.827680649624636
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174004_imu_pose.csv,H,16.016425404418726
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174013_imu_pose.csv,H,16.242079843271018
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174018_imu_pose.csv,H,14.436349988196957
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174024_imu_pose.csv,H,14.363461266038044
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174030_imu_pose.csv,H,15.716628320573633
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174037_imu_pose.csv,H,14.56937852269435
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118174045_imu_pose.csv,H,13.730751569236906
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174141_imu_pose.csv,I,9.058442094392968
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174143_imu_pose.csv,I,8.450896864520393
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174144_imu_pose.csv,I,9.247176532051737
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174146_imu_pose.csv,I,9.349370686685447
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174150_imu_pose.csv,I,8.880733227770179
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174153_imu_pose.csv,I,8.759487074123955
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174154_imu_pose.csv,I,8.61352772739508
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174157_imu_pose.csv,I,9.282933818720963
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174200_imu_pose.csv,I,9.050342160528418
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//I/_20241118174203_imu_pose.csv,I,8.611886475169198
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,8.432332885386328
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174228_imu_pose.csv,J,9.2381718148068
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174231_imu_pose.csv,J,9.606531873471004
./IMUData_1127/acc_data/2d/mode1_test_cut//L/_20241128204535_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174236_imu_pose.csv,J,8.909528586204763
