test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,12.0718090870456
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,12.988254207283207
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,11.816399639228294
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,10.483942998741679
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,11.455424479846739
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,13.11991853310308
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,13.659038458015262
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,13.070280575345329
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.303438851906437
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,11.964831954497024
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.368041577710652
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,17.417346966702976
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,17.750428718695904
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,18.10048036822807
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,20.149031528142576
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,18.25260785679289
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,18.27920695407617
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,14.943742337853692
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,14.874335633586716
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,15.240387915579587
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,12.16512517630253
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,12.332665438456663
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,13.102062427491797
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,9.421002845197135
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,12.500400207306349
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,12.47634796381957
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,12.113398443294754
./IMUData_1127/acc_data/2d/mode1_test_cut//M/_20241128204902_imu_pose.csv,M,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,12.144486304509256
