test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,10.667719128797009
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,12.380919267751642
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,11.586194412097042
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,16.28993318765426
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,16.540858058278214
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,11.651354466138981
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,11.795016031883845
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,11.619417253588717
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.725760363223323
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,12.651224134266634
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,13.282286016883617
./IMUData_1127/acc_data/2d/mode1_test_cut//P/_20241128205154_imu_pose.csv,P,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,12.722986046473848
