test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,12.356365494507699
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,12.653977700441224
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,12.391870055379963
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,15.887247872393194
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,15.338020418309368
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,13.15115743555689
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,12.726718605838272
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,12.452146499542787
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.670958962257458
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,12.562386994937901
./IMUData_1127/acc_data/2d/mode1_test_cut//Q/_20241128205300_imu_pose.csv,Q,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,12.467247484767647
