test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,11.356174346097811
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,11.18499255437483
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,10.85480245880147
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,15.698327415541861
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,14.576637804374045
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,12.2152892269306
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,10.938786735647826
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,10.320638873536263
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.400705306437615
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,11.729938266444579
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,13.729054274138903
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,13.801620103597223
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,14.366912548741077
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,12.59147095203807
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,14.773550257265484
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,13.759430461180798
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,12.89833817981003
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,12.965085775301965
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,12.058865006114017
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,12.36064801150305
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,15.6254351793918
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,15.38517823531447
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,14.775679353097134
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,13.74544508052756
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,15.763305077029456
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,15.86117928929221
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,14.266692811705722
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,14.786072174121747
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,16.32639667035713
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,16.81195296741512
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,12.742825207270256
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,13.383859962836254
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,13.239179976526787
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,12.534162027890316
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,13.599822633205115
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,14.372056034855545
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,14.822308952975947
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,14.705607616547534
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,14.020977356717204
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,14.300762671196908
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,14.168081643321237
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,13.87954815708681
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173021_imu_pose.csv,E,14.816584695839424
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173035_imu_pose.csv,E,15.45478762768424
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173053_imu_pose.csv,E,15.729582268959222
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173106_imu_pose.csv,E,14.161963736269351
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173115_imu_pose.csv,E,14.725567575345869
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173127_imu_pose.csv,E,11.653711917769996
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173139_imu_pose.csv,E,17.03035321774982
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173158_imu_pose.csv,E,17.206186217978523
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,15.520918021167427
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173349_imu_pose.csv,F,16.322422987272407
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173355_imu_pose.csv,F,13.389834948506286
./IMUData_1127/acc_data/2d/mode1_test_cut//R/_20241128205404_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173403_imu_pose.csv,F,13.821286681708969
