test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,10.348703024555347
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,9.540143860877338
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,9.77314512863459
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,8.351635903792486
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,8.234371552387296
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,11.025620613000202
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,11.441334391276731
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,10.824044871730472
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.851143254463672
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,9.69407304530117
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,15.977199230911687
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,14.318491659071197
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,15.730418021402604
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.781800660503166
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.24098659033415
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,16.06116447578462
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.423238363783636
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,15.383986885825612
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,10.594569986310132
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,13.33761572084971
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,8.187482519942483
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,7.596058682649919
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,8.762130136765956
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,9.747897550825735
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,8.393682617592479
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,8.947100847899987
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,8.879336824078173
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,8.43565518850993
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,8.389586276679248
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,8.810024022481558
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,6.803015701927403
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,6.4726996621189725
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,7.25237602158755
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,7.514319400026243
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,6.337135804937108
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,6.869266164540776
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,6.66638461148123
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,7.128923668668446
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,7.465965239057691
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,6.694001006508419
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,15.552601681849538
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,15.246948841606953
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173021_imu_pose.csv,E,15.695653444883183
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173035_imu_pose.csv,E,20.207309699297397
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173053_imu_pose.csv,E,19.125743146825503
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173106_imu_pose.csv,E,17.934394269451623
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173115_imu_pose.csv,E,18.013824409343442
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173127_imu_pose.csv,E,15.156218480055552
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173139_imu_pose.csv,E,20.07733159477581
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173158_imu_pose.csv,E,23.015683312661498
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,16.6590231356966
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173349_imu_pose.csv,F,15.984671873618062
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173355_imu_pose.csv,F,12.365031355349837
./IMUData_1127/acc_data/2d/mode1_test_cut//S/_20241128205506_imu_pose.csv,S,./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173403_imu_pose.csv,F,13.860432017198143
