test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,21.762157301852614
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,21.491462288656404
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,21.007401690152815
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,21.06557501783844
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,21.064939086906048
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,21.19442251492652
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,21.167466788229053
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,21.41259745221984
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,21.623686142295707
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,21.611177849824347
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,22.406144940262156
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,22.48391217591129
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,19.895187148647086
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,22.53741455643269
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,23.33687370153217
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,22.57250357738793
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,23.31601590458609
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,22.743914894382375
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,20.790258059565016
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,21.80228715704808
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,19.6423798325906
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,19.76802067245991
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,19.739142370703437
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,19.856551895344694
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,19.80005525143461
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,19.76903511508011
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,19.6714891461384
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,19.73266017584638
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,20.07727816119154
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,19.624551361509535
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,20.648065324686687
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,20.80189556512685
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,21.3258633864087
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,21.10090788029274
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,20.497383044199214
./IMUData_1127/acc_data/2d/mode1_test_cut//T/_20241128205549_imu_pose.csv,T,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,20.72956464252243
