test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.152744782709648
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,9.230932437511164
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,7.962994644333283
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,7.13278315336989
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,7.710506867029992
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,8.628024487455106
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.235839779888412
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.5599957863012
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.188297960271145
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,8.733943110828857
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,15.608609972888141
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,15.118069800969636
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,16.843088632083667
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,17.28518706351341
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.8252036614313
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,16.36260484866308
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.298805508081003
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,14.801559193510974
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,10.690966889673012
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,12.411333292890312
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,8.207397690735407
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,7.74605964906891
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,9.029099140486956
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,7.840487830071493
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,8.097022288513154
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,8.150853053363006
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,8.392732892848715
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,7.823670073554356
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,8.102771914566581
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,8.490038966101007
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,9.744082180573626
./IMUData_1127/acc_data/2d/mode1_test_cut//V/_20241128205819_imu_pose.csv,V,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,7.807758607494665
