test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,12.137691481051066
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,12.521190955506333
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,11.823980558069822
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,14.097836235723257
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,14.828350288778465
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,12.222671519734071
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,12.801766744764523
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,12.794096118489364
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.558419909010317
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,12.602844786982219
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,14.092337913067945
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,13.561623498186549
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,13.27234900602578
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,13.740301476280804
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,15.233277971991697
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,15.542275658022122
./IMUData_1127/acc_data/2d/mode1_test_cut//Y/_20241128210319_imu_pose.csv,Y,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,14.742720257085987
