test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.388810344545531
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,9.010891421579919
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,9.080339777693766
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,8.239086232346537
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,7.468823942163206
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,11.075547164154132
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.584914395728648
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.558527721642141
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,9.484596192339383
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,8.904196791774234
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,14.568290770306659
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,14.21137707661211
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,14.934488854117966
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,15.294779731731571
./IMUData_1127/acc_data/2d/mode1_test_cut//Z/_20241128210409_imu_pose.csv,Z,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,17.248333262005605
