test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,0.0
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,3.719435166548189
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,3.894968922353655
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,6.6945763452382785
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,6.954063528772983
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,4.711010767937667
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,3.8009784409680605
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,3.5749840825917567
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,3.4582186074810632
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,3.767116119265831
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,13.796938931847322
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,12.233153883448201
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,14.528065318622668
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,13.527292722458704
./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,15.591495097488924
