test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,13.796938931847322
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,13.458751449775166
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,14.570714092313459
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,16.06083574763178
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,15.489740141262716
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,15.219322744323208
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,13.623973252792114
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,13.32124207339915
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.476220309396433
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,13.271298543696718
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,0.0
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,4.340892104662584
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,5.917384921507934
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,4.679421555845191
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,5.112407443821639
./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,4.860339171892202
