test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,10.352978262815926
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,10.821268258156813
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,9.793094120205028
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,11.03788568709644
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,11.200474810994104
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,10.30761741553923
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,10.785915082313155
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,10.35421490006898
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,10.684837482131298
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,10.619002169824233
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,12.557191107415763
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,11.712081626996046
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,13.128446290493054
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,13.416750102716492
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,14.83393565139287
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,12.620325075728957
./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,13.582657741217233
