test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,14.065142820999947
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,13.827714381087063
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,14.832025871955485
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,15.311553375750263
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,14.546812976372133
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,15.732168713697797
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,15.103193791151625
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,13.584809247522912
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,13.56267442263532
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,13.122564351918946
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.419472727858718
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,16.4896222783551
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,16.234477670858666
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.850212909214676
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,17.739536483314254
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,17.054822343366116
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.57027259171443
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,15.584358174892351
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,15.441207447385176
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,16.261676325280437
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,14.365020197741325
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,14.934647112871993
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,13.439989386006276
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,13.857320907699284
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,14.70082351284129
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,15.307718774790409
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,14.230648982357026
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,14.623457566909565
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,16.222022648796788
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,16.326466386784336
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,16.14723468372579
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172648_imu_pose.csv,D,16.377033319074012
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172702_imu_pose.csv,D,16.75265982719102
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172716_imu_pose.csv,D,16.436967338857286
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172724_imu_pose.csv,D,17.0090648287629
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172736_imu_pose.csv,D,17.436208888832766
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172743_imu_pose.csv,D,17.745879638891328
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172756_imu_pose.csv,D,17.223487471803526
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172812_imu_pose.csv,D,16.726167203130085
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172832_imu_pose.csv,D,16.957861927789672
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118172959_imu_pose.csv,E,8.453091320735508
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173010_imu_pose.csv,E,8.738453589593151
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173021_imu_pose.csv,E,10.076781874739874
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173035_imu_pose.csv,E,9.520841621370272
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173053_imu_pose.csv,E,9.757848243976165
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173106_imu_pose.csv,E,11.773686092796188
./IMUData_1127/acc_data/2d/mode1_cut//F/_20241118173340_imu_pose.csv,F,./IMUData_1127/acc_data/2d/mode1_cut//E/_20241118173115_imu_pose.csv,E,10.591013770313204
