test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,15.79977082506271
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,15.987056789982644
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,15.65354707882367
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,15.898631206392798
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,16.37588804262622
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,15.60072669821991
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,16.026976531577677
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,16.058911585185207
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,15.657523225967303
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,15.43075723704065
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.532343327154596
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,16.59434254348511
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,17.52232128954412
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.985504053347913
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.13087122257286
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,17.58441469827708
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.822737142938525
./IMUData_1127/acc_data/2d/mode1_cut//H/_20241118173944_imu_pose.csv,H,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,15.649777781285374
