test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.65357998967656
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,9.150235206244917
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,7.815501903500151
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,6.79674805683121
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,6.766169462218177
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,9.867867931585275
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,9.924890548399736
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.000520862273136
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,9.79072056108094
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,8.523054108188944
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.22004017086791
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,15.224809967439962
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,16.028099323694406
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.915428909629323
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.90755272573488
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,16.651118313831287
./IMUData_1127/acc_data/2d/mode1_cut//J/_20241118174226_imu_pose.csv,J,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.586819669833602
