test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,11.656513088223853
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,11.644575617420642
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,11.801450729741504
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,12.192362479473239
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,12.222803173722411
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,12.52126469876112
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,12.02902546956601
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,11.946274108539251
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,12.116832873064277
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,12.053637967602791
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,13.85703930824337
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,13.83683498315763
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,15.857174717816958
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,14.590262786940862
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,16.711502299389355
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,14.958193934445271
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,14.278218188391614
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,13.189467354918847
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,13.698175834521829
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,12.415437352333825
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,13.278713631951947
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,13.263993801421066
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,13.173567067436709
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,11.66051382725184
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,13.337204918623492
./IMUData_1127/acc_data/2d/mode1_cut//K/_20241118174434_imu_pose.csv,K,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,13.608179598306188
