test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,9.454712637925866
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,9.39700409373185
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,7.920981477879958
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,6.073109155058102
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,6.869611153590291
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,10.079058113308127
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,10.012987619603868
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,9.616213533961519
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,9.867888287912551
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,8.655444032036703
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,17.641757919120206
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,16.77738237067918
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,18.57964794273833
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,18.97939423984376
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,20.6288695356294
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,18.113858420302066
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,18.184846559139725
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171407_imu_pose.csv,B,16.43254687656058
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171440_imu_pose.csv,B,11.860130798455538
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171451_imu_pose.csv,B,14.370197333284855
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172002_imu_pose.csv,C,5.03959083874346
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172007_imu_pose.csv,C,5.271356360950124
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172018_imu_pose.csv,C,6.731594147081826
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172025_imu_pose.csv,C,6.993276560871188
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172031_imu_pose.csv,C,5.715774436064552
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172039_imu_pose.csv,C,5.712689348763758
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172048_imu_pose.csv,C,6.584620537937117
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172057_imu_pose.csv,C,6.209393518967243
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172108_imu_pose.csv,C,6.035764395707517
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//C/_20241118172122_imu_pose.csv,C,6.236023764335219
./IMUData_1127/acc_data/2d/mode1_cut//L/_20241118181751_imu_pose.csv,L,./IMUData_1127/acc_data/2d/mode1_cut//D/_20241118172640_imu_pose.csv,D,10.499655230268978
