test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,7.893952360013255
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,8.758779888330475
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,7.944062942196672
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,8.91006257454388
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,10.240464495759246
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,8.064407869497504
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,8.898156519832979
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,8.075128051206633
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,8.066350551831379
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,7.901594746774051
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,16.831027261537134
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,15.048165366261209
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171302_imu_pose.csv,B,16.625831826219763
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171313_imu_pose.csv,B,16.29156597085981
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171325_imu_pose.csv,B,18.146287851875794
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171340_imu_pose.csv,B,18.061321242930962
./IMUData_1127/acc_data/2d/mode1_cut//N/_20241118182434_imu_pose.csv,N,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171353_imu_pose.csv,B,16.113541196929933
