test_data_pth,test_letter,train_data_pth,train_letter,similarity
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170633_imu_pose.csv,A,14.091088938282937
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170645_imu_pose.csv,A,13.676760599082565
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170652_imu_pose.csv,A,14.565474020746239
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170657_imu_pose.csv,A,16.80227830964178
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170702_imu_pose.csv,A,16.111179499364972
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170708_imu_pose.csv,A,14.628604129530467
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170716_imu_pose.csv,A,13.482312022012673
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170724_imu_pose.csv,A,13.085256007614788
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170733_imu_pose.csv,A,13.235202070563346
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//A/_20241118170740_imu_pose.csv,A,13.768846525239441
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171243_imu_pose.csv,B,13.686690524913582
./IMUData_1127/acc_data/2d/mode1_cut//R/_20241118183118_imu_pose.csv,R,./IMUData_1127/acc_data/2d/mode1_cut//B/_20241118171251_imu_pose.csv,B,14.080883805297896
